No. ,Info  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Protein  [%],Protein  Factor,Moisture  [%],Memo  ,Date       Time  
1,"Nnp,Cu",1,mt,100,blank,0,183,0,0.054,1,1,0,0,0,0,0,0,,8/2/19 18:48
2,Nnp,2,mt,100,blank,0,1567,0,0.48,1,1,0,0,0,0,0,0,,8/2/19 18:55
3,"Nu,Cu",3,mt,100,blank,48,13,0.015,0.004,1,1,0,0,0.2555,0,0,0,,8/2/19 19:03
4,"Cnp,Nu",4,mt,100,blank [O2],42,0,0.013,0,1,1,0,0,0,0,0,0,,8/2/19 19:11
5,,5,mt,100,blank [O2],27281,103799,10.154,35.324,1,1,0,0,3.4787,0,0,0,,8/2/19 19:19
6,,6,mt,100,blank [O2],27338,103009,10.176,35.052,1,1,0,0,3.4446,0,0,0,,8/2/19 19:28
7,"Nnp,Cu",5,RUNIN,98.9,aspartic acid 1,0,76,0,0.023,1,1,0,0,0,0,0,0,,8/2/19 19:39
8,"Nu,Cu",6,RUNIN,98.7,aspartic acid 1,61,50,0.02,0.015,1,1,0,0,0.7608,0,0,0,,8/2/19 19:50
9,,7,RUNIN,102.7,aspartic acid 1,28448,107498,10.315,35.636,1,1,0,0,3.4549,0,0,0,,8/2/19 20:01
10,,8,aspartic acid,100.7,aspartic acid 1,27899,105511,10.52,36.06,1.0199,1.0111,0,0,3.4278,0,0,0,,8/2/19 20:12
11,,9,aspartic acid,100.4,aspartic acid 1,27680,104524,10.52,36.06,1.025,1.0177,0,0,3.4278,0,0,0,,8/2/19 20:23
12,,10,aspartic acid,100.9,aspartic acid 1,28158,106216,10.52,36.06,1.0125,1.0063,0,0,3.4278,0,0,0,,8/2/19 20:34
13,Cu,11,STx-1b,1942.7,soil,1696,929,0.034,0.014,1,1,0,0,0.4137,0,0,0,,8/2/19 20:43
14,,12,KGa-2,1557.5,soil,3825,1270,0.094,0.024,1,1,0,0,0.257,0,0,0,,8/2/19 20:52
15,,13,C3 0-5cm,965.5,soil,32574,534499,1.282,19.49,1.0191,1.0117,0,0,15.2036,0,0,0,,8/2/19 21:06
16,,14,C9 0-5cm,1003.5,soil,12314,228000,0.46,7.903,1.0191,1.0117,0,0,17.1908,0,0,0,,8/2/19 21:18
17,,15,C11 0-5cm,1009.6,soil,17860,311090,0.667,10.765,1.0191,1.0117,0,0,16.1292,0,0,0,,8/2/19 21:31
18,,16,C15 0-5cm,1006.3,soil,18371,348158,0.689,12.108,1.0191,1.0117,0,0,17.5713,0,0,0,,8/2/19 21:44
19,,17,C20 0-5cm,991.4,soil,2827,55555,0.111,1.913,1,1.0117,0,0,17.2526,0,0,0,,8/2/19 21:53
20,,18,C25 0-5cm,1005.4,soil,9103,219995,0.336,7.607,1.0191,1.0117,0,0,22.6104,0,0,0,,8/2/19 22:05
21,,19,C29 0-5cm,1003.7,soil,7090,181471,0.264,6.269,1,1.0117,0,0,23.7248,0,0,0,,8/2/19 22:16
22,,20,C34 0-5cm,1070.4,soil,6774,105556,0.237,3.396,1,1.0117,0,0,14.3367,0,0,0,,8/2/19 22:26
23,,21,C53 0-5cm,491.2,soil,25997,523587,2.007,37.519,1.0191,1.0117,0,0,18.6974,0,0,0,,8/2/19 22:39
24,,22,C54 0-5cm,243.4,soil,11503,279876,1.768,40.111,1.0191,1.0117,0,0,22.6936,0,0,0,,8/2/19 22:50
25,,23,C61 0-5cm,830,soil,39236,693165,1.799,29.471,1.0191,1.0117,0,0,16.3819,0,0,0,,8/2/19 23:04
26,,24,C64 0-5cm,1002.9,soil,44528,699075,1.691,24.599,1.0191,1.0117,0,0,14.5446,0,0,0,,8/2/19 23:18
27,,25,C65 0-5cm,764.9,soil,37541,704505,1.867,32.505,1.0191,1.0117,0,0,17.4088,0,0,0,,8/2/19 23:32
28,,26,C66 0-5cm,820.3,soil,38365,699178,1.78,30.08,1.0191,1.0117,0,0,16.9026,0,0,0,,8/2/19 23:46
29,,27,C67 0-5cm,534.7,soil,24564,566728,1.741,37.341,1.0191,1.0117,0,0,21.4518,0,0,0,,8/2/19 23:59
30,,28,C69 0-5cm,1002.2,soil,30683,639547,1.163,22.508,1.0191,1.0117,0,0,19.3585,0,0,0,,8/3/19 00:14
31,,29,C73 0-5cm,1009.4,soil,1187,17213,0.046,0.575,1,1,0,0,12.6127,0,0,0,,8/3/19 00:23
32,,30,C81 0-5cm,998.6,soil,18460,345746,0.698,12.115,1.0191,1.0117,0,0,17.3619,0,0,0,,8/3/19 00:35
33,,31,C82 0-5cm,1001.6,soil,14428,271580,0.541,9.454,1.0191,1.0117,0,0,17.4616,0,0,0,,8/3/19 00:47
34,,32,C86 0-5cm,1001.1,soil,3981,88739,0.152,3.046,1,1.0117,0,0,19.9952,0,0,0,,8/3/19 00:56
35,,33,C3 5-end,1003.6,soil,2490,49238,0.097,1.672,1,1.0117,0,0,17.2595,0,0,0,,8/3/19 01:06
36,,34,C9 5-end,1000,soil,5947,124171,0.223,4.285,1,1.0117,0,0,19.1803,0,0,0,,8/3/19 01:16
37,,35,C11 5-end,1002.7,soil,10567,199234,0.393,6.898,1.0191,1.0117,0,0,17.5402,0,0,0,,8/3/19 01:27
38,,36,C15 5-end,998.2,soil,5825,120634,0.219,4.169,1,1.0117,0,0,19.0036,0,0,0,,8/3/19 01:37
39,,37,C20 5-end,1003.3,soil,926,16489,0.035,0.554,1,1,0,0,15.7353,0,0,0,,8/3/19 01:46
40,,38,C25 5-end,995.3,soil,3562,78208,0.138,2.696,1,1.0117,0,0,19.5536,0,0,0,,8/3/19 01:56
41,,39,C29 5-end,997.5,soil,2984,65972,0.116,2.264,1,1.0117,0,0,19.4923,0,0,0,,8/3/19 02:05
42,Co,40,C53 5-end,1001.6,soil,43835,739609,1.667,26.064,1.0191,1.0117,0,0,15.6361,0,0,0,,8/3/19 02:20
43,Co,41,C54 5-end,941.7,soil,40721,797179,1.646,29.88,1.0191,1.0117,0,0,18.1518,0,0,0,,8/3/19 02:34
44,,42,C61 5-end,994.1,soil,10882,225270,0.409,7.88,1.0191,1.0117,0,0,19.2748,0,0,0,,8/3/19 02:45
45,,43,C64 5-end,1004.4,soil,5283,103750,0.199,3.556,1,1.0117,0,0,17.9091,0,0,0,,8/3/19 02:54
46,,44,C65 5-end,1006.9,soil,6053,124171,0.226,4.255,1,1.0117,0,0,18.8558,0,0,0,,8/3/19 03:04
