No. ,Info  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Protein  [%],Protein  Factor,Moisture  [%],Memo  ,Date       Time  
1,"Nu,Cu",1,MT,100,blank,234,15,0.073,0.004,1,1,0,0,0.0601,0,0,0,,6/10/20 00:03
2,"Nu,Cu",2,MT,100,blank,123,1124,0.039,0.333,1,1,0,0,8.608,0,0,0,,6/10/20 00:10
3,"Cnp,Nu",3,MT,100,blank,97,0,0.03,0,1,1,0,0,0,0,0,0,,6/10/20 00:18
4,"Nu,Cu",4,MT,100,blank [O2],98,11,0.031,0.003,1,1,0,0,0.1034,0,0,0,,6/10/20 00:26
5,"Nu,Cu",5,MT,100,blank [O2],82,18,0.026,0.005,1,1,0,0,0.2118,0,0,0,,6/10/20 00:33
6,"Nu,Cu",6,MT,100,blank [O2],91,14,0.028,0.004,1,1,0,0,0.1507,0,0,0,,6/10/20 00:41
7,,7,RunIn,459.4,aspartic acid 2,123810,471340,10.18,35.646,1,1,0,0,3.5015,0,0,0,,6/10/20 00:51
8,,8,RunIn,139,aspartic acid 1,38705,145758,10.397,35.838,1,1,0,0,3.447,0,0,0,,6/10/20 01:02
9,,9,RunIn,162.3,aspartic acid 2,45184,169188,10.407,35.695,1,1,0,0,3.4298,0,0,0,,6/10/20 01:11
10,,10,aspartic acid,280.2,aspartic acid 2,76867,289921,10.52,36.06,1.0217,1.0102,0,0,3.4278,0,0,0,,6/10/20 01:20
11,,11,aspartic acid,194,aspartic acid 2,53610,200738,10.52,36.06,1.0171,1.0155,0,0,3.4278,0,0,0,,6/10/20 01:29
12,,12,aspartic acid,144.6,aspartic acid 1,40110,150391,10.52,36.06,1.0155,1.0141,0,0,3.4278,0,0,0,,6/10/20 01:40
13,,13,POM41,565.7,soil,13476,353487,0.893,21.906,1.0181,1.0133,0,0,24.5237,0,0,0,,6/10/20 01:53
14,Cpe,14,POM42,2516.5,soil,31778,400033,0.479,5.583,1.0181,1.0133,0,0,11.6502,0,0,0,,6/10/20 02:12
15,,15,POM43,363,soil,7563,261900,0.78,25.182,1,1.0133,0,0,32.3055,0,0,0,,6/10/20 02:24
16,Cpe,16,POM44,2649,soil,30907,381569,0.443,5.056,1.0181,1.0133,0,0,11.4207,0,0,0,,6/10/20 02:43
17,,17,POM57,821,soil,18038,455110,0.828,19.505,1.0181,1.0133,0,0,23.5518,0,0,0,,6/10/20 02:59
18,Cpe,18,POM58,2465.2,soil,37451,485603,0.577,6.937,1.0181,1.0133,0,0,12.016,0,0,0,,6/10/20 03:18
19,,19,POM59,411.4,soil,10534,341926,0.954,29.123,1.0181,1.0133,0,0,30.5116,0,0,0,,6/10/20 03:31
20,Cpe,20,POM60,2558,soil,33379,418662,0.495,5.752,1.0181,1.0133,0,0,11.6105,0,0,0,,6/10/20 03:49
21,,21,POM71,455.1,soil,11650,324261,0.957,24.947,1.0181,1.0133,0,0,26.0739,0,0,0,,6/10/20 04:03
22,Cpe,22,POM72,2605.9,soil,48542,401542,0.709,5.412,1.0181,1.0133,0,0,7.6304,0,0,0,,6/10/20 04:22
23,,23,POM133,989.3,soil,24968,551957,0.955,19.68,1.0181,1.0133,0,0,20.5979,0,0,0,,6/10/20 04:38
24,Cpe,24,POM134,2381.2,soil,42059,517688,0.672,7.663,1.0181,1.0133,0,0,11.4057,0,0,0,,6/10/20 04:57
25,,25,POM135,425.2,soil,26846,252957,2.392,20.754,1.0181,1.0133,0,0,8.6761,0,0,0,,6/10/20 05:10
26,Cpe,26,POM136,2476.5,soil,186208,398442,2.927,5.65,1.0181,1.0133,0,0,1.9303,0,0,0,,6/10/20 05:29
27,"Cpe,Co",27,POM145,2416.8,soil,54755,783612,0.863,11.463,1.0181,1.0133,0,0,13.2755,0,0,0,,6/10/20 05:48
28,,28,POM146,827.7,soil,115214,171380,5.346,7.185,1.0181,1.0133,0,0,1.344,0,0,0,,6/10/20 06:01
29,,29,POM147,398,soil,190481,183283,18.652,15.995,1.0181,1.0133,0,0,0.8575,0,0,0,,6/10/20 06:14
30,Cpe,30,POM148,2317.8,soil,306890,401283,5.355,6.081,1.0181,1.0133,0,0,1.1356,0,0,0,,6/10/20 06:33
31,,31,POM205,399.8,soil,224374,180256,22.069,15.656,1.0181,1.0133,0,0,0.7094,0,0,0,,6/10/20 06:48
32,"Cpe,No",32,POM206,2960,soil,669680,316103,11.288,3.738,1.0181,1.0133,0,0,0.3311,0,0,0,,6/10/20 07:08
