OTU	DOC_001	DOC_002	DOC_003	DOC_004	DOC_006	DOC_008	DOC_009	DOC_010	DOC_011	DOC_012	DOC_015	DOC_019	DOC_021	DOC_022	DOC_023	DOC_024	DOC_025	DOC_026	DOC_027	DOC_029	DOC_031	DOC_032	DOC_033	DOC_034	DOC_035	DOC_036	DOC_037	DOC_038	DOC_039	DOC_043	DOC_044	DOC_045	DOC_046	DOC_047	DOC_048	DOC_055	DOC_056	DOC_057	DOC_058	DOC_059	DOC_060	DOC_061	DOC_062	DOC_064	DOC_065	DOC_067	DOC_068	DOC_069	DOC_070	DOC_071	DOC_072	DOC_073	DOC_074	DOC_075	DOC_076	DOC_077	DOC_078	DOC_079	DOC_080	DOC_081	DOC_082	DOC_083	DOC_084	DOC_085	DOC_086	DOC_087	DOC_088	DOC_089	DOC_090	DOC_091	DOC_092	DOC_093	DOC_094	DOC_095	DOC_096	DOC_097	DOC_098	DOC_100	DOC_101	DOC_104	DOC_105	DOC_106	DOC_107	DOC_108	DOC_109	DOC_110	DOC_111	DOC_113	DOC_114	DOC_115	DOC_116	DOC_117	DOC_118	DOC_119	DOC_120	DOC_121	DOC_123	DOC_124	DOC_125	DOC_126	DOC_127	DOC_128	DOC_129	DOC_130	DOC_132	DOC_133	DOC_134	DOC_135	DOC_136	DOC_137	DOC_138	DOC_139	DOC_140	DOC_141	DOC_142	DOC_143	DOC_144	DOC_145	DOC_148	DOC_152	DOC_153	DOC_154	DOC_155	DOC_156	DOC_157	DOC_158	DOC_159	DOC_160	DOC_163	DOC_164	DOC_165	DOC_166	DOC_167	DOC_168	DOC_169	DOC_170	DOC_172	DOC_173	DOC_175	DOC_176	DOC_180	DOC_181	DOC_183	DOC_184	DOC_185	DOC_186	DOC_187	DOC_188	DOC_189	DOC_190
OTU0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	9	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0
OTU0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	58	28	4	0	0	0	0	0	0	54	0	23	32	40	0	0	0	0	0	11	0	10	0	14	0	0	0	0	0	0	0	0	0	0	0	7	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	11	0	33	0	0	0	0	0	37	0
OTU0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	9	0	0	0	5	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
OTU0006	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	12	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
OTU0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	4	0	0	0	0	0	4	0	11	0	0	7	0	0	0	0	0	0	0	0	0	48	0	76
OTU0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU0010	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8	15	5	6	6	0	0	6	0	0	0	4	3	0	0	0	0	0	13	0	6	9	0	0	0	0	0	0	5	0	0	0	6	0	0	0	0	0	2	11	75	0	0	0	2	0	0	0	0	64	9	14	4	0	0	0	0	0	38	0	8	25	18	0	0	0	7	0	12	25	0	12	14	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	9	0	65	58	0	0	68	0	0	12	34	0	0	0	6	0	0	27	0
OTU0011	0	7	0	0	0	0	0	0	0	0	17	0	109	101	0	0	0	0	0	0	0	0	0	63	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	9	16	9	6	0	0	32	6	8	24	9	24	20	6	17	0	3	11	9	0	0	13	0	17	0	24	17	2	9	0	0	0	27	0	0	0	0	0	0	0	13	0	10	20	0	11	5	0	5	0	10	23	0	8	0	0	0	29	10	0	0	0	11	0	15	0	0	18	0	0	0	9	25	0	0	0	0	10	0	0	0	0	63	3	0	18	0	19	15	0	3	0	7	22	0	5	24	0
