Sample	coreID	depth	Site	length	location	drying	rep	saturation	k__Archaea.p__Crenarchaeota	k__Bacteria.__	k__Bacteria.p__Acidobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Chlamydiae	k__Bacteria.p__Chloroflexi	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Firmicutes	k__Bacteria.p__Gemmatimonadetes	k__Bacteria.p__Nitrospirae	k__Bacteria.p__OD1	k__Bacteria.p__Planctomycetes	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Verrucomicrobia	k__Bacteria.p__WS3	Other				
DOC_001	C55	0-5cm	CPCRW	150d	low	CW	r4	saturated	0.000394711	0	0.145253602	0.023485297	0.133412276	0.000394711	0.01342017	0	0.103019538	0.017564634	0.005131241	0	0.016183146	0.404183935	0.134004342	0.001184133	0.002368265				
DOC_002	C60	0-5cm	CPCRW	150d	low	CW	r1	saturated	0.000512742	0.00017946	0.135902169	0.039147823	0.075731939	0.000538379	0.021124955	5.13E-05	0.108701225	0.02099677	0.004025022	0	0.016971748	0.442060196	0.127365021	0.002153515	0.004537763				
DOC_003	C72	0-5cm	CPCRW	150d	low	CW	r3	saturated	0	0.001628959	0.024506787	0.07120362	0.052705882	0.001882353	0.004886878	0.00441629	0.076235294	0.002135747	0.001484163	0	0.01799095	0.705447964	0.035113122	0	0.000361991				
DOC_004	C49	0-5cm	CPCRW	150d	low	FAD	r3	saturated	0	0	0.007746479	0.019859155	0.083521127	0	0.001408451	0	0.027746479	0.002816901	0.000422535	0	0	0.816338028	0.039577465	0	0.00056338				
DOC_005	C46	0-5cm	CPCRW	150d	low	FAD	r4	saturated	0.142857143	0	0.357142857	0.142857143	0	0	0	0	0	0	0	0	0.142857143	0.214285714	0	0	0				
DOC_006	C79	0-5cm	CPCRW	150d	low	FAD	r2	saturated	0.000407631	0.000163052	0.005462253	0.038561878	0.188977662	0	0.000570683	0.000326105	0.106554704	0	0	0	0.000652209	0.630197293	0.02788195	0	0.000244579				
DOC_007	C28	0-5cm	CPCRW	150d	up	CW	r1	saturated	0	0.003853565	0.028901734	0.063583815	0.356454721	0	0.007707129	0	0.219653179	0	0	0	0	0.275529865	0.030828516	0	0.013487476				
DOC_008	C4	0-5cm	CPCRW	150d	up	CW	r4	saturated	0	0.005200564	0.043418666	0.099818585	0.249143318	0.000886918	0.004031445	0.001612578	0.030114896	0.015803265	0.000524088	8.06E-05	0.016004838	0.42834106	0.096956259	0	0.008062891				
DOC_009	C26	0-5cm	CPCRW	150d	up	CW	r3	saturated	0	0.002545243	0.077543625	0.068958823	0.158840405	0.000452967	0.002825651	0.005284614	0.063846768	0.015098898	0.000323548	0.000474537	0.021073747	0.43428744	0.143655227	0	0.004788508				
DOC_010	C35	0-5cm	CPCRW	150d	up	FAD	r2	saturated	0	0.012858259	0.022531995	0.112269423	0.051733462	0.000150213	0.008742414	6.01E-05	0.416992129	0	0	0	0.008562158	0.347383284	0.011806766	0	0.006909812				
DOC_011	C33	0-5cm	CPCRW	150d	up	FAD	r1	saturated	0	0.003406541	0.055481276	0.087930614	0.03737894	0.000372045	0.011486903	0.001046378	0.467498343	0.008673309	0	8.14E-05	0.005569055	0.260524817	0.041111021	0	0.019439374				
DOC_012	C8	0-5cm	CPCRW	150d	up	FAD	r3	saturated	0	0.007736915	0.015547797	0.03932069	0.000606527	0.000369833	0.004926181	0	0.844255747	0.00035504	0	0	0.000872807	0.044601911	0.034971449	0	0.006435102				
DOC_013	C65	0-5cm	CPCRW	30d	low	CW	r3	saturated	0	0	0.142857143	0.428571429	0	0	0.142857143	0	0.142857143	0	0	0	0	0	0.142857143	0	0				
DOC_014	C66	0-5cm	CPCRW	30d	low	CW	r2	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0				
DOC_015	C69	0-5cm	CPCRW	30d	low	CW	r1	saturated	0.000904831	0.001809662	0.20161577	0.075100986	0.049248667	0.000452416	0.024107287	0.002068185	0.018516723	0.02472128	0.00933915	0.000387785	0.04543545	0.33343028	0.203360801	0.002229762	0.007270965				
DOC_016	C50	0-5cm	CPCRW	30d	low	FAD	r1	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0.333333333	0	0				
DOC_017	C44	0-5cm	CPCRW	30d	low	FAD	r3	saturated	0	0	0	0.181818182	0	0	0	0	0	0	0	0	0	0.818181818	0	0	0				
DOC_018	C56	0-5cm	CPCRW	30d	low	FAD	r4	saturated	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0				
DOC_019	C20	0-5cm	CPCRW	30d	up	CW	r3	saturated	0	0.003720802	0.076173086	0.082408875	0.052160132	0.000310067	0.005994626	0.001378075	0.022324812	0.031557914	0.000413422	0.000723489	0.017742713	0.490663543	0.19299938	0.000723489	0.020705574				
DOC_021	C9	0-5cm	CPCRW	30d	up	CW	r2	saturated	0.006950112	0.002685271	0.034513624	0.211478215	0.010925365	0	0.012320653	0.013400026	0.05370541	0.009319468	0.00344873	0.000210609	0.017217323	0.608608661	0.009161511	0	0.006055022				
DOC_022	C6	0-5cm	CPCRW	30d	up	FAD	r1	saturated	0.007914523	0.002737106	0.017181111	0.344413666	0.006595436	0	0.004451919	6.60E-05	0.056621818	0.001912676	0	0	0.007287957	0.544354307	0	0	0.006463527				
