Sample	coreID	depth	Site	length	location	drying	rep	saturation	Unassigned;__	k__Archaea;p__Crenarchaeota	k__Archaea;p__Euryarchaeota	k__Archaea;p__[Parvarchaeota]	k__Bacteria;__	k__Bacteria;p__	k__Bacteria;p__AD3	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BHI80-139	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__FBP	k__Bacteria;p__FCPU426	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__GAL15	k__Bacteria;p__GN02	k__Bacteria;p__GN04	k__Bacteria;p__GOUTA4	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Kazan-3B-28	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__MVP-21	k__Bacteria;p__NC10	k__Bacteria;p__NKB19	k__Bacteria;p__Nitrospirae	k__Bacteria;p__OC31	k__Bacteria;p__OD1	k__Bacteria;p__OP1	k__Bacteria;p__OP11	k__Bacteria;p__OP3	k__Bacteria;p__OP8	k__Bacteria;p__PAUC34f	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__SBR1093	k__Bacteria;p__SC4	k__Bacteria;p__SR1	k__Bacteria;p__Spirochaetes	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WPS-2	k__Bacteria;p__WS1	k__Bacteria;p__WS2	k__Bacteria;p__WS3	k__Bacteria;p__WS5	k__Bacteria;p__ZB3	k__Bacteria;p__[Caldithrix]	k__Bacteria;p__[Thermi]
DOC_001	C55	0-5cm	CPCRW	150d	low	CW	r4	saturated	0	2	0	0	0	0	0	736	119	0	0	0	676	2	0	68	0	0	3	0	0	522	0	0	0	0	0	89	0	0	0	0	0	26	0	0	0	0	7	0	0	82	2048	0	0	0	0	0	2	0	679	0	0	0	6	0	0	0	0
DOC_002	C60	0-5cm	CPCRW	150d	low	CW	r1	saturated	0	20	0	0	7	5	0	5301	1527	31	0	13	2954	21	43	824	2	33	5	0	0	4240	0	0	0	0	0	819	0	0	0	0	0	157	0	0	0	0	13	0	0	662	17243	0	0	0	0	20	10	0	4968	4	0	0	84	0	0	0	0
DOC_003	C72	0-5cm	CPCRW	150d	low	CW	r3	saturated	0	0	0	0	45	0	0	677	1967	0	0	0	1456	52	0	135	122	0	0	0	0	2106	0	0	0	0	0	59	0	0	0	0	0	41	0	0	0	0	0	0	0	497	19488	0	0	0	0	0	0	0	970	0	0	0	0	0	0	0	10
DOC_004	C49	0-5cm	CPCRW	150d	low	FAD	r3	saturated	0	0	0	0	0	0	0	55	141	0	0	0	593	0	0	10	0	0	0	0	2	197	0	0	0	0	0	20	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5796	0	0	0	0	0	0	0	281	0	0	2	0	0	0	0	0
DOC_005	C46	0-5cm	CPCRW	150d	low	FAD	r4	saturated	0	2	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_006	C79	0-5cm	CPCRW	150d	low	FAD	r2	saturated	0	5	0	0	2	0	0	67	473	3	0	0	2318	0	0	7	4	0	0	0	0	1307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7730	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0
DOC_007	C28	0-5cm	CPCRW	150d	up	CW	r1	saturated	0	0	0	0	2	0	0	15	33	0	0	0	185	0	0	4	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	16	7	0	0	0	0	0	0	0
DOC_008	C4	0-5cm	CPCRW	150d	up	CW	r4	saturated	0	0	0	0	129	0	16	1077	2476	28	0	0	6180	22	5	100	40	32	0	0	0	747	0	0	0	0	0	392	0	0	2	0	0	13	0	2	0	0	0	0	0	397	10625	0	0	0	0	2	34	0	2405	81	0	0	0	0	0	0	0
DOC_009	C26	0-5cm	CPCRW	150d	up	CW	r3	saturated	0	0	0	0	118	10	15	3595	3197	79	0	0	7364	21	0	131	245	19	4	0	0	2960	0	0	0	0	0	700	0	0	0	0	0	15	0	22	0	0	0	0	0	977	20134	0	0	0	0	39	39	0	6660	6	0	0	0	0	0	0	11
DOC_010	C35	0-5cm	CPCRW	150d	up	FAD	r2	saturated	0	0	0	0	428	0	0	750	3737	0	0	0	1722	5	0	291	2	0	0	0	0	13880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	11563	0	0	0	0	214	2	0	393	0	0	0	0	0	0	0	14
DOC_011	C33	0-5cm	CPCRW	150d	up	FAD	r1	saturated	0	0	0	0	293	65	805	4772	7563	54	0	0	3215	32	17	988	90	3	0	0	0	40210	0	0	0	0	0	746	0	0	0	0	0	0	0	7	0	0	0	0	0	479	22408	0	0	0	0	448	7	0	3536	273	0	0	0	0	0	0	0
DOC_012	C8	0-5cm	CPCRW	150d	up	FAD	r3	saturated	0	0	0	0	523	0	188	1051	2658	0	0	0	41	25	0	333	0	0	0	0	0	57070	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	59	3015	0	0	0	0	223	0	0	2364	24	0	0	0	0	0	0	0
DOC_013	C65	0-5cm	CPCRW	30d	low	CW	r3	saturated	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DOC_014	C66	0-5cm	CPCRW	30d	low	CW	r2	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_015	C69	0-5cm	CPCRW	30d	low	CW	r1	saturated	0	28	0	0	56	0	5	6239	2324	84	0	15	1524	14	20	746	64	0	0	0	6	573	0	0	0	0	0	765	0	0	7	0	0	289	0	12	0	4	10	0	0	1406	10318	0	0	0	0	38	30	0	6293	0	0	6	69	0	0	0	0
DOC_016	C50	0-5cm	CPCRW	30d	low	FAD	r1	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
DOC_017	C44	0-5cm	CPCRW	30d	low	FAD	r3	saturated	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_018	C56	0-5cm	CPCRW	30d	low	FAD	r4	saturated	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_019	C20	0-5cm	CPCRW	30d	up	CW	r3	saturated	0	0	0	0	108	0	193	2211	2392	159	0	0	1514	9	9	174	40	29	17	0	0	648	0	0	0	0	0	916	0	0	0	0	0	12	0	21	0	0	3	0	0	515	14242	0	0	0	0	4	18	0	5602	169	0	0	21	0	0	0	0
DOC_020	C3	0-5cm	CPCRW	30d	up	CW	r4	saturated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_021	C9	0-5cm	CPCRW	30d	up	CW	r2	saturated	0	264	8	0	102	27	0	1311	8033	0	0	0	415	0	0	468	509	0	0	0	0	2040	0	0	0	0	0	354	0	0	0	0	0	131	0	8	0	14	0	0	0	654	23118	0	0	0	0	38	0	19	348	0	0	0	0	0	0	0	124
DOC_022	C6	0-5cm	CPCRW	30d	up	FAD	r1	saturated	0	240	0	0	83	0	0	521	10444	0	0	0	200	0	0	135	2	0	0	0	0	1717	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	221	16507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196
DOC_023	C39	0-5cm	CPCRW	30d	up	FAD	r4	saturated	0	0	0	0	0	0	0	4	6566	0	0	0	0	0	0	2	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154
