,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.36,0,0.46,0.03,Artifact,Weak,,,25,2.68,0.1,1.12,1.66,Solvent,Weak + C13_Sat,,,49,1.83,0,38.96,4.81,Compound,None,,,73,0.87,0,10.05,1.84,Compound,None,,
2,13.81,0,1.01,0.09,Artifact,Weak,,,26,2.67,0.4,1.6,9.03,Solvent,Weak + C13_Sat,,,50,1.55,0,11.52,2.97,Compound,None,,,74,0.85,0,2.11,0.84,Compound,None,,
3,12.75,0,0.45,0.02,Artifact,Weak,,,27,2.67,0.5,1.15,6.78,Solvent,Weak + C13_Sat,,,51,1.33,0,1.34,0.15,Compound,None,,,75,0.85,0,1.8,0.36,Compound,None,,
4,12.5,0,0.46,0.03,Artifact,Weak,,,28,2.66,0.4,1.27,5.91,Solvent,Weak + C13_Sat,,,52,1.32,0,0.68,0.08,Compound,None,,,76,0.84,0,3.22,0.62,Compound,None,,
5,11.96,0,0.56,0.04,Artifact,Weak,,,29,2.66,0.1,1.1,1.68,Solvent,Weak + C13_Sat,,,53,1.26,0,0.73,0.07,Impurity,None,,,77,0.82,0,31.87,16.28,Compound,None,,
6,11.6,0,0.59,0.03,Artifact,Weak,,,30,2.56,0.2,26.79,67,Artifact,Weak,,,54,1.23,0.2,3.28,8.96,Compound,None,,,78,0.12,0,0.98,0.37,CS Reference,Weak + C13_Sat,,
7,10.4,0,0.66,0.04,Artifact,Weak,,,31,2.52,0.4,1.31,7.88,Solvent,Weak,,,55,1.22,0,0.78,0.09,Compound,None,,,79,0.07,0.1,1.43,1.62,Compound,None,,
8,10.38,0,0.49,0.03,Artifact,Weak,,,32,2.52,0.6,1.64,13.79,Solvent,Weak,,,56,1.19,0,1.14,0.14,Compound,None,,,80,-0.01,0,11.91,4.34,CS Reference,Weak,,
9,10.16,0,0.47,0.04,Artifact,Weak,,,33,2.51,27.4,1.33,469.09,Solvent,None,,,57,1.16,0,2.47,0.53,Compound,None,,,81,-0.02,0.2,1.25,4.03,CS Reference,None,,
10,9.78,0,0.49,0.03,Artifact,Weak,,,34,2.5,61.6,1.32,1039.05,Solvent,None,,,58,1.15,0.1,2.72,3.78,Compound,None,,,82,-0.03,6.6,0.79,67.71,CS Reference,None,,
11,9.38,0,0.47,0.03,Artifact,Weak,,,35,2.5,86.8,1.36,1453.14,Solvent,None,,,59,1.15,0.1,1.85,3.83,Compound,None,,,83,-0.04,0.1,0.69,1.05,CS Reference,None,,
12,7.09,0,3.17,0.38,Compound,None,,,36,2.5,57.5,1.3,893.78,Solvent,None,,,60,1.14,0.1,1.58,1.52,Compound,None,,,84,-0.06,0,0.64,0.05,CS Reference,Weak,,
13,7.08,0,10.66,2.16,Compound,None,,,37,2.49,23.6,1.15,306.12,Solvent,None,,,61,1.12,0,2.74,0.34,Compound,None,,,85,-0.17,0,0.64,0.04,Artifact,Weak,,
14,7.07,0,0.86,0.08,Artifact,Weak,,,38,2.34,0.1,1.2,2.16,Solvent,Weak + C13_Sat,,,62,1.08,0,0.56,0.06,Impurity,Weak,,,86,-0.18,0,1.03,0.35,CS Reference,Weak + C13_Sat,,
15,7.06,0,0.66,0.05,Artifact,Weak,,,39,2.33,0.3,1.43,6.08,Solvent,Weak + C13_Sat,,,63,1.05,0,2.1,0.36,Compound,None,,,87,-0.88,0,0.57,0.04,Artifact,Weak,,
16,6.83,0,11.92,1.91,Compound,None,,,40,2.33,0.5,1.33,8.66,Solvent,Weak + C13_Sat,,,64,1.03,0,5.74,0.65,Compound,None,,,88,-1,0,0.52,0.04,Artifact,Weak,,
17,6.81,0,6.42,0.45,Compound,None,,,41,2.32,0.3,1.22,5.21,Solvent,Weak + C13_Sat,,,65,1.02,0,2.29,0.39,Compound,None,,,89,-1.3,0,0.49,0.03,Artifact,Weak,,
18,6.1,0,0.51,0.03,Artifact,Weak,,,42,2.32,0.1,1.19,1.67,Solvent,Weak + C13_Sat,,,66,1.01,0,1.08,0.18,Compound,None,,,90,-1.36,0,0.67,0.04,Artifact,Weak,,
19,4.1,0,1.31,0.11,Artifact,Weak,,,43,2.29,0,0.69,0.08,Impurity,None,,,67,1,0,2.49,0.44,Compound,None,,,91,-1.62,0,0.5,0.04,Artifact,Weak,,
20,3.84,0,0.65,0.05,Artifact,Weak,,,44,2.26,0,2.11,0.28,Compound,None,,,68,0.99,0,0.96,0.2,Compound,None,,,92,-1.72,0,0.62,0.05,Artifact,Weak,,
21,3.82,0,0.84,0.11,Compound,None,,,45,2.26,0,1.28,0.24,Compound,None,,,69,0.98,0,1.23,0.12,Compound,None,,,93,-3.26,0,0.7,0.05,Artifact,Weak,,
22,3.51,0,1.92,1.21,Artifact,Weak,,,46,2.22,0,0.49,0.03,Artifact,Weak,,,70,0.98,0,0.53,0.04,Artifact,Weak,,,,,,,,,,,
23,3.41,0.2,46.52,101.26,Artifact,Weak,,,47,2.17,0,1.97,0.22,Compound,None,,,71,0.97,0,0.82,0.13,Compound,None,,,,,,,,,,,
24,3.25,0.1,65.66,86.78,Artifact,Weak,,,48,1.9,0,1.31,0.48,Compound,None,,,72,0.96,0,1.41,0.13,Artifact,Weak,,,,,,,,,,,
