,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,7.07,0.2,76.77,171.72,Compound,None,,
2,6.52,0,10,3.65,Compound,None,,
3,6.28,0,4.21,1.46,Compound,None,,
4,3.51,0.2,11.02,23.49,Artifact,Weak,,
5,3.44,0,163.6,64.23,Artifact,Weak,,
6,3.42,0.1,46.2,29.12,Artifact,Weak,,
7,3.1,0,36.46,18.85,Artifact,Weak,,
8,2.67,0.5,11.01,71.71,Solvent,Weak + C13_Sat,,
9,2.5,100,11.08,13472.73,Solvent,None,,
10,2.33,0.6,11.75,82.93,Solvent,Weak + C13_Sat,,
11,1.23,0.4,15.39,88.92,Compound,None,,
12,1.15,0.2,12.07,38.88,Compound,None,,
13,1.04,0.1,83.55,147.47,Compound,None,,
14,1.04,0.1,14.59,15.31,Compound,None,,
15,0.84,0.1,40.36,56.86,Compound,None,,
16,0.07,0,9.28,4.59,Compound,None,,
17,-1.89,0,0.98,0.25,Artifact,Weak,,
