,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.04,0,0.85,0.1,Artifact,Weak,,,28,5.39,0,1.4,0.18,Artifact,Weak,,,55,4.39,0.1,2.23,2.19,Compound,None,,,82,3.59,0,1.07,0.3,Compound,None,,,109,3.08,0,2.16,1.01,Compound,None,,,136,2.5,58.4,1.5,1113.03,Solvent,None,,,163,1.77,0,2.21,0.85,Compound,None,,,190,0.94,0,1.22,0.12,Artifact,Weak,,
2,12.49,0,0.6,0.06,Artifact,Weak,,,29,5.29,0,0.51,0.06,Artifact,Weak,,,56,4.38,0,1.62,0.33,Compound,None,,,83,3.58,0,1.83,1.1,Compound,None,,,110,3.06,0.1,1.83,1.21,Compound,None,,,137,2.5,84.5,1.61,1738.49,Solvent,None,,,164,1.77,0,0.78,0.16,Compound,None,,,191,0.92,0,1.79,0.47,Impurity,None,,
3,11.02,0,0.53,0.06,Artifact,Weak,,,30,5.22,0,7.27,1.09,Compound,None,,,57,4.36,0,2.22,1.22,Compound,None,,,84,3.57,0.1,2.23,2.45,Compound,None,,,111,3.06,0,1.38,0.57,Compound,None,,,138,2.5,53.5,1.42,940.28,Solvent,None,,,165,1.56,0.1,29.31,16.55,Compound,None,,,192,0.87,0.1,2.54,3.71,Compound,None,,
4,9.92,0,0.7,0.09,Artifact,Weak,,,31,5.13,0,0.41,0.05,Artifact,Weak,,,58,4.34,0.1,3.33,4.18,Compound,None,,,85,3.56,0.1,1.99,1.43,Compound,None,,,112,3.05,0.1,2.22,1.55,Compound,None,,,139,2.49,21.4,1.4,301.27,Solvent,None,,,166,1.53,0,2.55,0.42,Impurity,None,,,193,0.86,0.1,3.12,2.45,Compound,None,,
5,9.69,0,0.81,0.1,Artifact,Weak,,,32,5,0,1.16,0.12,Artifact,Weak,,,59,4.33,0,2.23,0.85,Compound,None,,,86,3.54,0.1,6.75,9.12,Compound,None,,,113,3.04,0.1,2.44,2.82,Compound,None,,,140,2.34,0.1,1.4,2.32,Solvent,Weak + C13_Sat,,,167,1.52,0,2.96,0.71,Impurity,None,,,194,0.85,0.2,1.98,6.4,Compound,None,,
6,9.01,0,0.5,0.06,Artifact,Weak,,,33,4.91,0.1,2.73,2.86,Compound,None,,,60,4.33,0.1,8.05,8.17,Compound,None,,,87,3.53,0,1.59,0.68,Compound,None,,,114,3.03,0.1,2.93,2.09,Compound,None,,,141,2.33,0.3,1.67,7.24,Solvent,Weak + C13_Sat,,,168,1.49,0.1,10.47,11.2,Compound,None,,,195,0.85,0,2.29,0.95,Compound,None,,
7,8.4,0,8.63,3.23,Compound,None,,,34,4.9,0.1,2.79,3.7,Compound,None,,,61,4.31,0.1,2.09,1.54,Compound,None,,,88,3.52,0,1.26,0.35,Compound,None,,,115,3.02,0,1.25,0.32,Compound,None,,,142,2.33,0.5,1.6,10.03,Solvent,Weak + C13_Sat,,,169,1.47,0.1,15.41,12.84,Compound,None,,,196,0.84,0.2,35.12,70.97,Compound,None,,
8,7.53,0,2.57,1.03,Compound,None,,,35,4.89,0.1,2.01,1.82,Compound,None,,,62,4.3,0,2.37,0.84,Compound,None,,,89,3.51,0.3,2.62,10.66,Compound,None,,,116,3.01,0,2.66,0.74,Compound,None,,,143,2.32,0.3,1.5,5.83,Solvent,Weak + C13_Sat,,,170,1.34,0.1,2.78,2.21,Compound,None,,,197,0.84,0.1,3.07,4.66,Compound,None,,
9,7.51,0,1.42,0.34,Impurity,None,,,36,4.88,0.1,2.19,1.89,Compound,None,,,63,4.28,0.1,1.86,1.53,Compound,None,,,90,3.5,0.1,2.25,1.49,Compound,None,,,117,2.98,0,0.97,0.2,Impurity,Weak,,,144,2.32,0.1,1.4,2.08,Solvent,Weak + C13_Sat,,,171,1.34,0,1.87,1.09,Compound,None,,,198,0.83,0.1,4.46,4.57,Compound,None,,
10,7.51,0.1,2.09,1.65,Compound,None,,,37,4.87,0.1,2.09,1.69,Compound,None,,,64,4.26,0.1,2.85,2.9,Compound,None,,,91,3.48,0,1.54,0.31,Artifact,Weak,,,118,2.93,0,2.18,0.61,Compound,None,,,145,2.3,0,0.55,0.06,Artifact,Weak,,,172,1.33,0.1,2.11,1.49,Compound,None,,,199,0.82,0.1,1.51,1.9,Compound,None,,
11,7.5,0.2,1.88,5.06,Compound,None,,,38,4.82,0.3,3.29,10.61,Compound,None,,,65,4.26,0,1.18,0.32,Compound,None,,,92,3.47,0.1,2.44,1.65,Compound,None,,,119,2.91,0,1.81,0.79,Compound,None,,,146,2.3,0,1.23,0.16,Artifact,Weak,,,173,1.32,0,1.96,0.35,Compound,Weak,,,200,0.81,0.2,2.41,5.3,Compound,None,,
12,7.5,0,2.17,1.11,Compound,None,,,39,4.81,0.2,3.06,7.95,Compound,None,,,66,4.25,0.1,1.83,1.45,Compound,None,,,93,3.45,0.1,2.28,1.58,Compound,None,,,120,2.9,0,2.14,0.99,Compound,None,,,147,2.25,0,4.73,0.69,Artifact,Weak,,,174,1.3,0,1.44,0.66,Compound,None,,,201,0.8,0,1.25,0.61,Compound,None,,
13,7.49,0.1,2.34,2.87,Compound,None,,,40,4.76,0.2,4.18,9.05,Compound,None,,,67,4.18,0,0.7,0.08,Artifact,Weak,,,94,3.44,0.1,2.93,3.02,Artifact,Weak,,,121,2.89,0,2.44,1.15,Compound,None,,,148,2.23,0,1.98,0.39,Impurity,None,,,175,1.26,0,1.04,0.46,Artifact,Weak,,,202,0.8,0.1,1.5,1.35,Compound,None,,
14,7.48,0.2,1.74,4.94,Compound,None,,,41,4.74,0.2,3.28,6.45,Compound,None,,,68,4.13,0.1,2.46,2.65,Compound,None,,,95,3.43,0,1.25,0.27,Artifact,Weak,,,122,2.88,0,2.72,1.78,Compound,None,,,149,2.21,0,2.33,0.39,Compound,Weak,,,176,1.23,1.8,3.86,99.53,Compound,None,,,203,0.79,0.2,2.57,5.89,Compound,None,,
15,7.23,0,27.41,4.76,Compound,None,,,42,4.74,0,1.52,0.34,Compound,None,,,69,4.11,0.1,2.32,2.21,Compound,None,,,96,3.42,0.1,4.24,6.26,Artifact,Weak,,,123,2.87,0,0.71,0.06,Artifact,Weak,,,150,2.19,0,2.66,0.96,Compound,None,,,177,1.19,0.1,8.66,14.55,Compound,None,,,204,0.78,0.1,1.74,3.22,Compound,None,,
