,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.55,0,0.56,0.06,Artifact,Weak,,,27,4.67,0,1.6,0.17,Artifact,Weak,,,53,3.64,0,2.31,1,Compound,None,,,79,3.08,0,1.6,0.31,Compound,None,,,105,2.32,0.1,1.48,2.17,Solvent,Weak + C13_Sat,,
2,9.09,0,0.65,0.08,Impurity,Weak,,,28,4.66,0,2.32,0.34,Artifact,Weak,,,54,3.63,0,3.1,1.51,Compound,None,,,80,3.08,0,2.81,0.67,Compound,None,,,106,2.3,0,1.53,0.57,Compound,None,,
3,8.47,0.2,5.78,11.42,Compound,None,,,29,4.62,0,2.35,1.14,Compound,None,,,55,3.59,0,1.06,0.18,Impurity,Weak,,,81,3.06,0,1.59,0.27,Compound,None,,,107,2.28,0,1.35,0.16,Artifact,Weak,,
4,7.78,0,0.61,0.07,Artifact,Weak,,,30,4.61,0,2.55,1.07,Compound,None,,,56,3.58,0,2.11,1.14,Compound,None,,,82,3.04,0,2.65,1.49,Compound,None,,,108,2.24,0,1.29,0.16,Artifact,Weak,,
5,6.57,0.1,2.09,1.62,Compound,None,,,31,4.59,0.1,1.81,3.23,Compound,None,,,57,3.57,0.1,3.44,3.58,Compound,None,,,83,3.03,0,1.06,0.24,Compound,None,,,109,2.21,0,1.36,0.29,Impurity,Weak,,
6,6.55,0.1,1.94,1.4,Compound,None,,,32,4.57,0.1,1.92,3.4,Compound,None,,,58,3.56,0.1,2.27,1.94,Compound,None,,,84,3.01,0,1.12,0.16,Artifact,Weak,,,110,2.09,0,1.91,0.69,Compound,None,,
7,6.36,0,0.56,0.05,Artifact,Weak,,,33,4.48,0,2.7,0.79,Compound,None,,,59,3.54,0.1,5.5,7.45,Compound,None,,,85,2.91,0,0.83,0.17,Compound,None,,,111,2.07,0,33.53,6.75,Compound,None,,
8,6.29,0,1.81,0.34,Impurity,None,,,34,4.46,0,2.19,1.17,Compound,None,,,60,3.53,0.1,4.16,3.43,Compound,None,,,86,2.89,0,2.52,0.57,Compound,None,,,112,1.94,0,0.57,0.06,Artifact,Weak,,
9,6.2,0,2.11,1.01,Compound,None,,,35,4.44,0,1.99,0.92,Compound,None,,,61,3.52,0,1.95,0.79,Compound,None,,,87,2.87,0,2.09,0.2,Artifact,Weak,,,113,1.84,0.2,8.05,16.42,Compound,None,,
10,6.19,0,2.07,1.01,Compound,None,,,36,4.42,0,1.65,0.59,Compound,None,,,62,3.51,0,1.22,0.16,Impurity,Weak,,,88,2.74,0,21.54,3.86,Compound,None,,,114,1.77,0,2.66,0.57,Compound,None,,
11,5.78,0,1.52,0.22,Impurity,Weak,,,37,4.41,0,1.62,0.55,Compound,None,,,63,3.5,0,1.86,0.63,Compound,None,,,89,2.68,0.1,1.45,2.13,Solvent,Weak + C13_Sat,,,115,1.48,0,17.76,2.32,Artifact,Weak,,
12,5.68,0,0.69,0.07,Artifact,Weak,,,38,4.39,0,2.21,0.98,Compound,None,,,64,3.48,0.1,3.06,1.96,Compound,None,,,90,2.67,0.3,1.62,6.85,Solvent,Weak + C13_Sat,,,116,1.36,0,1.81,0.3,Impurity,Weak,,
13,5.39,0,7.45,1.97,Compound,None,,,39,4.38,0,1.76,0.7,Compound,None,,,65,3.47,0.1,2.07,1.79,Compound,None,,,91,2.67,0.5,1.59,9.65,Solvent,Weak + C13_Sat,,,117,1.3,0,2.17,0.41,Impurity,None,,
14,5.11,0,1.9,0.35,Impurity,Weak,,,40,4.36,0,3.57,0.75,Compound,None,,,66,3.45,0,2.5,1.21,Compound,None,,,92,2.66,0.3,1.62,6.62,Solvent,Weak + C13_Sat,,,118,1.28,0,1.22,0.28,Impurity,None,,
