,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.5,0.3,2.04,8.8,Compound,None,,,27,4.91,0,1.17,0.18,Impurity,Weak,,,53,2.51,25.3,1.62,560.48,Solvent,None,,,79,2.06,0,3.82,1.36,Compound,None,,,105,1.3,0,1.51,0.28,Impurity,Weak,,,131,0.85,0,1.29,0.23,Compound,Weak,,
2,7.95,0,1.75,0.97,Compound,None,,,28,4.9,0,3.36,0.36,Artifact,Weak,,,54,2.5,61.7,1.74,1456.24,Solvent,None,,,80,2.04,0,2.6,0.75,Compound,None,,,106,1.28,0,1.15,0.15,Artifact,Weak,,,132,0.84,0.1,5.48,7.44,Compound,None,,
3,7.86,0,3.9,0.54,Compound,None,,,29,4.86,0.1,190.13,344.75,Compound,None,,,55,2.5,79.1,1.46,1450.18,Solvent,None,,,81,2.02,0,3.25,1.58,Compound,None,,,107,1.25,0.1,15.37,12.2,Compound,None,,,133,0.82,0,2.29,1.01,Compound,None,,
4,7.86,0,1.55,0.26,Compound,None,,,30,3.92,0,1.7,0.4,Artifact,Weak,,,56,2.5,53.8,1.48,974.79,Solvent,None,,,82,2.02,0,1.67,0.74,Compound,None,,,108,1.23,0.4,4.31,22.62,Compound,None,,,134,0.81,0,2.53,0.63,Compound,None,,
5,7.85,0,3.21,0.81,Compound,None,,,31,3.82,0,0.98,0.23,Artifact,Weak,,,57,2.49,20.9,1.27,290.56,Solvent,None,,,83,2,0,2.57,0.79,Compound,None,,,109,1.19,0,4.74,1.38,Compound,None,,,135,0.21,0,2.32,0.21,Artifact,Weak,,
6,7.84,0,1.39,0.18,Compound,None,,,32,3.79,0,1.78,0.21,Artifact,Weak,,,58,2.46,0.4,56.74,302.43,Artifact,Weak,,,84,1.99,0,1.21,0.22,Compound,Weak,,,110,1.17,0,5.56,0.61,Artifact,Weak,,,136,0.2,0,0.76,0.08,Artifact,Weak,,
7,7.5,0,5.24,0.77,Artifact,Weak,,,33,3.77,0,6.1,2.63,Artifact,Weak,,,59,2.34,0.2,1.49,2.96,Solvent,Weak + C13_Sat,,,85,1.96,0,1.14,0.13,Artifact,Weak,,,111,1.16,0,1.72,0.21,Compound,None,,,137,0.13,0,0.89,0.28,Impurity,None,,
8,7.49,0,1.61,0.23,Artifact,Weak,,,34,3.62,0,1.99,0.4,Artifact,Weak,,,60,2.33,0.3,1.46,6.48,Solvent,Weak + C13_Sat,,,86,1.91,0,9.79,1.84,Compound,None,,,112,1.15,0.2,3.97,10.75,Compound,None,,,138,0.12,0.1,1.2,1.11,CS Reference,Weak + C13_Sat,,
9,7.46,0,2.67,0.32,Artifact,Weak,,,35,3.61,0,0.71,0.1,Artifact,Weak,,,61,2.33,0.5,1.66,9.87,Solvent,Weak + C13_Sat,,,87,1.89,0,1.15,0.2,Compound,Weak,,,113,1.1,0.1,99.42,123.05,Compound,None,,,139,0.08,0.1,2.27,1.57,Compound,None,,
10,7.4,0.1,1.07,1.35,Compound,None,,,36,3.53,0.1,2.52,1.49,Artifact,Weak,,,62,2.32,0.3,1.44,5.92,Solvent,Weak + C13_Sat,,,88,1.84,0.7,2.3,23.24,Compound,None,,,114,1.09,0,1.36,0.53,Impurity,None,,,140,0.07,1.7,1.83,37.52,Compound,None,,
