,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,12.64,0,0.98,0.07,Artifact,Weak,,,29,4.76,0.5,2.82,19.59,Compound,None,,,57,4.14,0.1,2.42,2.45,Compound,None,,,85,3.48,0.2,3.79,11.07,Compound,None,,,113,3.06,0,1.97,1.17,Compound,None,,,141,2.5,54.9,1.34,854.39,Solvent,None,,,169,1.3,0,1.63,0.47,Impurity,None,,
2,11.47,0,0.61,0.04,Artifact,Weak,,,30,4.75,0.3,2.99,13.34,Compound,None,,,58,4.12,0.1,2.71,2.9,Compound,None,,,86,3.47,0.3,2.54,7.76,Compound,None,,,114,3.05,0,1.64,0.53,Compound,None,,,142,2.49,23.8,1.34,332.13,Solvent,None,,,170,1.28,0,0.92,0.29,Impurity,None,,
3,10.2,0,1.89,0.53,Impurity,None,,,31,4.75,0.5,2.85,18.27,Compound,None,,,59,3.89,0,4.09,0.46,Artifact,Weak,,,87,3.45,0.2,3.75,8.14,Compound,None,,,115,3.05,0,2.11,0.89,Compound,None,,,143,2.47,0.1,1.53,0.73,Artifact,Weak,,,171,1.26,0,1.29,0.63,Impurity,None,,
4,8.42,0.2,10.9,25.7,Compound,None,,,32,4.74,0.3,2.91,12.74,Compound,None,,,60,3.87,0,0.82,0.07,Artifact,Weak,,,88,3.44,0.1,2.49,3.66,Artifact,Weak,,,116,3.04,0.1,2.48,2.5,Compound,None,,,144,2.47,0,1.28,0.61,Artifact,Weak,,,172,1.23,0.3,3.84,15.49,Compound,None,,
5,8.05,0,0.64,0.09,Artifact,Weak,,,33,4.66,0,9.94,2.86,Compound,None,,,61,3.74,0,0.6,0.05,Artifact,Weak,,,89,3.42,0,1.81,0.73,Artifact,Weak,,,117,3.03,0,1.86,0.65,Compound,None,,,145,2.47,0,1.24,0.4,Artifact,Weak,,,173,1.19,0,0.71,0.08,Artifact,Weak,,
6,7.69,0,2.31,0.36,Impurity,Weak,,,34,4.62,0.1,3.16,2.39,Compound,None,,,62,3.67,0.1,2.34,3.43,Compound,None,,,90,3.42,0.1,2.26,1.5,Artifact,Weak,,,118,3.01,0,7.59,2.16,Compound,None,,,146,2.34,0.1,1.27,1.89,Solvent,Weak + C13_Sat,,,174,1.15,0.1,3.32,1.83,Compound,None,,
7,7.46,0,0.47,0.05,Artifact,Weak,,,35,4.61,0.1,3.28,2.45,Compound,None,,,63,3.66,0.1,2.13,3,Compound,None,,,91,3.4,0.1,3.35,2.92,Artifact,Weak,,,119,2.98,0,1.17,0.16,Impurity,Weak,,,147,2.33,0.3,1.51,6.53,Solvent,Weak + C13_Sat,,,175,1.13,0,1.21,0.12,Impurity,Weak,,
8,6.57,0.1,2.29,2.77,Compound,None,,,36,4.59,0.5,2.4,14.61,Compound,None,,,64,3.66,0.1,2.48,4.48,Compound,None,,,92,3.39,0.1,2.58,3.25,Artifact,Weak,,,120,2.91,0,1.52,0.44,Compound,None,,,148,2.33,0.5,1.49,9.54,Solvent,Weak + C13_Sat,,,176,1.11,0,1.12,0.2,Impurity,Weak,,
9,6.55,0.1,1.77,1.86,Compound,None,,,37,4.57,0.5,2.22,13.2,Compound,None,,,65,3.65,0.1,2.99,4.91,Compound,None,,,93,3.37,0.1,5.4,9.56,Artifact,Weak,,,121,2.9,0,4.25,1.66,Compound,None,,,149,2.32,0.3,1.44,5.88,Solvent,Weak + C13_Sat,,,177,1.07,0,1.49,0.43,Compound,None,,
10,6.2,0.1,2.53,2.69,Compound,None,,,38,4.48,0,2.06,1.03,Compound,None,,,66,3.64,0.1,2.15,1.56,Compound,None,,,94,3.36,0.1,2.37,3.77,Artifact,Weak,,,122,2.89,0,1.47,0.31,Compound,None,,,150,2.32,0.1,1.29,2,Solvent,Weak + C13_Sat,,,178,1.06,0.1,3.3,3.9,Compound,None,,
11,6.19,0.1,2.35,2.11,Compound,None,,,39,4.47,0.1,2.48,2.11,Compound,None,,,67,3.64,0.2,2.96,6.64,Compound,None,,,95,3.27,0,1.5,0.21,Artifact,Weak,,,123,2.88,0,4.43,2.55,Compound,None,,,151,2.3,0,1.35,0.75,Compound,None,,,179,1.05,0,1.09,0.67,Compound,None,,
12,6.16,0,1.12,0.1,Artifact,Weak,,,40,4.45,0,2.16,1.11,Compound,None,,,68,3.63,0.2,2.58,5.81,Compound,None,,,96,3.26,0.2,1.83,3.63,Artifact,Weak,,,124,2.85,0,1.79,0.35,Compound,None,,,152,2.23,0,1.5,0.27,Impurity,Weak,,,180,1.05,0.1,3,2.91,Compound,None,,
13,5.78,0,2.61,0.44,Impurity,Weak,,,41,4.44,0.1,2.95,2.08,Compound,None,,,69,3.62,0.1,2.01,2.61,Compound,None,,,97,3.25,0.1,2.2,3.69,Artifact,Weak,,,125,2.8,0,0.85,0.06,Artifact,Weak,,,153,2.18,0,0.93,0.12,Artifact,Weak,,,181,1.04,0,1.07,0.19,Compound,Weak,,
