,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.35,0,0.98,0.05,Artifact,Weak,,,23,2.68,0.1,1.94,2.59,Solvent,Weak + C13_Sat,,,45,1.65,0,6.5,0.75,Compound,None,,
2,14.52,0,0.86,0.06,Artifact,Weak,,,24,2.67,0.3,2.22,8.46,Solvent,Weak + C13_Sat,,,46,1.49,0,26.17,2.1,Compound,None,,
3,13.53,0,0.56,0.03,Artifact,Weak,,,25,2.67,0.4,2.07,11.22,Solvent,Weak + C13_Sat,,,47,1.36,0,1.62,0.25,Impurity,None,,
4,12.85,0,0.54,0.03,Artifact,Weak,,,26,2.66,0.3,2.12,7.26,Solvent,Weak + C13_Sat,,,48,1.33,0,0.67,0.07,Impurity,Weak,,
5,12.65,0,0.4,0.03,Artifact,Weak,,,27,2.66,0.1,1.56,1.65,Solvent,Weak + C13_Sat,,,49,1.3,0,1.99,0.6,Compound,None,,
6,12.04,0,0.78,0.07,Artifact,Weak,,,28,2.55,0.3,55.33,204.44,Artifact,Weak,,,50,1.28,0,1.87,0.85,Compound,None,,
7,12.03,0,0.5,0.04,Artifact,Weak,,,29,2.52,0.4,2.08,7.88,Solvent,Weak,,,51,1.26,0,2.38,1.16,Compound,None,,
8,12.02,0,0.63,0.04,Artifact,Weak,,,30,2.51,21.4,1.83,480.41,Solvent,None,,,52,1.23,0.2,4.04,12.55,Compound,None,,
9,9.61,0,0.67,0.05,Artifact,Weak,,,31,2.5,56.6,2.21,1467.41,Solvent,None,,,53,1.14,0,3.51,0.71,Compound,None,,
10,9.3,0,0.86,0.06,Artifact,Weak,,,32,2.5,78.6,1.98,1914.57,Solvent,None,,,54,1.13,0,1.45,0.1,Artifact,Weak,,
11,8.3,0,0.41,0.02,Artifact,Weak,,,33,2.5,49.9,1.97,1097.62,Solvent,None,,,55,1.11,0,1.66,0.27,Compound,None,,
12,7.33,0,95.58,15.67,Compound,None,,,34,2.49,19.5,1.66,324.25,Solvent,None,,,56,1.09,0,6.15,0.98,Compound,None,,
13,7.15,0.7,21.57,212.89,Compound,None,,,35,2.4,0.1,73.28,91.31,Artifact,Weak,,,57,1.05,0,3.6,1.46,Compound,None,,
14,6.52,0,2.48,0.55,Compound,None,,,36,2.34,0.1,1.57,1.8,Solvent,Weak + C13_Sat,,,58,1.02,0,6.97,3.87,Compound,None,,
15,5.99,0,0.61,0.04,Artifact,Weak,,,37,2.33,0.3,2.25,8.25,Solvent,Weak + C13_Sat,,,59,0.85,0,3.21,1.07,Compound,None,,
16,4.26,0,0.62,0.04,Artifact,Weak,,,38,2.33,0.4,2.14,12.02,Solvent,Weak + C13_Sat,,,60,0.83,0.1,26.7,18.63,Compound,None,,
17,3.79,0.2,31.56,79.17,Compound,None,,,39,2.32,0.3,1.98,5.9,Solvent,Weak + C13_Sat,,,61,0.81,0,2.8,0.37,Compound,None,,
18,3.51,0,1.05,0.08,Impurity,Weak,,,40,2.32,0.1,1.57,1.7,Solvent,Weak + C13_Sat,,,62,0.06,0,3.13,0.45,Compound,None,,
19,3.49,0,2.44,1.5,Compound,None,,,41,2.22,0,1.75,0.2,Impurity,None,,,63,-2.8,0,0.44,0.03,Artifact,Weak,,
20,3.39,1.8,61.5,1410.74,Artifact,Weak,,,42,2.21,0,1.76,0.19,Impurity,Weak,,,64,-3.17,0,0.8,0.06,Artifact,Weak,,
21,3.28,0.1,44.24,64.94,Artifact,Weak,,,43,2.18,0,1.62,0.16,Impurity,Weak,,,,,,,,,,,
22,2.94,0.1,26.06,26.41,Compound,None,,,44,1.91,0,1.38,0.18,Impurity,None,,,,,,,,,,,
