,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.32,0,0.97,0.11,Artifact,Weak,,,19,2.28,0,5.67,1.03,Artifact,Weak,,
2,8.49,0,13.01,2.34,Compound,None,,,20,2.22,0,2.1,0.28,Artifact,Weak,,
3,4.9,0,23.04,3.32,Artifact,Weak,,,21,2.21,0,5.44,0.79,Artifact,Weak,,
4,4.82,0,10.37,3.12,Compound,None,,,22,1.83,0,55.55,18.22,Compound,None,,
5,4.75,0,11.6,1.44,Impurity,Weak,,,23,1.25,0,12.84,6.19,Compound,None,,
6,3.66,0.1,154.48,194.53,Compound,None,,,24,1.23,0.2,7.11,15.38,Compound,None,,
7,3.41,0.8,67.52,799.42,Compound,None,,,25,1.22,0,0.47,0.09,Impurity,Weak,,
8,3.38,0.5,17.31,82.68,Artifact,Weak,,,26,1.14,0,54.65,33.07,Compound,None,,
9,3.04,0,3.82,0.47,Artifact,Weak,,,27,1.07,0,92.14,21.87,Compound,None,,
10,2.88,0,1.05,0.13,Artifact,Weak,,,28,1.02,0,7.57,0.98,Artifact,Weak,,
11,2.72,0.1,58.4,54.99,Artifact,Weak,,,29,0.87,0,2.1,0.47,Compound,None,,
12,2.67,0.6,8.7,66.54,Solvent,Weak + C13_Sat,,,30,0.86,0,4.42,0.42,Artifact,Weak,,
13,2.62,0,48.95,7.27,Artifact,Weak,,,31,0.85,0,5.2,2.27,Compound,None,,
14,2.6,0.2,31.84,70.24,Artifact,Weak,,,32,0.83,0,22.25,12.27,Compound,None,,
15,2.5,99.7,7.79,8794.24,Solvent,None,,,33,0.82,0,104.75,26.1,Compound,None,,
16,2.41,0.3,115.82,553.21,Artifact,Weak,,,34,0.8,0,1.03,0.12,Artifact,Weak,,
17,2.39,0,159.26,110.16,Artifact,Weak,,,35,0.07,0,5.14,1.82,Compound,None,,
18,2.33,0.6,8.11,53.15,Solvent,Weak + C13_Sat,,,,,,,,,,,
