"date","Site","Core","PPM_CO2","Mass_g","dry_soil_g","CO2_ppm_g"
2020-02-12,"","AMB",511,NA,NA,NA
2020-02-12,"CPCRW","14",492,NA,158.17,3.11
2020-02-12,"CPCRW","35",513,NA,110.77,4.63
2020-02-12,"CPCRW","49",539,NA,57.64,9.35
2020-02-12,"CPCRW","8",519,NA,162.34,3.2
2020-02-12,"CPCRW","48",540,NA,85.9,6.29
2020-02-12,"CPCRW","46",530,NA,133.01,3.98
2020-02-12,"CPCRW","79",548,NA,73.93,7.41
2020-02-12,"","amb",562,NA,NA,NA
2020-02-12,"CPCRW","85",573,NA,170.62,3.36
2020-02-12,"CPCRW","33",567,NA,184.46,3.07
2020-02-17,"","amb",589,NA,NA,NA
2020-02-17,"CPCRW","14",599,180.27,158.17,3.79
2020-02-17,"CPCRW","48",600,114.91,85.9,6.98
2020-02-17,"CPCRW","35",601,147.38,110.77,5.43
2020-02-17,"CPCRW","49",605,79.64,57.64,10.5
2020-02-17,"CPCRW","8",602,206.02,162.34,3.71
2020-02-17,"CPCRW","46",606,149.76,133.01,4.56
2020-02-17,"CPCRW","85",609,201.13,170.62,3.57
2020-02-17,"CPCRW","79",603,92.84,73.93,8.16
2020-02-17,"CPCRW","33",603,212.23,184.46,3.27
2020-02-17,"SR","56",614,199.87,152.43,4.03
2020-02-17,"SR","61",611,192.78,160.64,3.8
2020-02-17,"SR","80",610,213,166.88,3.66
2020-02-17,"SR","73",612,220.01,177.59,3.45
2020-02-17,"SR","35",613,136.52,101.25,6.05
2020-02-17,"SR","14",611,115.57,75.2,8.12
2020-02-17,"SR","26",615,142.26,109.02,5.64
2020-02-17,"SR","49",613,127.69,86.72,7.07
2020-02-17,"SR","28",614,133.58,101.92,6.02
2020-02-17,"SR","86",611,192.78,152.67,4
2020-02-17,"","amb",590,NA,NA,NA
2020-02-17,"SR","33",603,118.9,84.75,7.12
2020-02-17,"SR","4",599,141.57,102.47,5.85
2020-02-17,"SR","46",600,125.12,97.39,6.16
2020-02-17,"SR","63",605,192.07,151.89,3.98
2020-02-17,"SR","8",609,121.63,85.36,7.13
2020-02-17,"SR","13",607,131.48,90.63,6.7
2020-02-17,"","amb",565,NA,NA,NA
2020-02-18,"","amb",591,NA,NA,NA
2020-02-18,"CPCRW","14",693,235.58,158.17,4.38
2020-02-18,"CPCRW","48",724,222.05,85.9,8.43
2020-02-18,"CPCRW","35",889,178.6,110.77,8.03
2020-02-18,"CPCRW","49",796,144.18,57.64,13.81
2020-02-18,"CPCRW","8",1048,273.39,162.34,6.46
2020-02-18,"CPCRW","46",919,230.89,133.01,6.91
2020-02-18,"CPCRW","85",598,225.03,170.62,3.5
2020-02-18,"CPCRW","79",1202,227.4,73.93,16.26
2020-02-18,"CPCRW","33",596,261.12,184.46,3.23
2020-02-20,"SR","56",623,241.09,152.43,4.09
2020-02-20,"SR","61",657,274.37,160.64,4.09
2020-02-20,"SR","80",641,275.73,166.88,3.84
2020-02-20,"SR","73",702,297.73,177.59,3.95
2020-02-20,"SR","35",598,182.37,101.25,5.91
2020-02-20,"SR","14",605,161.58,75.2,8.05
2020-02-20,"SR","26",622,185.92,109.02,5.71
2020-02-20,"SR","49",642,175.53,86.72,7.4
2020-02-20,"SR","28",679,170.08,101.92,6.66
2020-02-20,"SR","86",657,227.11,152.67,4.3
2020-02-20,"","amb",499,NA,NA,NA
2020-02-20,"SR","33",617,161.43,84.75,7.28
