"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"1",0.000439011217295569,9.30766049753971e-06,8.78022434591139e-06,8.78022434591139e-06,5.32790970656172e-07,0.0606807923882118,7.53480216611883e-08,50,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1
"13",2.48851705914736e-05,7.77661580983549e-07,7.77661580983549e-07,7.77661580983549e-07,0,0,0,32,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"16",0.000385848702333253,5.02441067543957e-06,3.32628191666597e-06,4.00562105574013e-06,1.83231789931111e-06,0.550860674235241,1.70126445980221e-07,116,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2
"18",0.000107941871064677,2.38377154644765e-06,1.12439449025705e-06,1.0521342076403e-06,1.09689741449567e-06,0.975544992438467,1.11951623570522e-07,96,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3
"27",0.000216093028816085,4.61467808468391e-06,3.85880408600151e-06,3.85880408600151e-06,7.62714626789323e-07,0.197655701038621,1.01922029190243e-07,56,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3
"4",0.000308415991592564,9.63799973726763e-06,9.63799973726763e-06,9.63799973726763e-06,0,0,0,32,"CPCRW_150d_up_CW_r4","C4","CPCRW","upland","constant weight","150 day",4
"44",6.38892831681258e-07,2.20307872993537e-08,2.20307872993537e-08,2.20307872993537e-08,0,0,0,29,"CPCRW_30d_low_FAD_r3","C44","CPCRW","lowland","forced","30 day",3
"6",1.51344365623155e-05,5.21877122838464e-07,5.21877122838464e-07,5.21877122838464e-07,0,0,0,29,"CPCRW_30d_up_FAD_r1","C6","CPCRW","upland","forced","30 day",1
"62",0.000424130524747871,1.36816298305765e-05,1.36816298305765e-05,1.36816298305765e-05,0,0,0,31,"CPCRW_150d_low_CW_r2","C62","CPCRW","lowland","constant weight","150 day",2
"71",0.000384552036772781,1.13769743921607e-05,5.12736049030375e-06,2.99028489150321e-06,4.52238192633351e-06,0.882009746512985,5.2219968450939e-07,75,"CPCRW_90d_low_FAD_r4","C71","CPCRW","lowland","forced","90 day",4
"72",7.60786900715593e-05,2.53595633571864e-06,2.53595633571864e-06,2.53595633571864e-06,0,0,0,30,"CPCRW_150d_low_CW_r3","C72","CPCRW","lowland","constant weight","150 day",3
"75",0.000165968643436364,2.18352617394357e-06,1.97581718376624e-06,2.08263358102206e-06,2.27543498464797e-07,0.115164247145103,2.48270310859524e-08,84,"CPCRW_30d_low_FAD_r2","C75","CPCRW","lowland","forced","30 day",2
"77",0.000423430079732438,1.69372031892975e-05,1.69372031892975e-05,1.69372031892975e-05,0,0,0,25,"CPCRW_90d_low_FAD_r1","C77","CPCRW","lowland","forced","90 day",1
