"Core","DATETIME","MPVPosition","CH4_dry","CO2_dry","Elapsed_seconds","Treatment","coreID","Site","location","drying","length","replicate","Core_assignment"
"1",2018-12-04 19:00:46,1,1.9978658469,492.96387209,0,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:00:49,1,2.0156585021,473.88706017,3,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:00:54,1,2.0156585021,473.88706017,8,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:01:16,1,2.0156585021,473.88706017,30,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:01:19,1,1.12426127,2002.0151533,33,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:01:21,1,1.12426127,2002.0151533,35,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:01:22,1,1.12426127,2002.0151533,36,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:01:26,1,1.6500513397,1415.9452506,40,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:01:28,1,1.6500513397,1415.9452506,42,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:01:29,1,1.6500513397,1415.9452506,43,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:01:34,1,1.729543802,1249.9839776,48,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:01:37,1,1.729543802,1249.9839776,51,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:01:56,1,1.729543802,1249.9839776,70,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:02:00,1,1.7873992549,1023.9220793,74,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:02:01,1,1.7873992549,1023.9220793,75,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:02:02,1,1.7873992549,1023.9220793,76,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:02:07,1,1.899944869,872.22771468,81,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:02:10,1,1.899944869,872.22771468,84,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
"1",2018-12-04 19:02:29,1,1.899944869,872.22771468,103,"drydown","C1","CPCRW","upland","forced","90 day",1,"CPCRW_90d_up_FAD_r1"
