"Core","DATETIME","MPVPosition","CH4_dry","CO2_dry","Elapsed_seconds","Treatment","coreID","Site","location","drying","length","replicate","Core_assignment"
"16",2019-09-23 20:53:47,11,48.481292421,474.88758695,0,"sat","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-23 19:18:53,11,48.462834408,472.69254045,0,"drought","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-23 19:20:31,11,48.462834408,466.0778934,98,"drought","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-23 16:58:20,11,49.270450091,443.37377029,50,"drought","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-23 20:54:36,11,48.481292421,522.88181312,49,"sat","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-23 19:19:42,11,48.462834408,466.70382508,49,"drought","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-23 16:57:30,11,49.270450091,443.53941754,0,"drought","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-23 18:32:17,11,48.462834408,451.00490796,0,"drought","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-23 18:33:07,11,48.462834408,461.62378628,50,"drought","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-30 17:37:25,12,44.570446259,1306.7626952,98,"sat","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-23 20:07:02,11,48.481292421,449.91791425,49,"sat","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-23 20:07:44,11,48.481292421,452.95634505,91,"sat","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
"16",2019-09-27 17:53:29,12,47.191742528,771.86351345,51,"sat","S16","SR","lowland","forced","30 day",2,"SR_30d_low_FAD_r2"
