Info,sample,TN_perc,TC_perc,C_N,datetime,flag
,C3 0-5cm,1.282,19.49,15.2036,8/2/19 21:06,
,C9 0-5cm,0.46,7.903,17.1908,8/2/19 21:18,
,C11 0-5cm,0.667,10.765,16.1292,8/2/19 21:31,
,C15 0-5cm,0.689,12.108,17.5713,8/2/19 21:44,
,C20 0-5cm,0.111,1.913,17.2526,8/2/19 21:53,
,C25 0-5cm,0.336,7.607,22.6104,8/2/19 22:05,
,C29 0-5cm,0.264,6.269,23.7248,8/2/19 22:16,
,C34 0-5cm,0.237,3.396,14.3367,8/2/19 22:26,
,C53 0-5cm,2.007,37.519,18.6974,8/2/19 22:39,
,C54 0-5cm,1.768,40.111,22.6936,8/2/19 22:50,
,C61 0-5cm,1.799,29.471,16.3819,8/2/19 23:04,
,C64 0-5cm,1.691,24.599,14.5446,8/2/19 23:18,
,C65 0-5cm,1.867,32.505,17.4088,8/2/19 23:32,
,C66 0-5cm,1.78,30.08,16.9026,8/2/19 23:46,
,C67 0-5cm,1.741,37.341,21.4518,8/2/19 23:59,
,C69 0-5cm,1.163,22.508,19.3585,8/3/19 00:14,
,C73 0-5cm,0.046,0.575,12.6127,8/3/19 00:23,
,C81 0-5cm,0.698,12.115,17.3619,8/3/19 00:35,
,C82 0-5cm,0.541,9.454,17.4616,8/3/19 00:47,
,C86 0-5cm,0.152,3.046,19.9952,8/3/19 00:56,
,C3 5-end,0.097,1.672,17.2595,8/3/19 01:06,
,C9 5-end,0.223,4.285,19.1803,8/3/19 01:16,
,C11 5-end,0.393,6.898,17.5402,8/3/19 01:27,
,C15 5-end,0.219,4.169,19.0036,8/3/19 01:37,
,C20 5-end,0.035,0.554,15.7353,8/3/19 01:46,
,C25 5-end,0.138,2.696,19.5536,8/3/19 01:56,
,C29 5-end,0.116,2.264,19.4923,8/3/19 02:05,
Co,C53 5-end,1.667,26.064,15.6361,8/3/19 02:20,
Co,C54 5-end,1.646,29.88,18.1518,8/3/19 02:34,
,C61 5-end,0.409,7.88,19.2748,8/3/19 02:45,
,C64 5-end,0.199,3.556,17.9091,8/3/19 02:54,
,C65 5-end,0.226,4.255,18.8558,8/3/19 03:04,
,C66 5-end,0.253,4.971,19.6222,8/3/19 03:13,
,C67 5-end,0.387,7.684,19.8609,8/3/19 03:24,
,C69 5-end,0.075,1.26,16.7244,8/3/19 03:33,
,C73 5-end,0.367,7.858,21.4006,8/3/19 03:44,
,C81 5-end,0.072,1.235,17.2442,8/3/19 03:53,
,C82 5-end,0.07,1.109,15.7995,8/3/19 04:02,
,C86 5-end,0.054,0.777,14.3951,8/3/19 04:11,
,S3 0-5cm,0.522,8.276,15.855,2/4/20 03:28,
Cpe,S9 0-5cm,0.595,10.168,17.0842,2/4/20 03:47,
,S54 0-5cm,0.436,6.217,14.2696,2/4/20 04:01,
,S57 0-5cm,0.487,7.464,15.3377,2/4/20 04:17,
,S67 5-end,0.278,3.008,10.8339,2/4/20 04:29,
Cpe,S20 0-5cm,0.609,9.877,16.2176,2/4/20 04:48,
,S66 0-5cm,0.452,6.307,13.964,2/4/20 05:02,
,S3 5-end,0.478,7.764,16.2555,2/4/20 05:20,
,S20 5-end,0.474,7.442,15.6927,2/4/20 05:35,
,S67 0-5cm,0.357,4.507,12.6229,2/4/20 05:48,
,S83 5-end,0.357,4.98,13.9402,2/4/20 06:02,
,S16 5-end,0.466,7.43,15.9556,2/4/20 06:18,
,S54 5-end,0.217,2.476,11.4254,2/4/20 06:30,
Cpe,S44 0-5cm,0.655,11.007,16.8157,2/4/20 06:49,
,S70 5-end,0.377,4.749,12.5894,2/4/20 07:02,
,S66 5-end,0.276,3.025,10.9482,2/4/20 07:22,
Cpe,S16 0-5cm,0.573,9.287,16.1981,2/4/20 07:41,
,S9 5-end,0.49,7.917,16.1429,2/4/20 07:59,
,S44 5-end,0.56,8.819,15.7557,2/4/20 08:17,
,S70 0-5cm,0.407,5.464,13.4193,2/4/20 08:31,
,S57 5-end,0.361,4.972,13.7775,2/4/20 08:44,
,S83 0-5cm,0.4,5.956,14.9061,2/4/20 08:59,
,S76 0-5cm,0.443,6.459,14.5731,2/4/20 09:13,
,S76 5-end,0.311,3.881,12.487,2/4/20 09:26,
Cpe,S39 0-5cm,0.681,11.608,17.0573,2/4/20 09:45,
Cpe,S6 0-5cm,0.516,8.351,16.1819,2/4/20 10:04,
,S6 5-end,0.481,7.757,16.1346,2/4/20 10:22,
,S39 5-end,0.518,7.987,15.4128,2/4/20 10:39,
,S53 5-end,0.358,4.579,12.7973,2/5/20 20:21,
,S53 0-5cm,0.458,6.593,14.384,2/5/20 20:36,
,S87 5-end,0.34,4.4,12.93,2/5/20 20:49,
Cpe,S15 0-5cm,0.598,9.557,15.9846,2/5/20 21:08,
,S18 5-end,0.38,6.248,16.4551,2/5/20 21:23,
,S11 0-5cm,0.555,8.772,15.8143,2/5/20 22:20,
,S52 0-5cm,0.407,5.203,12.7954,2/5/20 22:34,
Cpe,S18 0-5cm,0.629,10.03,15.9455,2/5/20 22:53,
,S72 0-5cm,0.412,5.613,13.6393,2/5/20 23:07,
,S72 5-end,0.299,3.525,11.7917,2/5/20 23:20,
,S78 0-5cm,0,0,0,,skip. ???
,S62 0-5cm,0.4,5.251,13.1366,2/11/20 21:10,
,S65 5-end,0.314,3.768,11.9896,2/11/20 21:22,
Cpe,S15 5-end,0.514,8.931,17.3818,2/11/20 21:41,
,S11 5-end,0.468,7.456,15.9312,2/11/20 21:59,
,S52 5-end,0.302,3.787,12.5228,2/11/20 22:12,
Cpe,S34 0-5cm,0.651,10.546,16.2043,2/11/20 22:30,
,S62 5-end,0.267,2.998,11.2191,2/11/20 22:42,
Cpe,S37 0-5cm,0.654,10.966,16.7778,2/11/20 23:01,
,S87 0-5cm,0.391,5.446,13.9122,2/11/20 23:15,
,S78 5-end,0.301,3.724,12.3743,2/11/20 23:27,
,S37 5-end,0.54,8.11,15.0262,2/11/20 23:44,
,S34 5-end,0.537,7.866,14.6343,2/12/20 00:02,
,S65 0-5cm,0.413,5.481,13.2595,2/12/20 00:16,
,C71 0-5cm,1.152,23.769,20.6247,2/12/20 00:48,
,C28 0-5cm,0.222,4.529,20.4166,2/12/20 01:01,
,C18 0-5cm,0.827,14.59,17.6473,2/12/20 01:17,
Co,C50 0-5cm,1.816,30.396,16.7348,2/12/20 01:33,
,C50 5-end,0.304,6.971,22.9676,2/12/20 01:46,
,C1 0-5cm,0.559,10.686,19.1072,2/12/20 02:04,
,C13 5-end,0.21,4.03,19.2287,2/12/20 02:18,
,C27 5-end,0.21,4.067,19.3379,2/12/20 02:31,
,C16 5-end,0.238,4.841,20.3075,2/12/20 02:44,
,C27 0-5cm,0.601,9.3,15.4707,2/12/20 03:02,
,C16 0-5cm,0.564,10.15,18.0079,2/12/20 03:19,
,C44 5-end,0.907,18.947,20.8797,2/12/20 03:34,
,C62 5-end,0.695,11.864,17.0685,2/12/20 03:51,
,C6 5-end,0.277,6.152,22.224,2/12/20 04:04,
,C56 0-5cm,1.726,29.388,17.0313,2/12/20 04:19,
,C75 0-5cm,0.254,4.833,19.0374,2/12/20 04:33,
,C37 5-end,0.626,12.094,19.3084,2/12/20 04:50,
,C72 5-end,0.062,0.905,14.6511,2/12/20 05:00,
,C18 5-end,0.182,3.553,19.5559,2/12/20 05:11,
,C39 5-end,0.758,13.698,18.076,2/12/20 05:27,
"Npe,Co",C60 0-5cm,1.648,27.462,16.6589,2/12/20 05:43,
,C52 5-end,0.225,4.961,22.0102,2/12/20 06:12,
Co,C60 5-end,1.569,24.336,15.5074,2/12/20 06:29,
,C44 0-5cm,1.483,25.807,17.402,2/12/20 06:43,
,C28 5-end,0.12,2.814,23.4007,2/12/20 06:53,
,C55 5-end,1.324,22.761,17.1869,2/12/20 07:08,
,C4 5-end,0.092,1.68,18.3255,2/12/20 07:18,
,C62 0-5cm,1.637,25.649,15.6673,2/12/20 07:33,
,C6 0-5cm,0.427,8.419,19.7267,2/12/20 07:48,
,C52 0-5cm,1.749,30.624,17.5093,2/12/20 08:02,
,C39 0-5cm,1.077,20.035,18.6012,2/12/20 08:16,
,C26 5-end,0.155,3.153,20.4082,2/12/20 08:28,
,C75 5-end,0.054,0.826,15.2912,2/12/20 08:36,
,C4 0-5cm,0.557,10.364,18.5956,2/12/20 08:52,
,C72 0-5cm,0.639,11.821,18.5107,2/12/20 09:08,
,C13 0-5cm,0.848,12.963,15.2927,2/12/20 09:24,
,C37 0-5cm,0.45,8.869,19.7075,2/12/20 09:39,
,C71 5-end,0.096,1.617,16.9173,2/12/20 09:49,
,C56 5-end,0.945,16.506,17.4627,2/12/20 10:06,
,C26 0-5cm,0.233,4.403,18.8655,2/12/20 10:19,
,C55 0-5cm,1.7,28.783,16.9299,2/12/20 10:34,
,C1 5-end,0.152,3.551,23.3682,2/12/20 10:45,
,"C8, 0-5cm",0.377,6.935,18.4102,6/15/20 22:18,
,"C8, 5cm-end",0.187,3.588,19.162,6/15/20 22:29,
,"C14, 0-5cm",0.531,9.119,17.1604,6/15/20 22:44,
,"C14, 5cm-end",0.234,4.303,18.3672,6/15/20 22:56,
,"C33, 0-5cm",0.205,3.826,18.6855,6/15/20 23:08,
,"C33, 5cm-end",0.103,2.092,20.3864,6/15/20 23:18,
,"C35, 0-5cm",0.357,7.732,21.6461,6/15/20 23:34,
,"C35, 5cm-end",0.09,1.711,18.9548,6/15/20 23:44,
,"C46, 0-5cm",0.484,11.617,23.9969,6/15/20 23:57,
,"C46, 5cm-end",0.344,8.217,23.8764,6/16/20 00:10,
"Npe,Co","C48, 0-5cm",1.37,23.49,17.1484,6/16/20 00:27,
,"C48, 5cm-end",0.889,15.664,17.6214,6/16/20 00:43,
"Npe,Co","C49, 0-5cm",2.146,30.265,14.1046,6/16/20 01:00,
,"C49, 5cm-end",0.881,15.38,17.4498,6/16/20 01:15,
Co,"C79, 0-5cm",1.707,27.479,16.1014,6/16/20 01:31,
Co,"C79, 5cm-end",1.602,25,15.6025,6/16/20 01:47,
,"C85, 0-5cm",0.345,7.62,22.1174,6/16/20 02:01,
,"C85, 5cm-end",0.128,2.552,19.8842,6/16/20 02:11,
