coreID,depth,Site,length,location,drying,rep,DOC_ID,saturation
C61,5cm-end,CPCRW,90d,low,CW,r2,DOC-025,saturated
C86,0-5cm,CPCRW,90d,low,CW,r1,DOC-026,saturated
C53,0-5cm,CPCRW,90d,low,CW,r4,DOC-027,saturated
C71,0-5cm,CPCRW,90d,low,FAD,r4,DOC-028,saturated
C77,0-5cm,CPCRW,90d,low,FAD,r1,DOC-029,saturated
C52,0-5cm,CPCRW,90d,low,FAD,r3,DOC-030,saturated
C25,0-5cm,CPCRW,90d,up,CW,r3,DOC-031,saturated
C15,0-5cm,CPCRW,90d,up,CW,r2,DOC-032,saturated
C11,0-5cm,CPCRW,90d,up,CW,r1,DOC-033,saturated
C1,0-5cm,CPCRW,90d,up,FAD,r1,DOC-034,saturated
C37,0-5cm,CPCRW,90d,up,FAD,r4,DOC-035,saturated
C18,0-5cm,CPCRW,90d,up,FAD,r3,DOC-036,saturated
C61,0-5cm,CPCRW,90d,low,CW,r2,DOC-061,saturated
C86,5cm-end,CPCRW,90d,low,CW,r1,DOC-062,saturated
C53,5cm-end,CPCRW,90d,low,CW,r4,DOC-063,saturated
C71,5cm-end,CPCRW,90d,low,FAD,r4,DOC-064,saturated
C77,5cm-end,CPCRW,90d,low,FAD,r1,DOC-065,saturated
C52,5cm-end,CPCRW,90d,low,FAD,r3,DOC-066,saturated
C25,5cm-end,CPCRW,90d,up,CW,r3,DOC-067,saturated
C15,5cm-end,CPCRW,90d,up,CW,r2,DOC-068,saturated
C11,5cm-end,CPCRW,90d,up,CW,r1,DOC-069,saturated
C1,5cm-end,CPCRW,90d,up,FAD,r1,DOC-070,saturated
C37,5cm-end,CPCRW,90d,up,FAD,r4,DOC-071,saturated
C18,5cm-end,CPCRW,90d,up,FAD,r3,DOC-072,saturated
S15,0-5cm,SR,90d,low,CW,r2,DOC-095,saturated
S11,0-5cm,SR,90d,low,CW,r1,DOC-096,saturated
S25,0-5cm,SR,90d,low,CW,r4,DOC-097,saturated
S1,0-5cm,SR,90d,low,FAD,r1,DOC-098,saturated
