"formula","depth","Site","length","drying","saturation","trt","tzero","diff","loss_gain","HC","OC","Class"
"C10H19O3N1","0-5cm","CPCRW","150d","FAD","saturated",0,1,-1,"lost",1.9,0.3,"aliphatic"
"C10H19O3N1","0-5cm","CPCRW","90d","FAD","saturated",0,1,-1,"lost",1.9,0.3,"aliphatic"
"C10H19O3N1","0-5cm","CPCRW","150d","CW","saturated",0,1,-1,"lost",1.9,0.3,"aliphatic"
"C10H19O3N1","0-5cm","CPCRW","30d","FAD","saturated",0,1,-1,"lost",1.9,0.3,"aliphatic"
"C10H19O3N1","0-5cm","CPCRW","90d","CW","saturated",0,1,-1,"lost",1.9,0.3,"aliphatic"
"C10H19O3N1","0-5cm","CPCRW","90d","CW","instant chemistry",0,1,-1,"lost",1.9,0.3,"aliphatic"
"C10H19O3N1","0-5cm","CPCRW","90d","FAD","instant chemistry",0,1,-1,"lost",1.9,0.3,"aliphatic"
"C10H19O3N1","0-5cm","CPCRW","30d","CW","saturated",0,1,-1,"lost",1.9,0.3,"aliphatic"
"C12H14O3","5cm-end","CPCRW","150d","FAD","saturated",0,1,-1,"lost",1.17,0.25,"unsaturated/lignin"
"C12H14O3","5cm-end","CPCRW","90d","FAD","saturated",0,1,-1,"lost",1.17,0.25,"unsaturated/lignin"
"C12H14O3","5cm-end","CPCRW","150d","CW","saturated",0,1,-1,"lost",1.17,0.25,"unsaturated/lignin"
"C12H14O3","5cm-end","CPCRW","30d","FAD","saturated",0,1,-1,"lost",1.17,0.25,"unsaturated/lignin"
"C12H14O3","5cm-end","CPCRW","90d","CW","instant chemistry",0,1,-1,"lost",1.17,0.25,"unsaturated/lignin"
"C12H14O3","5cm-end","CPCRW","90d","FAD","instant chemistry",0,1,-1,"lost",1.17,0.25,"unsaturated/lignin"
"C12H14O3","5cm-end","CPCRW","30d","CW","saturated",0,1,-1,"lost",1.17,0.25,"unsaturated/lignin"
"C14H22O1","5cm-end","CPCRW","90d","FAD","instant chemistry",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","SR","150d","FAD","saturated",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","SR","90d","FAD","saturated",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","SR","150d","CW","saturated",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","SR","30d","FAD","saturated",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","SR","90d","CW","saturated",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","SR","30d","FAD","instant chemistry",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","SR","90d","CW","instant chemistry",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","SR","90d","FAD","instant chemistry",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","SR","30d","CW","instant chemistry",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","SR","30d","CW","saturated",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","CPCRW","150d","FAD","saturated",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","CPCRW","90d","FAD","saturated",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","CPCRW","90d","CW","instant chemistry",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","CPCRW","90d","FAD","instant chemistry",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C14H22O1","0-5cm","CPCRW","30d","CW","saturated",0,1,-1,"lost",1.57,0.07,"aliphatic"
"C10H8O3S1","0-5cm","SR","150d","FAD","saturated",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","0-5cm","SR","90d","FAD","saturated",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","0-5cm","SR","150d","CW","saturated",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","0-5cm","SR","30d","FAD","saturated",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","0-5cm","SR","90d","CW","saturated",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","0-5cm","SR","90d","CW","instant chemistry",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","0-5cm","SR","90d","FAD","instant chemistry",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","0-5cm","SR","30d","CW","instant chemistry",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","0-5cm","SR","30d","CW","saturated",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","5cm-end","SR","90d","CW","saturated",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","5cm-end","SR","30d","FAD","instant chemistry",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","5cm-end","SR","90d","CW","instant chemistry",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","5cm-end","SR","90d","FAD","instant chemistry",0,1,-1,"lost",0.8,0.3,"aromatic"
"C10H8O3S1","5cm-end","SR","30d","CW","saturated",0,1,-1,"lost",0.8,0.3,"aromatic"
"C12H16O3","5cm-end","CPCRW","150d","FAD","saturated",0,1,-1,"lost",1.33,0.25,"unsaturated/lignin"
"C12H16O3","5cm-end","CPCRW","90d","FAD","saturated",0,1,-1,"lost",1.33,0.25,"unsaturated/lignin"
"C12H16O3","5cm-end","CPCRW","150d","CW","saturated",0,1,-1,"lost",1.33,0.25,"unsaturated/lignin"
"C12H16O3","5cm-end","CPCRW","30d","FAD","saturated",0,1,-1,"lost",1.33,0.25,"unsaturated/lignin"
