date,Start_Time,Seq.Program,Site,Core,PPM_CO2,Mass_g,Initials,Notes1,Notes2
12Feb2020,10:50,EGM,,AMB,511,,,,
12Feb2020,,,CPCRW,14,492,,,,
12Feb2020,,,CPCRW,35,513,,,,
12Feb2020,,,CPCRW,49,539,,,,
12Feb2020,,,CPCRW,8,519,,,,
12Feb2020,,,CPCRW,48,540,,,,
12Feb2020,,,CPCRW,46,530,,,,
12Feb2020,,,CPCRW,79,548,,,,
12Feb2020,,,,amb,562,,,,
12Feb2020,,,CPCRW,85,573,,,,
12Feb2020,,,CPCRW,33,567,,sf,core top is cracked,
17Feb2020,16:38,EGM,,amb,589,,,,
17Feb2020,,,CPCRW,14,599,180.27,,,
17Feb2020,,,CPCRW,48,600,114.91,,,
17Feb2020,,,CPCRW,35,601,147.38,,,
17Feb2020,,,CPCRW,49,605,79.64,,,
17Feb2020,,,CPCRW,8,602,206.02,,,
17Feb2020,,,CPCRW,46,606,149.76,,,
17Feb2020,,,CPCRW,85,609,201.13,,,
17Feb2020,,,CPCRW,79,603,92.84,,,
17Feb2020,,,CPCRW,33,603,212.23,,,
17Feb2020,,,SR,56,614,199.87,,,
17Feb2020,,,SR,61,611,192.78,,,
17Feb2020,,,SR,80,610,213,,,
17Feb2020,,,SR,73,612,220.01,,,
17Feb2020,,,SR,35,613,136.52,,,
17Feb2020,,,SR,14,611,115.57,,,
17Feb2020,,,SR,26,615,142.26,,,
17Feb2020,,,SR,49,613,127.69,,,
17Feb2020,,,SR,28,614,133.58,,,
17Feb2020,,,SR,86,611,192.78,,,
17Feb2020,,,,amb,590,,,,
17Feb2020,,,SR,33,603,118.9,,,
17Feb2020,,,SR,4,599,141.57,,,
17Feb2020,,,SR,46,600,125.12,,,
17Feb2020,,,SR,63,605,192.07,,,
17Feb2020,,,SR,8,609,121.63,,,
17Feb2020,,,SR,13,607,131.48,,,
17Feb2020,,,,amb,565,,,,
18Feb2020,12:25,EGM,,amb,591,,,,
18Feb2020,,,CPCRW,14,693,235.58,,,
18Feb2020,,,CPCRW,48,724,222.05,,,
18Feb2020,,,CPCRW,35,889,178.60,,,
18Feb2020,,,CPCRW,49,796,144.18,,,
18Feb2020,,,CPCRW,8,1048,273.39,,,
18Feb2020,,,CPCRW,46,919,230.89,,,
18Feb2020,,,CPCRW,85,598,225.03,,,
18Feb2020,,,CPCRW,79,1202,227.40,,,
18Feb2020,,,CPCRW,33,596,261.12,,,
20Feb2020,,,SR,56,623,241.09,,,
20Feb2020,,,SR,61,657,274.37,,,
20Feb2020,,,SR,80,641,275.73,,,
20Feb2020,,,SR,73,702,297.73,,,
20Feb2020,,,SR,35,598,182.37,,,
20Feb2020,,,SR,14,605,161.58,,,
20Feb2020,,,SR,26,622,185.92,,,
20Feb2020,,,SR,49,642,175.53,,,
20Feb2020,,,SR,28,679,170.08,,,
20Feb2020,,,SR,86,657,227.11,,,
20Feb2020,,,,amb,499,,,,
20Feb2020,,,SR,33,617,161.43,,,
20Feb2020,,,SR,4,682,197.03,,,
20Feb2020,,,SR,46,634,172.67,,,
20Feb2020,,,SR,63,631,223.83,,,
20Feb2020,,,SR,8,662,176.34,,,
20Feb2020,,,SR,13,601,186.50,,,
20Feb2020,,,,amb,503,,,,
21Feb2020,,,CPCRW,14,984,244.59,,,
21Feb2020,,,CPCRW,48,853,227.66,,,
21Feb2020,,,CPCRW,35,793,183.24,,,
21Feb2020,,,CPCRW,49,892,148.15,,,
21Feb2020,,,CPCRW,8,925,235.33,,,
21Feb2020,,,CPCRW,46,879,237.39,,,
21Feb2020,,,CPCRW,85,688,228.43,,,
21Feb2020,,,CPCRW,79,890,235.17,,,
21Feb2020,,,CPCRW,33,794,265.56,,,
21Feb2020,,,SR,56,723,251.09,,,
21Feb2020,,,SR,61,742,280.91,,,
21Feb2020,,,SR,80,758,283.28,,,
21Feb2020,,,SR,73,749,303.63,,,
21Feb2020,,,SR,35,753,186.02,,,
21Feb2020,,,SR,14,722,164.85,,,
21Feb2020,,,SR,26,803,191.64,,,
21Feb2020,,,SR,49,826,179.56,,,
21Feb2020,,,SR,28,774,173.05,,,
21Feb2020,,,SR,86,790,235.74,,,
21Feb2020,,,,amb,531,,,,
21Feb2020,,,SR,33,766,163.22,,,
21Feb2020,,,SR,4,743,199.79,,,
21Feb2020,,,SR,46,797,175.63,,,
21Feb2020,,,SR,63,785,229.97,,,
21Feb2020,,,SR,8,798,180.76,,,
21Feb2020,,,SR,13,611,189.85,,,
21Feb2020,,,,amb,533,,,,
24Feb2020,,,CPCRW,14,640,243.53,,,
24Feb2020,,,CPCRW,48,643,225.19,,,
24Feb2020,,,CPCRW,35,638,181.12,,,
24Feb2020,,,CPCRW,49,625,144.83,,,
24Feb2020,,,CPCRW,8,656,278.69,,,
24Feb2020,,,CPCRW,46,661,232.45,,,
24Feb2020,,,CPCRW,85,615,226.65,,,
24Feb2020,,,CPCRW,79,646,228.05,,,
24Feb2020,,,CPCRW,33,572,261.28,,,
24Feb2020,,,,amb,,,,,
24Feb2020,,,SR,56,654,241.09,,,
24Feb2020,,,SR,61,672,274.37,,,
24Feb2020,,,SR,80,753,275.73,,,
24Feb2020,,,SR,73,732,297.73,,,
24Feb2020,,,SR,35,582,182.37,,,
24Feb2020,,,SR,14,690,161.58,,,
24Feb2020,,,SR,26,668,185.92,,,
24Feb2020,,,SR,49,642,175.53,,,
24Feb2020,,,SR,28,706,170.08,,,
24Feb2020,,,SR,86,673,227.11,,,
24Feb2020,,,,amb,547,,,,
24Feb2020,,,SR,33,622,161.43,,,
24Feb2020,,,SR,4,685,197.03,,,
24Feb2020,,,SR,46,599,172.67,,,
24Feb2020,,,SR,63,677,223.83,,,
24Feb2020,,,SR,8,680,176.34,,,
24Feb2020,,,SR,13,621,186.5,,,
24Feb2020,,,,amb,519,,,,
26Feb2020,,,CPCRW,14,601,247.78,,,
26Feb2020,,,CPCRW,48,549,228.93,,,
26Feb2020,,,CPCRW,35,651,183.83,,,
26Feb2020,,,CPCRW,49,590,148.28,,,
26Feb2020,,,CPCRW,8,567,281.00,,,
26Feb2020,,,CPCRW,46,552,236.83,,,
26Feb2020,,,CPCRW,85,559,228.63,,,
26Feb2020,,,CPCRW,79,573,235.45,,,
26Feb2020,,,CPCRW,33,551,263.02,,,
26Feb2020,,,,amb,538,,,,
26Feb2020,,,SR,56,587,262.39,,,
26Feb2020,,,SR,61,613,279.94,,,
26Feb2020,,,SR,80,621,288.31,,,
26Feb2020,,,SR,73,625,304.12,,,
26Feb2020,,,SR,35,605,187.93,,,
26Feb2020,,,SR,14,569,167.64,,,
26Feb2020,,,SR,26,574,195.62,,,
26Feb2020,,,SR,49,563,179.42,,,
26Feb2020,,,SR,28,554,172.87,,,
26Feb2020,,,SR,86,592,241.47,,,
26Feb2020,,,,amb,544,,,,
26Feb2020,,,SR,33,604,165.73,,,
26Feb2020,,,SR,4,570,199.75,,,
26Feb2020,,,SR,46,577,174.88,,,
26Feb2020,,,SR,63,559,234.50,,,
26Feb2020,,,SR,8,556,180.66,,,
26Feb2020,,,SR,13,563,188.85,,,
26Feb2020,,,,amb,528,,,,
28Feb2020,,,,amb,505,,,,
28Feb2020,,,CPCRW,14,583,249.63,,,
28Feb2020,,,CPCRW,48,610,230.22,,,
28Feb2020,,,CPCRW,35,600,185,,,
28Feb2020,,,CPCRW,49,575,149.98,,,
28Feb2020,,,CPCRW,8,616,282.46,,,
28Feb2020,,,CPCRW,46,582,238.8,,,
28Feb2020,,,CPCRW,85,570,230.34,,,
28Feb2020,,,CPCRW,79,653,236.94,,,
28Feb2020,,,CPCRW,33,560,264.25,,,
28Feb2020,,,,amb,515,,,,
28Feb2020,,,SR,56,620,263.32,,,
28Feb2020,,,SR,61,780,280.69,,,
28Feb2020,,,SR,80,624,289.55,,,
28Feb2020,,,SR,73,600,304.72,,,
28Feb2020,,,SR,35,595,188.68,,,
28Feb2020,,,SR,14,606,167.66,,,
28Feb2020,,,SR,26,603,195.55,,,
28Feb2020,,,SR,49,614,180.05,,,
28Feb2020,,,SR,28,574,173.76,,,
28Feb2020,,,SR,86,591,245.05,,,
28Feb2020,,,,amb,538,,,,
28Feb2020,,,SR,33,588,167.21,,,
28Feb2020,,,SR,4,584,199.99,,,
28Feb2020,,,SR,46,600,175.01,,,
28Feb2020,,,SR,63,583,235.71,,,
28Feb2020,,,SR,8,593,180.99,,,
28Feb2020,,,SR,13,577,188.66,,,
,,,,amb,544,,,,
