OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU0001	Unassigned	__	__	__	__	__	__
OTU0002	k__Archaea	p__Crenarchaeota	c__MBGA	o__NRP-J	f__	g__	s__
OTU0003	k__Archaea	p__Crenarchaeota	c__MCG	o__	f__	g__	s__
OTU0004	k__Archaea	p__Crenarchaeota	c__MCG	o__pGrfC26	f__	g__	s__
OTU0005	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	__	__
OTU0006	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__	s__
OTU0007	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	s__
OTU0008	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__SAGMA-X	g__	s__
OTU0009	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__SAGMA-X	g__Nitrosotalea	s__devanaterra
OTU0010	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus Nitrososphaera	s__
OTU0011	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus Nitrososphaera	s__SCA1145
OTU0012	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus Nitrososphaera	s__SCA1170
OTU0013	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus Nitrososphaera	s__gargensis
OTU0014	k__Archaea	p__Euryarchaeota	c__DSEG	o__ArcA07	f__	g__	s__
OTU0015	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__
OTU0016	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanocellales	f__Methanocellaceae	g__Methanocella	s__
OTU0017	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__ANME-2D	g__	s__
OTU0018	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__
OTU0019	k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__E2	__	__	__
OTU0020	k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__E2	f__DHVEG-1	g__	s__
OTU0021	k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__E2	f__[Methanomassiliicoccaceae]	g__Methanomassiliicoccus	s__
OTU0022	k__Archaea	p__[Parvarchaeota]	c__[Micrarchaea]	o__[Micrarchaeles]	f__	g__	s__
OTU0023	k__Archaea	p__[Parvarchaeota]	c__[Parvarchaea]	o__WCHD3-30	f__	g__	s__
OTU0024	k__Archaea	p__[Parvarchaeota]	c__[Parvarchaea]	o__YLA114	f__	g__	s__
OTU0025	k__Bacteria	__	__	__	__	__	__
OTU0026	k__Bacteria	p__	c__	o__	f__	g__	s__
OTU0027	k__Bacteria	p__AD3	__	__	__	__	__
OTU0028	k__Bacteria	p__AD3	c__	o__	f__	g__	s__
OTU0029	k__Bacteria	p__AD3	c__ABS-6	o__	f__	g__	s__
OTU0030	k__Bacteria	p__AD3	c__JG37-AG-4	o__	f__	g__	s__
OTU0031	k__Bacteria	p__Acidobacteria	__	__	__	__	__
OTU0032	k__Bacteria	p__Acidobacteria	c__	o__	f__	g__	s__
OTU0033	k__Bacteria	p__Acidobacteria	c__AT-s54	o__	f__	g__	s__
OTU0034	k__Bacteria	p__Acidobacteria	c__Acidobacteria-5	o__	f__	g__	s__
OTU0035	k__Bacteria	p__Acidobacteria	c__Acidobacteria-6	__	__	__	__
OTU0036	k__Bacteria	p__Acidobacteria	c__Acidobacteria-6	o__	f__	g__	s__
