num.trans.involved.in,sample,peak
4,Sample_CPCRW_0-5cm_timezero,200.129198071606
38,Sample_CPCRW_0-5cm_timezero,201.040432011387
14,Sample_CPCRW_0-5cm_timezero,201.076800501639
13,Sample_CPCRW_0-5cm_timezero,201.113184349333
41,Sample_CPCRW_0-5cm_timezero,203.05608409593
4,Sample_CPCRW_0-5cm_timezero,203.092441084776
4,Sample_CPCRW_0-5cm_timezero,205.159743053148
31,Sample_CPCRW_0-5cm_timezero,207.029871740369
28,Sample_CPCRW_0-5cm_timezero,207.066249888716
21,Sample_CPCRW_0-5cm_timezero,207.13902862263
7,Sample_CPCRW_0-5cm_timezero,209.04549362159
31,Sample_CPCRW_0-5cm_timezero,209.081899033451
24,Sample_CPCRW_0-5cm_timezero,209.154680817225
66,Sample_CPCRW_0-5cm_timezero,211.061185012928
41,Sample_CPCRW_0-5cm_timezero,211.097550868341
14,Sample_CPCRW_0-5cm_timezero,211.133923247355
61,Sample_CPCRW_0-5cm_timezero,213.076827980583
45,Sample_CPCRW_0-5cm_timezero,213.113203206456
18,Sample_CPCRW_0-5cm_timezero,214.108457214385
9,Sample_CPCRW_0-5cm_timezero,214.144844211309
43,Sample_CPCRW_0-5cm_timezero,215.056083013532
56,Sample_CPCRW_0-5cm_timezero,215.092475805151
18,Sample_CPCRW_0-5cm_timezero,215.128838452846
58,Sample_CPCRW_0-5cm_timezero,217.071748797308
37,Sample_CPCRW_0-5cm_timezero,217.108116025078
63,Sample_CPCRW_0-5cm_timezero,221.045537935211
21,Sample_CPCRW_0-5cm_timezero,221.081892385438
22,Sample_CPCRW_0-5cm_timezero,221.154689665063
45,Sample_CPCRW_0-5cm_timezero,223.061165769685
56,Sample_CPCRW_0-5cm_timezero,223.097567990928
38,Sample_CPCRW_0-5cm_timezero,223.133958232401
70,Sample_CPCRW_0-5cm_timezero,225.076843706721
49,Sample_CPCRW_0-5cm_timezero,227.092468866668
59,Sample_CPCRW_0-5cm_timezero,227.128882552166
52,Sample_CPCRW_0-5cm_timezero,227.165275709998
8,Sample_CPCRW_0-5cm_timezero,228.160510389427
65,Sample_CPCRW_0-5cm_timezero,229.071747953447
47,Sample_CPCRW_0-5cm_timezero,229.108118978894
40,Sample_CPCRW_0-5cm_timezero,229.14452854476
54,Sample_CPCRW_0-5cm_timezero,231.02990946784
64,Sample_CPCRW_0-5cm_timezero,231.087403612581
29,Sample_CPCRW_0-5cm_timezero,231.123760898775
56,Sample_CPCRW_0-5cm_timezero,233.045537641862
39,Sample_CPCRW_0-5cm_timezero,233.154707615695
53,Sample_CPCRW_0-5cm_timezero,235.024799133283
67,Sample_CPCRW_0-5cm_timezero,235.061195727985
61,Sample_CPCRW_0-5cm_timezero,235.097588151122
27,Sample_CPCRW_0-5cm_timezero,235.134002150485
38,Sample_CPCRW_0-5cm_timezero,235.170365022036
75,Sample_CPCRW_0-5cm_timezero,237.040463192464
67,Sample_CPCRW_0-5cm_timezero,237.076839708177
69,Sample_CPCRW_0-5cm_timezero,237.113227583853
80,Sample_CPCRW_0-5cm_timezero,239.019739402976
99,Sample_CPCRW_0-5cm_timezero,239.05612822707
96,Sample_CPCRW_0-5cm_timezero,239.092514091643
64,Sample_CPCRW_0-5cm_timezero,239.128889345626
62,Sample_CPCRW_0-5cm_timezero,241.071743906111
45,Sample_CPCRW_0-5cm_timezero,241.1081153992
63,Sample_CPCRW_0-5cm_timezero,241.144512488671
17,Sample_CPCRW_0-5cm_timezero,242.139788388269
9,Sample_CPCRW_0-5cm_timezero,242.176161468595
5,Sample_CPCRW_0-5cm_timezero,243.033264171335
57,Sample_CPCRW_0-5cm_timezero,243.087383319883
58,Sample_CPCRW_0-5cm_timezero,243.123775796397
62,Sample_CPCRW_0-5cm_timezero,243.160189130681
62,Sample_CPCRW_0-5cm_timezero,245.045561186885
2,Sample_CPCRW_0-5cm_timezero,245.048924442179
82,Sample_CPCRW_0-5cm_timezero,245.066695226483
89,Sample_CPCRW_0-5cm_timezero,245.103078637049
43,Sample_CPCRW_0-5cm_timezero,245.139438688763
62,Sample_CPCRW_0-5cm_timezero,247.061223728369
66,Sample_CPCRW_0-5cm_timezero,247.082349929829
70,Sample_CPCRW_0-5cm_timezero,247.097604003545
59,Sample_CPCRW_0-5cm_timezero,247.118736894549
35,Sample_CPCRW_0-5cm_timezero,247.13399558201
19,Sample_CPCRW_0-5cm_timezero,247.170343202036
13,Sample_CPCRW_0-5cm_timezero,248.113972331118
56,Sample_CPCRW_0-5cm_timezero,249.004069273472
82,Sample_CPCRW_0-5cm_timezero,249.040478307607
76,Sample_CPCRW_0-5cm_timezero,249.076850726497
45,Sample_CPCRW_0-5cm_timezero,249.113209559691
55,Sample_CPCRW_0-5cm_timezero,249.149628008469
14,Sample_CPCRW_0-5cm_timezero,250.144892900426
74,Sample_CPCRW_0-5cm_timezero,251.019727228638
51,Sample_CPCRW_0-5cm_timezero,251.056084909873
