num.trans.involved.in,sample,peak
39,Sample_CPCRW_5cm-end_timezero,201.040432011387
13,Sample_CPCRW_5cm-end_timezero,201.076800501639
13,Sample_CPCRW_5cm-end_timezero,201.113184349333
43,Sample_CPCRW_5cm-end_timezero,203.05608409593
5,Sample_CPCRW_5cm-end_timezero,203.092441084776
35,Sample_CPCRW_5cm-end_timezero,205.071731763593
7,Sample_CPCRW_5cm-end_timezero,205.086960644871
4,Sample_CPCRW_5cm-end_timezero,205.159743053148
32,Sample_CPCRW_5cm-end_timezero,207.066249888716
26,Sample_CPCRW_5cm-end_timezero,207.102631656349
21,Sample_CPCRW_5cm-end_timezero,207.13902862263
6,Sample_CPCRW_5cm-end_timezero,209.009094336339
7,Sample_CPCRW_5cm-end_timezero,209.04549362159
33,Sample_CPCRW_5cm-end_timezero,209.081899033451
24,Sample_CPCRW_5cm-end_timezero,209.154680817225
40,Sample_CPCRW_5cm-end_timezero,211.024788046436
72,Sample_CPCRW_5cm-end_timezero,211.061185012928
46,Sample_CPCRW_5cm-end_timezero,211.097550868341
15,Sample_CPCRW_5cm-end_timezero,211.133923247355
62,Sample_CPCRW_5cm-end_timezero,213.076827980583
46,Sample_CPCRW_5cm-end_timezero,213.113203206456
43,Sample_CPCRW_5cm-end_timezero,215.056083013532
56,Sample_CPCRW_5cm-end_timezero,215.092475805151
20,Sample_CPCRW_5cm-end_timezero,215.128838452846
6,Sample_CPCRW_5cm-end_timezero,217.0505670488
64,Sample_CPCRW_5cm-end_timezero,217.071748797308
38,Sample_CPCRW_5cm-end_timezero,217.108116025078
61,Sample_CPCRW_5cm-end_timezero,219.029902780215
26,Sample_CPCRW_5cm-end_timezero,219.066246341551
56,Sample_CPCRW_5cm-end_timezero,219.087396897402
30,Sample_CPCRW_5cm-end_timezero,221.009143510871
64,Sample_CPCRW_5cm-end_timezero,221.045537935211
24,Sample_CPCRW_5cm-end_timezero,221.081892385438
1,Sample_CPCRW_5cm-end_timezero,221.094786409188
43,Sample_CPCRW_5cm-end_timezero,221.11831112219
27,Sample_CPCRW_5cm-end_timezero,221.154689665063
50,Sample_CPCRW_5cm-end_timezero,223.024796983305
51,Sample_CPCRW_5cm-end_timezero,223.061165769685
61,Sample_CPCRW_5cm-end_timezero,223.097567990928
40,Sample_CPCRW_5cm-end_timezero,223.133958232401
85,Sample_CPCRW_5cm-end_timezero,225.040461404303
75,Sample_CPCRW_5cm-end_timezero,225.076843706721
36,Sample_CPCRW_5cm-end_timezero,225.113196924707
39,Sample_CPCRW_5cm-end_timezero,225.149607121522
86,Sample_CPCRW_5cm-end_timezero,227.056103460234
53,Sample_CPCRW_5cm-end_timezero,227.092468866668
66,Sample_CPCRW_5cm-end_timezero,227.128882552166
54,Sample_CPCRW_5cm-end_timezero,227.165275709998
8,Sample_CPCRW_5cm-end_timezero,228.160510389427
72,Sample_CPCRW_5cm-end_timezero,229.071747953447
47,Sample_CPCRW_5cm-end_timezero,229.108118978894
45,Sample_CPCRW_5cm-end_timezero,229.14452854476
49,Sample_CPCRW_5cm-end_timezero,231.02990946784
69,Sample_CPCRW_5cm-end_timezero,231.051029966924
75,Sample_CPCRW_5cm-end_timezero,231.087403612581
33,Sample_CPCRW_5cm-end_timezero,231.123760898775
62,Sample_CPCRW_5cm-end_timezero,233.030289202899
57,Sample_CPCRW_5cm-end_timezero,233.081958055576
63,Sample_CPCRW_5cm-end_timezero,233.103063642278
39,Sample_CPCRW_5cm-end_timezero,233.154707615695
71,Sample_CPCRW_5cm-end_timezero,235.061195727985
65,Sample_CPCRW_5cm-end_timezero,235.097588151122
28,Sample_CPCRW_5cm-end_timezero,235.134002150485
38,Sample_CPCRW_5cm-end_timezero,235.170365022036
80,Sample_CPCRW_5cm-end_timezero,237.040463192464
71,Sample_CPCRW_5cm-end_timezero,237.076839708177
73,Sample_CPCRW_5cm-end_timezero,237.113227583853
38,Sample_CPCRW_5cm-end_timezero,237.149608838652
78,Sample_CPCRW_5cm-end_timezero,239.019739402976
96,Sample_CPCRW_5cm-end_timezero,239.05612822707
95,Sample_CPCRW_5cm-end_timezero,239.092514091643
67,Sample_CPCRW_5cm-end_timezero,239.128889345626
90,Sample_CPCRW_5cm-end_timezero,241.035372566806
64,Sample_CPCRW_5cm-end_timezero,241.071743906111
47,Sample_CPCRW_5cm-end_timezero,241.1081153992
65,Sample_CPCRW_5cm-end_timezero,241.144512488671
21,Sample_CPCRW_5cm-end_timezero,242.139788388269
11,Sample_CPCRW_5cm-end_timezero,242.176161468595
91,Sample_CPCRW_5cm-end_timezero,243.051019364619
62,Sample_CPCRW_5cm-end_timezero,243.087383319883
59,Sample_CPCRW_5cm-end_timezero,243.123775796397
65,Sample_CPCRW_5cm-end_timezero,243.160189130681
58,Sample_CPCRW_5cm-end_timezero,245.045561186885
2,Sample_CPCRW_5cm-end_timezero,245.048924442179
80,Sample_CPCRW_5cm-end_timezero,245.066695226483
91,Sample_CPCRW_5cm-end_timezero,245.103078637049
49,Sample_CPCRW_5cm-end_timezero,245.139438688763
61,Sample_CPCRW_5cm-end_timezero,247.061223728369
66,Sample_CPCRW_5cm-end_timezero,247.082349929829
71,Sample_CPCRW_5cm-end_timezero,247.097604003545
61,Sample_CPCRW_5cm-end_timezero,247.118736894549
22,Sample_CPCRW_5cm-end_timezero,247.170343202036
16,Sample_CPCRW_5cm-end_timezero,248.113972331118
50,Sample_CPCRW_5cm-end_timezero,249.004069273472
79,Sample_CPCRW_5cm-end_timezero,249.040478307607
81,Sample_CPCRW_5cm-end_timezero,249.076850726497
47,Sample_CPCRW_5cm-end_timezero,249.113209559691
2,Sample_CPCRW_5cm-end_timezero,249.12615557589
54,Sample_CPCRW_5cm-end_timezero,249.149628008469
24,Sample_CPCRW_5cm-end_timezero,249.186044326361
16,Sample_CPCRW_5cm-end_timezero,250.144892900426
52,Sample_CPCRW_5cm-end_timezero,251.056084909873
94,Sample_CPCRW_5cm-end_timezero,251.092517630754
70,Sample_CPCRW_5cm-end_timezero,251.128905329432
48,Sample_CPCRW_5cm-end_timezero,251.165288464051
72,Sample_CPCRW_5cm-end_timezero,253.035411816162
102,Sample_CPCRW_5cm-end_timezero,253.071761326676
68,Sample_CPCRW_5cm-end_timezero,253.108136512448
66,Sample_CPCRW_5cm-end_timezero,253.144541584064
106,Sample_CPCRW_5cm-end_timezero,255.0510490924
88,Sample_CPCRW_5cm-end_timezero,255.087403359705
75,Sample_CPCRW_5cm-end_timezero,255.123782966422
66,Sample_CPCRW_5cm-end_timezero,255.160195995989
13,Sample_CPCRW_5cm-end_timezero,255.232977762415
51,Sample_CPCRW_5cm-end_timezero,257.04555441255
5,Sample_CPCRW_5cm-end_timezero,257.048907967591
103,Sample_CPCRW_5cm-end_timezero,257.066691025282
68,Sample_CPCRW_5cm-end_timezero,257.103038247992
84,Sample_CPCRW_5cm-end_timezero,257.139456525494
41,Sample_CPCRW_5cm-end_timezero,257.175820732902
21,Sample_CPCRW_5cm-end_timezero,258.134701386369
53,Sample_CPCRW_5cm-end_timezero,259.024819537458
77,Sample_CPCRW_5cm-end_timezero,259.04593379615
66,Sample_CPCRW_5cm-end_timezero,259.061213406762
6,Sample_CPCRW_5cm-end_timezero,259.064554773309
85,Sample_CPCRW_5cm-end_timezero,259.082347439397
25,Sample_CPCRW_5cm-end_timezero,259.097557504703
57,Sample_CPCRW_5cm-end_timezero,259.118689810059
58,Sample_CPCRW_5cm-end_timezero,259.155116849045
45,Sample_CPCRW_5cm-end_timezero,261.040448345413
42,Sample_CPCRW_5cm-end_timezero,261.061560562207
78,Sample_CPCRW_5cm-end_timezero,261.07685649851
72,Sample_CPCRW_5cm-end_timezero,261.098010657431
59,Sample_CPCRW_5cm-end_timezero,261.113241884706
53,Sample_CPCRW_5cm-end_timezero,261.134347287032
25,Sample_CPCRW_5cm-end_timezero,263.019695152174
80,Sample_CPCRW_5cm-end_timezero,263.05612832902
50,Sample_CPCRW_5cm-end_timezero,263.092474447482
60,Sample_CPCRW_5cm-end_timezero,263.128886566312
2,Sample_CPCRW_5cm-end_timezero,263.141790570457
49,Sample_CPCRW_5cm-end_timezero,263.165271683771
75,Sample_CPCRW_5cm-end_timezero,265.035372143763
109,Sample_CPCRW_5cm-end_timezero,265.07178636321
72,Sample_CPCRW_5cm-end_timezero,265.108128719713
32,Sample_CPCRW_5cm-end_timezero,265.144573245715
1,Sample_CPCRW_5cm-end_timezero,265.147924691397
36,Sample_CPCRW_5cm-end_timezero,266.067032233706
45,Sample_CPCRW_5cm-end_timezero,267.014685413298
88,Sample_CPCRW_5cm-end_timezero,267.051020106886
28,Sample_CPCRW_5cm-end_timezero,267.06630629449
99,Sample_CPCRW_5cm-end_timezero,267.087408204999
91,Sample_CPCRW_5cm-end_timezero,267.123806920169
45,Sample_CPCRW_5cm-end_timezero,267.160154944594
26,Sample_CPCRW_5cm-end_timezero,268.082629134214
6,Sample_CPCRW_5cm-end_timezero,268.0956804879
84,Sample_CPCRW_5cm-end_timezero,269.030309845215
95,Sample_CPCRW_5cm-end_timezero,269.066679107271
59,Sample_CPCRW_5cm-end_timezero,269.103034481325
78,Sample_CPCRW_5cm-end_timezero,269.139455293608
62,Sample_CPCRW_5cm-end_timezero,269.175852541098
86,Sample_CPCRW_5cm-end_timezero,271.045962582244
26,Sample_CPCRW_5cm-end_timezero,271.061180954285
7,Sample_CPCRW_5cm-end_timezero,271.064586141392
70,Sample_CPCRW_5cm-end_timezero,271.082310309023
60,Sample_CPCRW_5cm-end_timezero,271.118685980232
60,Sample_CPCRW_5cm-end_timezero,271.155125707642
60,Sample_CPCRW_5cm-end_timezero,271.19149620503
12,Sample_CPCRW_5cm-end_timezero,271.227902521572
22,Sample_CPCRW_5cm-end_timezero,272.150383933342
41,Sample_CPCRW_5cm-end_timezero,273.040452414567
7,Sample_CPCRW_5cm-end_timezero,273.043845175432
43,Sample_CPCRW_5cm-end_timezero,273.061562095889
65,Sample_CPCRW_5cm-end_timezero,273.076860332852
82,Sample_CPCRW_5cm-end_timezero,273.097970249773
37,Sample_CPCRW_5cm-end_timezero,273.113226678111
73,Sample_CPCRW_5cm-end_timezero,273.134388149476
72,Sample_CPCRW_5cm-end_timezero,273.170753927134
10,Sample_CPCRW_5cm-end_timezero,274.035775798341
59,Sample_CPCRW_5cm-end_timezero,275.019722859767
38,Sample_CPCRW_5cm-end_timezero,275.056094994047
64,Sample_CPCRW_5cm-end_timezero,275.07723345332
65,Sample_CPCRW_5cm-end_timezero,275.092512722103
48,Sample_CPCRW_5cm-end_timezero,275.113598589595
61,Sample_CPCRW_5cm-end_timezero,275.128899078333
71,Sample_CPCRW_5cm-end_timezero,275.150027572549
30,Sample_CPCRW_5cm-end_timezero,275.165247204403
1,Sample_CPCRW_5cm-end_timezero,275.971191734847
28,Sample_CPCRW_5cm-end_timezero,276.051385129296
37,Sample_CPCRW_5cm-end_timezero,276.108918395297
80,Sample_CPCRW_5cm-end_timezero,277.035404528692
80,Sample_CPCRW_5cm-end_timezero,277.071793628044
55,Sample_CPCRW_5cm-end_timezero,277.092884468614
68,Sample_CPCRW_5cm-end_timezero,277.108143156777
58,Sample_CPCRW_5cm-end_timezero,277.129280857407
37,Sample_CPCRW_5cm-end_timezero,277.144509445618
16,Sample_CPCRW_5cm-end_timezero,277.157551298438
33,Sample_CPCRW_5cm-end_timezero,277.180903661294
41,Sample_CPCRW_5cm-end_timezero,278.067020079214
22,Sample_CPCRW_5cm-end_timezero,278.088135531551
3,Sample_CPCRW_5cm-end_timezero,278.152807691184
27,Sample_CPCRW_5cm-end_timezero,279.014606008706
92,Sample_CPCRW_5cm-end_timezero,279.051022390082
