num.trans.involved.in,sample,peak
35,Sample_SR_0-5cm_timezero,201.040432011387
13,Sample_SR_0-5cm_timezero,201.076800501639
13,Sample_SR_0-5cm_timezero,201.113184349333
39,Sample_SR_0-5cm_timezero,203.05608409593
5,Sample_SR_0-5cm_timezero,203.092441084776
4,Sample_SR_0-5cm_timezero,205.159743053148
28,Sample_SR_0-5cm_timezero,207.066249888716
7,Sample_SR_0-5cm_timezero,209.04549362159
33,Sample_SR_0-5cm_timezero,209.081899033451
23,Sample_SR_0-5cm_timezero,209.154680817225
76,Sample_SR_0-5cm_timezero,211.061185012928
43,Sample_SR_0-5cm_timezero,211.097550868341
15,Sample_SR_0-5cm_timezero,211.133923247355
3,Sample_SR_0-5cm_timezero,213.022675198828
61,Sample_SR_0-5cm_timezero,213.076827980583
43,Sample_SR_0-5cm_timezero,213.113203206456
41,Sample_SR_0-5cm_timezero,215.056083013532
55,Sample_SR_0-5cm_timezero,215.092475805151
19,Sample_SR_0-5cm_timezero,215.128838452846
61,Sample_SR_0-5cm_timezero,217.071748797308
35,Sample_SR_0-5cm_timezero,217.108116025078
24,Sample_SR_0-5cm_timezero,219.066246341551
54,Sample_SR_0-5cm_timezero,219.087396897402
68,Sample_SR_0-5cm_timezero,221.045537935211
22,Sample_SR_0-5cm_timezero,221.081892385438
26,Sample_SR_0-5cm_timezero,221.154689665063
57,Sample_SR_0-5cm_timezero,223.097567990928
40,Sample_SR_0-5cm_timezero,223.133958232401
87,Sample_SR_0-5cm_timezero,225.040461404303
77,Sample_SR_0-5cm_timezero,225.076843706721
34,Sample_SR_0-5cm_timezero,225.113196924707
41,Sample_SR_0-5cm_timezero,225.149607121522
8,Sample_SR_0-5cm_timezero,227.001968391519
10,Sample_SR_0-5cm_timezero,227.038343144268
89,Sample_SR_0-5cm_timezero,227.056103460234
50,Sample_SR_0-5cm_timezero,227.092468866668
62,Sample_SR_0-5cm_timezero,227.128882552166
8,Sample_SR_0-5cm_timezero,228.160510389427
8,Sample_SR_0-5cm_timezero,229.017617022898
69,Sample_SR_0-5cm_timezero,229.071747953447
46,Sample_SR_0-5cm_timezero,229.108118978894
43,Sample_SR_0-5cm_timezero,229.14452854476
66,Sample_SR_0-5cm_timezero,231.051029966924
55,Sample_SR_0-5cm_timezero,231.066299536996
71,Sample_SR_0-5cm_timezero,231.087403612581
30,Sample_SR_0-5cm_timezero,231.123760898775
65,Sample_SR_0-5cm_timezero,233.045537641862
39,Sample_SR_0-5cm_timezero,233.154707615695
54,Sample_SR_0-5cm_timezero,235.024799133283
69,Sample_SR_0-5cm_timezero,235.061195727985
63,Sample_SR_0-5cm_timezero,235.097588151122
36,Sample_SR_0-5cm_timezero,235.170365022036
78,Sample_SR_0-5cm_timezero,237.040463192464
75,Sample_SR_0-5cm_timezero,237.076839708177
73,Sample_SR_0-5cm_timezero,237.113227583853
98,Sample_SR_0-5cm_timezero,239.092514091643
65,Sample_SR_0-5cm_timezero,239.128889345626
9,Sample_SR_0-5cm_timezero,241.017625152852
66,Sample_SR_0-5cm_timezero,241.071743906111
44,Sample_SR_0-5cm_timezero,241.1081153992
62,Sample_SR_0-5cm_timezero,241.144512488671
19,Sample_SR_0-5cm_timezero,242.139788388269
11,Sample_SR_0-5cm_timezero,242.176161468595
13,Sample_SR_0-5cm_timezero,243.033264171335
93,Sample_SR_0-5cm_timezero,243.051019364619
58,Sample_SR_0-5cm_timezero,243.087383319883
57,Sample_SR_0-5cm_timezero,243.123775796397
64,Sample_SR_0-5cm_timezero,243.160189130681
9,Sample_SR_0-5cm_timezero,245.048924442179
82,Sample_SR_0-5cm_timezero,245.066695226483
93,Sample_SR_0-5cm_timezero,245.103078637049
44,Sample_SR_0-5cm_timezero,245.139438688763
42,Sample_SR_0-5cm_timezero,247.024798946455
68,Sample_SR_0-5cm_timezero,247.061223728369
67,Sample_SR_0-5cm_timezero,247.082349929829
73,Sample_SR_0-5cm_timezero,247.097604003545
60,Sample_SR_0-5cm_timezero,247.118736894549
21,Sample_SR_0-5cm_timezero,247.170343202036
14,Sample_SR_0-5cm_timezero,248.113972331118
6,Sample_SR_0-5cm_timezero,249.022729906124
73,Sample_SR_0-5cm_timezero,249.040478307607
81,Sample_SR_0-5cm_timezero,249.076850726497
47,Sample_SR_0-5cm_timezero,249.113209559691
56,Sample_SR_0-5cm_timezero,249.149628008469
14,Sample_SR_0-5cm_timezero,250.144892900426
69,Sample_SR_0-5cm_timezero,251.019727228638
52,Sample_SR_0-5cm_timezero,251.056084909873
96,Sample_SR_0-5cm_timezero,251.092517630754
69,Sample_SR_0-5cm_timezero,251.128905329432
47,Sample_SR_0-5cm_timezero,251.165288464051
73,Sample_SR_0-5cm_timezero,253.035411816162
105,Sample_SR_0-5cm_timezero,253.071761326676
66,Sample_SR_0-5cm_timezero,253.108136512448
66,Sample_SR_0-5cm_timezero,253.144541584064
11,Sample_SR_0-5cm_timezero,255.033274587891
110,Sample_SR_0-5cm_timezero,255.0510490924
40,Sample_SR_0-5cm_timezero,255.066309804667
87,Sample_SR_0-5cm_timezero,255.087403359705
72,Sample_SR_0-5cm_timezero,255.123782966422
66,Sample_SR_0-5cm_timezero,255.160195995989
12,Sample_SR_0-5cm_timezero,255.232977762415
11,Sample_SR_0-5cm_timezero,257.048907967591
100,Sample_SR_0-5cm_timezero,257.066691025282
31,Sample_SR_0-5cm_timezero,257.08192056643
65,Sample_SR_0-5cm_timezero,257.103038247992
82,Sample_SR_0-5cm_timezero,257.139456525494
41,Sample_SR_0-5cm_timezero,257.175820732902
15,Sample_SR_0-5cm_timezero,258.171082842925
75,Sample_SR_0-5cm_timezero,259.04593379615
68,Sample_SR_0-5cm_timezero,259.061213406762
12,Sample_SR_0-5cm_timezero,259.064554773309
85,Sample_SR_0-5cm_timezero,259.082347439397
59,Sample_SR_0-5cm_timezero,259.118689810059
56,Sample_SR_0-5cm_timezero,259.155116849045
46,Sample_SR_0-5cm_timezero,261.040448345413
42,Sample_SR_0-5cm_timezero,261.061560562207
80,Sample_SR_0-5cm_timezero,261.07685649851
71,Sample_SR_0-5cm_timezero,261.098010657431
60,Sample_SR_0-5cm_timezero,261.113241884706
1,Sample_SR_0-5cm_timezero,261.955570452888
24,Sample_SR_0-5cm_timezero,263.019695152174
6,Sample_SR_0-5cm_timezero,263.038380861068
74,Sample_SR_0-5cm_timezero,263.05612832902
47,Sample_SR_0-5cm_timezero,263.092474447482
63,Sample_SR_0-5cm_timezero,263.128886566312
2,Sample_SR_0-5cm_timezero,263.141790570457
49,Sample_SR_0-5cm_timezero,263.165271683771
79,Sample_SR_0-5cm_timezero,265.035372143763
113,Sample_SR_0-5cm_timezero,265.07178636321
80,Sample_SR_0-5cm_timezero,265.108128719713
29,Sample_SR_0-5cm_timezero,265.144573245715
4,Sample_SR_0-5cm_timezero,265.147924691397
38,Sample_SR_0-5cm_timezero,266.067032233706
1,Sample_SR_0-5cm_timezero,266.089469077369
31,Sample_SR_0-5cm_timezero,266.10343634331
93,Sample_SR_0-5cm_timezero,267.051020106886
102,Sample_SR_0-5cm_timezero,267.087408204999
88,Sample_SR_0-5cm_timezero,267.123806920169
42,Sample_SR_0-5cm_timezero,267.160154944594
82,Sample_SR_0-5cm_timezero,269.030309845215
6,Sample_SR_0-5cm_timezero,269.048894673322
95,Sample_SR_0-5cm_timezero,269.066679107271
28,Sample_SR_0-5cm_timezero,269.081930802507
