num.trans.involved.in,sample,peak
8,Sample_SR_5cm-end_timezero,201.076800501639
35,Sample_SR_5cm-end_timezero,203.05608409593
21,Sample_SR_5cm-end_timezero,209.154680817225
36,Sample_SR_5cm-end_timezero,211.097550868341
10,Sample_SR_5cm-end_timezero,211.133923247355
1,Sample_SR_5cm-end_timezero,213.022675198828
52,Sample_SR_5cm-end_timezero,213.076827980583
36,Sample_SR_5cm-end_timezero,215.056083013532
47,Sample_SR_5cm-end_timezero,215.092475805151
54,Sample_SR_5cm-end_timezero,217.071748797308
30,Sample_SR_5cm-end_timezero,217.108116025078
14,Sample_SR_5cm-end_timezero,221.081892385438
21,Sample_SR_5cm-end_timezero,221.154689665063
33,Sample_SR_5cm-end_timezero,223.133958232401
6,Sample_SR_5cm-end_timezero,227.038343144268
42,Sample_SR_5cm-end_timezero,227.092468866668
55,Sample_SR_5cm-end_timezero,227.128882552166
4,Sample_SR_5cm-end_timezero,229.017617022898
59,Sample_SR_5cm-end_timezero,229.071747953447
41,Sample_SR_5cm-end_timezero,229.108118978894
32,Sample_SR_5cm-end_timezero,229.14452854476
61,Sample_SR_5cm-end_timezero,231.087403612581
25,Sample_SR_5cm-end_timezero,231.123760898775
31,Sample_SR_5cm-end_timezero,233.154707615695
54,Sample_SR_5cm-end_timezero,235.061195727985
55,Sample_SR_5cm-end_timezero,235.097588151122
27,Sample_SR_5cm-end_timezero,235.170365022036
59,Sample_SR_5cm-end_timezero,237.076839708177
60,Sample_SR_5cm-end_timezero,237.113227583853
85,Sample_SR_5cm-end_timezero,239.092514091643
58,Sample_SR_5cm-end_timezero,239.128889345626
55,Sample_SR_5cm-end_timezero,241.071743906111
56,Sample_SR_5cm-end_timezero,241.144512488671
14,Sample_SR_5cm-end_timezero,242.139788388269
7,Sample_SR_5cm-end_timezero,243.033264171335
51,Sample_SR_5cm-end_timezero,243.087383319883
50,Sample_SR_5cm-end_timezero,243.123775796397
72,Sample_SR_5cm-end_timezero,245.066695226483
84,Sample_SR_5cm-end_timezero,245.103078637049
39,Sample_SR_5cm-end_timezero,245.139438688763
55,Sample_SR_5cm-end_timezero,247.082349929829
