num.trans.involved.in,sample,peak
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,200.056421047341
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,201.040432011387
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,201.076800501639
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,201.113184349333
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,203.03494877725
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,203.05608409593
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,203.092441084776
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,203.12884613206
4,Sample_0-5cm_CPCRW_150d_FAD_saturated,205.014216525685
6,Sample_0-5cm_CPCRW_150d_FAD_saturated,205.050591373361
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,205.071731763593
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,205.086960644871
4,Sample_0-5cm_CPCRW_150d_FAD_saturated,206.993529064427
4,Sample_0-5cm_CPCRW_150d_FAD_saturated,207.029871740369
8,Sample_0-5cm_CPCRW_150d_FAD_saturated,207.066249888716
1,Sample_0-5cm_CPCRW_150d_FAD_saturated,208.025169017226
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,208.061515321487
6,Sample_0-5cm_CPCRW_150d_FAD_saturated,209.081899033451
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,210.040764903553
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,211.024788046436
9,Sample_0-5cm_CPCRW_150d_FAD_saturated,211.061185012928
7,Sample_0-5cm_CPCRW_150d_FAD_saturated,211.097550868341
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,211.133923247355
1,Sample_0-5cm_CPCRW_150d_FAD_saturated,212.020080817999
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,212.056429136061
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,213.00404828442
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,213.040437971956
8,Sample_0-5cm_CPCRW_150d_FAD_saturated,213.076827980583
11,Sample_0-5cm_CPCRW_150d_FAD_saturated,213.113203206456
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,214.0721372197
4,Sample_0-5cm_CPCRW_150d_FAD_saturated,215.019705872551
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,215.056083013532
9,Sample_0-5cm_CPCRW_150d_FAD_saturated,215.092475805151
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,215.128838452846
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,216.087766753566
8,Sample_0-5cm_CPCRW_150d_FAD_saturated,217.035412567776
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,217.071748797308
4,Sample_0-5cm_CPCRW_150d_FAD_saturated,217.108116025078
1,Sample_0-5cm_CPCRW_150d_FAD_saturated,218.103348762132
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,219.029902780215
4,Sample_0-5cm_CPCRW_150d_FAD_saturated,219.051008047942
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,219.066246341551
6,Sample_0-5cm_CPCRW_150d_FAD_saturated,219.087396897402
6,Sample_0-5cm_CPCRW_150d_FAD_saturated,221.009143510871
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,221.045537935211
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,221.081892385438
2,Sample_0-5cm_CPCRW_150d_FAD_saturated,221.154689665063
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,222.040772208661
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,222.0771552644
4,Sample_0-5cm_CPCRW_150d_FAD_saturated,223.024796983305
4,Sample_0-5cm_CPCRW_150d_FAD_saturated,223.061165769685
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,223.097567990928
1,Sample_0-5cm_CPCRW_150d_FAD_saturated,223.133958232401
1,Sample_0-5cm_CPCRW_150d_FAD_saturated,224.020029925158
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,224.056455543464
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,225.004052499792
12,Sample_0-5cm_CPCRW_150d_FAD_saturated,225.040461404303
11,Sample_0-5cm_CPCRW_150d_FAD_saturated,225.076843706721
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,225.113196924707
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,226.035696944554
7,Sample_0-5cm_CPCRW_150d_FAD_saturated,226.072098117212
7,Sample_0-5cm_CPCRW_150d_FAD_saturated,227.019726617044
13,Sample_0-5cm_CPCRW_150d_FAD_saturated,227.056103460234
10,Sample_0-5cm_CPCRW_150d_FAD_saturated,227.092468866668
3,Sample_0-5cm_CPCRW_150d_FAD_saturated,227.103721453492
6,Sample_0-5cm_CPCRW_150d_FAD_saturated,227.128882552166
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,228.051354097989
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,228.087728757983
7,Sample_0-5cm_CPCRW_150d_FAD_saturated,229.03538289919
11,Sample_0-5cm_CPCRW_150d_FAD_saturated,229.071747953447
10,Sample_0-5cm_CPCRW_150d_FAD_saturated,229.108118978894
5,Sample_0-5cm_CPCRW_150d_FAD_saturated,229.14452854476
6,Sample_0-5cm_CPCRW_150d_FAD_saturated,230.0670179379
