num.trans.involved.in,sample,peak
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,201.040432011387
4,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,201.076800501639
1,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,201.088044699467
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,201.113184349333
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,203.03494877725
4,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,203.05608409593
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,203.092441084776
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,203.12884613206
4,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,205.014216525685
6,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,205.050591373361
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,205.071731763593
4,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,206.993529064427
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,207.029871740369
7,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,207.066249888716
5,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,209.081899033451
1,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,209.154680817225
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,211.024788046436
8,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,211.061185012928
8,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,211.097550868341
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,211.133923247355
1,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,212.020080817999
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,213.00404828442
5,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,213.040437971956
7,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,213.076827980583
11,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,213.113203206456
4,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,215.056083013532
9,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,215.092475805151
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,215.128838452846
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,216.087766753566
8,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,217.014253463146
7,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,217.035412567776
5,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,217.071748797308
4,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,217.108116025078
1,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,218.103348762132
6,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,219.029902780215
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,219.066246341551
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,219.087396897402
6,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,221.009143510871
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,221.045537935211
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,221.081892385438
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,221.154689665063
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,222.98845106692
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,223.024796983305
4,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,223.061165769685
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,223.097567990928
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,225.004052499792
12,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,225.040461404303
9,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,225.076843706721
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,225.113196924707
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,225.149607121522
4,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,226.035696944554
7,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,227.019726617044
12,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,227.056103460234
9,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,227.092468866668
6,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,227.103721453492
6,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,227.128882552166
3,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,227.140092300741
6,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,229.03538289919
11,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,229.071747953447
10,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,229.108118978894
6,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,229.14452854476
2,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,229.15574649859
8,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,230.103403115374
7,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,231.02990946784
7,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,231.051029966924
10,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,231.066299536996
9,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,231.087403612581
7,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,231.123760898775
1,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,231.160160041837
8,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,233.009167064654
6,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,233.045537641862
6,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,233.06671127341
5,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,233.081958055576
7,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,233.103063642278
5,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,233.139445372554
5,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,233.154707615695
1,Sample_0-5cm_CPCRW_90d_CW_instant chemistry,234.988396324833
