num.trans.involved.in,sample,peak
2,Sample_0-5cm_CPCRW_90d_CW_saturated,201.040432011387
3,Sample_0-5cm_CPCRW_90d_CW_saturated,201.076800501639
2,Sample_0-5cm_CPCRW_90d_CW_saturated,201.113184349333
2,Sample_0-5cm_CPCRW_90d_CW_saturated,203.03494877725
4,Sample_0-5cm_CPCRW_90d_CW_saturated,203.05608409593
2,Sample_0-5cm_CPCRW_90d_CW_saturated,203.092441084776
4,Sample_0-5cm_CPCRW_90d_CW_saturated,205.014216525685
6,Sample_0-5cm_CPCRW_90d_CW_saturated,205.050591373361
3,Sample_0-5cm_CPCRW_90d_CW_saturated,205.071731763593
4,Sample_0-5cm_CPCRW_90d_CW_saturated,207.029871740369
7,Sample_0-5cm_CPCRW_90d_CW_saturated,207.066249888716
1,Sample_0-5cm_CPCRW_90d_CW_saturated,209.04549362159
7,Sample_0-5cm_CPCRW_90d_CW_saturated,209.081899033451
4,Sample_0-5cm_CPCRW_90d_CW_saturated,209.118282527766
2,Sample_0-5cm_CPCRW_90d_CW_saturated,210.040764903553
3,Sample_0-5cm_CPCRW_90d_CW_saturated,211.024788046436
9,Sample_0-5cm_CPCRW_90d_CW_saturated,211.061185012928
7,Sample_0-5cm_CPCRW_90d_CW_saturated,211.097550868341
3,Sample_0-5cm_CPCRW_90d_CW_saturated,211.133923247355
1,Sample_0-5cm_CPCRW_90d_CW_saturated,212.020080817999
6,Sample_0-5cm_CPCRW_90d_CW_saturated,212.056429136061
4,Sample_0-5cm_CPCRW_90d_CW_saturated,213.040437971956
8,Sample_0-5cm_CPCRW_90d_CW_saturated,213.076827980583
11,Sample_0-5cm_CPCRW_90d_CW_saturated,213.113203206456
3,Sample_0-5cm_CPCRW_90d_CW_saturated,214.0721372197
1,Sample_0-5cm_CPCRW_90d_CW_saturated,215.001982447913
4,Sample_0-5cm_CPCRW_90d_CW_saturated,215.056083013532
9,Sample_0-5cm_CPCRW_90d_CW_saturated,215.092475805151
3,Sample_0-5cm_CPCRW_90d_CW_saturated,215.128838452846
4,Sample_0-5cm_CPCRW_90d_CW_saturated,217.071748797308
4,Sample_0-5cm_CPCRW_90d_CW_saturated,217.108116025078
2,Sample_0-5cm_CPCRW_90d_CW_saturated,218.103348762132
5,Sample_0-5cm_CPCRW_90d_CW_saturated,219.029902780215
2,Sample_0-5cm_CPCRW_90d_CW_saturated,219.066246341551
5,Sample_0-5cm_CPCRW_90d_CW_saturated,219.087396897402
3,Sample_0-5cm_CPCRW_90d_CW_saturated,219.102658669731
6,Sample_0-5cm_CPCRW_90d_CW_saturated,221.009143510871
4,Sample_0-5cm_CPCRW_90d_CW_saturated,221.045537935211
2,Sample_0-5cm_CPCRW_90d_CW_saturated,221.066644773253
3,Sample_0-5cm_CPCRW_90d_CW_saturated,221.081892385438
2,Sample_0-5cm_CPCRW_90d_CW_saturated,221.154689665063
2,Sample_0-5cm_CPCRW_90d_CW_saturated,222.040772208661
4,Sample_0-5cm_CPCRW_90d_CW_saturated,223.024796983305
4,Sample_0-5cm_CPCRW_90d_CW_saturated,223.061165769685
4,Sample_0-5cm_CPCRW_90d_CW_saturated,223.097567990928
1,Sample_0-5cm_CPCRW_90d_CW_saturated,223.133958232401
5,Sample_0-5cm_CPCRW_90d_CW_saturated,224.056455543464
4,Sample_0-5cm_CPCRW_90d_CW_saturated,225.004052499792
12,Sample_0-5cm_CPCRW_90d_CW_saturated,225.040461404303
11,Sample_0-5cm_CPCRW_90d_CW_saturated,225.076843706721
4,Sample_0-5cm_CPCRW_90d_CW_saturated,225.113196924707
7,Sample_0-5cm_CPCRW_90d_CW_saturated,226.035696944554
7,Sample_0-5cm_CPCRW_90d_CW_saturated,226.072098117212
7,Sample_0-5cm_CPCRW_90d_CW_saturated,227.019726617044
13,Sample_0-5cm_CPCRW_90d_CW_saturated,227.056103460234
11,Sample_0-5cm_CPCRW_90d_CW_saturated,227.092468866668
6,Sample_0-5cm_CPCRW_90d_CW_saturated,227.128882552166
4,Sample_0-5cm_CPCRW_90d_CW_saturated,228.051354097989
4,Sample_0-5cm_CPCRW_90d_CW_saturated,228.087728757983
3,Sample_0-5cm_CPCRW_90d_CW_saturated,229.017617022898
7,Sample_0-5cm_CPCRW_90d_CW_saturated,229.03538289919
11,Sample_0-5cm_CPCRW_90d_CW_saturated,229.071747953447
10,Sample_0-5cm_CPCRW_90d_CW_saturated,229.108118978894
4,Sample_0-5cm_CPCRW_90d_CW_saturated,229.14452854476
5,Sample_0-5cm_CPCRW_90d_CW_saturated,230.0670179379
6,Sample_0-5cm_CPCRW_90d_CW_saturated,231.02990946784
6,Sample_0-5cm_CPCRW_90d_CW_saturated,231.051029966924
10,Sample_0-5cm_CPCRW_90d_CW_saturated,231.066299536996
8,Sample_0-5cm_CPCRW_90d_CW_saturated,231.087403612581
3,Sample_0-5cm_CPCRW_90d_CW_saturated,231.102703095113
6,Sample_0-5cm_CPCRW_90d_CW_saturated,231.123760898775
4,Sample_0-5cm_CPCRW_90d_CW_saturated,232.082707658998
7,Sample_0-5cm_CPCRW_90d_CW_saturated,233.009167064654
7,Sample_0-5cm_CPCRW_90d_CW_saturated,233.045537641862
6,Sample_0-5cm_CPCRW_90d_CW_saturated,233.06671127341
5,Sample_0-5cm_CPCRW_90d_CW_saturated,233.081958055576
6,Sample_0-5cm_CPCRW_90d_CW_saturated,233.103063642278
7,Sample_0-5cm_CPCRW_90d_CW_saturated,233.118317438042
5,Sample_0-5cm_CPCRW_90d_CW_saturated,233.154707615695
6,Sample_0-5cm_CPCRW_90d_CW_saturated,235.024799133283
8,Sample_0-5cm_CPCRW_90d_CW_saturated,235.061195727985
6,Sample_0-5cm_CPCRW_90d_CW_saturated,235.097588151122
2,Sample_0-5cm_CPCRW_90d_CW_saturated,235.134002150485
