num.trans.involved.in,sample,peak
1,Sample_0-5cm_CPCRW_timezero__timezero,200.129198071606
2,Sample_0-5cm_CPCRW_timezero__timezero,201.040432011387
3,Sample_0-5cm_CPCRW_timezero__timezero,201.076800501639
2,Sample_0-5cm_CPCRW_timezero__timezero,201.113184349333
1,Sample_0-5cm_CPCRW_timezero__timezero,203.05608409593
1,Sample_0-5cm_CPCRW_timezero__timezero,203.092441084776
2,Sample_0-5cm_CPCRW_timezero__timezero,207.029871740369
6,Sample_0-5cm_CPCRW_timezero__timezero,207.066249888716
3,Sample_0-5cm_CPCRW_timezero__timezero,207.13902862263
4,Sample_0-5cm_CPCRW_timezero__timezero,209.081899033451
2,Sample_0-5cm_CPCRW_timezero__timezero,209.154680817225
7,Sample_0-5cm_CPCRW_timezero__timezero,211.061185012928
6,Sample_0-5cm_CPCRW_timezero__timezero,211.097550868341
2,Sample_0-5cm_CPCRW_timezero__timezero,211.133923247355
7,Sample_0-5cm_CPCRW_timezero__timezero,213.076827980583
12,Sample_0-5cm_CPCRW_timezero__timezero,213.113203206456
2,Sample_0-5cm_CPCRW_timezero__timezero,214.108457214385
2,Sample_0-5cm_CPCRW_timezero__timezero,214.144844211309
3,Sample_0-5cm_CPCRW_timezero__timezero,215.056083013532
9,Sample_0-5cm_CPCRW_timezero__timezero,215.092475805151
3,Sample_0-5cm_CPCRW_timezero__timezero,215.128838452846
4,Sample_0-5cm_CPCRW_timezero__timezero,217.071748797308
4,Sample_0-5cm_CPCRW_timezero__timezero,217.108116025078
4,Sample_0-5cm_CPCRW_timezero__timezero,221.045537935211
2,Sample_0-5cm_CPCRW_timezero__timezero,221.081892385438
3,Sample_0-5cm_CPCRW_timezero__timezero,221.154689665063
4,Sample_0-5cm_CPCRW_timezero__timezero,223.061165769685
3,Sample_0-5cm_CPCRW_timezero__timezero,223.097567990928
1,Sample_0-5cm_CPCRW_timezero__timezero,223.133958232401
8,Sample_0-5cm_CPCRW_timezero__timezero,225.076843706721
9,Sample_0-5cm_CPCRW_timezero__timezero,227.092468866668
6,Sample_0-5cm_CPCRW_timezero__timezero,227.128882552166
6,Sample_0-5cm_CPCRW_timezero__timezero,227.165275709998
1,Sample_0-5cm_CPCRW_timezero__timezero,228.160510389427
9,Sample_0-5cm_CPCRW_timezero__timezero,229.071747953447
10,Sample_0-5cm_CPCRW_timezero__timezero,229.108118978894
4,Sample_0-5cm_CPCRW_timezero__timezero,229.14452854476
5,Sample_0-5cm_CPCRW_timezero__timezero,231.02990946784
5,Sample_0-5cm_CPCRW_timezero__timezero,231.087403612581
6,Sample_0-5cm_CPCRW_timezero__timezero,231.123760898775
5,Sample_0-5cm_CPCRW_timezero__timezero,233.045537641862
5,Sample_0-5cm_CPCRW_timezero__timezero,233.154707615695
5,Sample_0-5cm_CPCRW_timezero__timezero,235.024799133283
9,Sample_0-5cm_CPCRW_timezero__timezero,235.061195727985
5,Sample_0-5cm_CPCRW_timezero__timezero,235.097588151122
2,Sample_0-5cm_CPCRW_timezero__timezero,235.134002150485
5,Sample_0-5cm_CPCRW_timezero__timezero,235.170365022036
4,Sample_0-5cm_CPCRW_timezero__timezero,237.040463192464
9,Sample_0-5cm_CPCRW_timezero__timezero,237.076839708177
6,Sample_0-5cm_CPCRW_timezero__timezero,237.113227583853
4,Sample_0-5cm_CPCRW_timezero__timezero,239.019739402976
11,Sample_0-5cm_CPCRW_timezero__timezero,239.05612822707
5,Sample_0-5cm_CPCRW_timezero__timezero,239.092514091643
7,Sample_0-5cm_CPCRW_timezero__timezero,239.128889345626
6,Sample_0-5cm_CPCRW_timezero__timezero,241.071743906111
6,Sample_0-5cm_CPCRW_timezero__timezero,241.1081153992
3,Sample_0-5cm_CPCRW_timezero__timezero,241.144512488671
3,Sample_0-5cm_CPCRW_timezero__timezero,242.139788388269
2,Sample_0-5cm_CPCRW_timezero__timezero,242.176161468595
1,Sample_0-5cm_CPCRW_timezero__timezero,243.033264171335
7,Sample_0-5cm_CPCRW_timezero__timezero,243.087383319883
8,Sample_0-5cm_CPCRW_timezero__timezero,243.123775796397
7,Sample_0-5cm_CPCRW_timezero__timezero,243.160189130681
8,Sample_0-5cm_CPCRW_timezero__timezero,245.045561186885
1,Sample_0-5cm_CPCRW_timezero__timezero,245.048924442179
7,Sample_0-5cm_CPCRW_timezero__timezero,245.066695226483
8,Sample_0-5cm_CPCRW_timezero__timezero,245.103078637049
3,Sample_0-5cm_CPCRW_timezero__timezero,245.139438688763
5,Sample_0-5cm_CPCRW_timezero__timezero,247.061223728369
4,Sample_0-5cm_CPCRW_timezero__timezero,247.082349929829
8,Sample_0-5cm_CPCRW_timezero__timezero,247.097604003545
7,Sample_0-5cm_CPCRW_timezero__timezero,247.118736894549
5,Sample_0-5cm_CPCRW_timezero__timezero,247.13399558201
2,Sample_0-5cm_CPCRW_timezero__timezero,247.170343202036
2,Sample_0-5cm_CPCRW_timezero__timezero,248.113972331118
5,Sample_0-5cm_CPCRW_timezero__timezero,249.004069273472
7,Sample_0-5cm_CPCRW_timezero__timezero,249.040478307607
7,Sample_0-5cm_CPCRW_timezero__timezero,249.076850726497
4,Sample_0-5cm_CPCRW_timezero__timezero,249.113209559691
6,Sample_0-5cm_CPCRW_timezero__timezero,249.149628008469
1,Sample_0-5cm_CPCRW_timezero__timezero,250.144892900426
7,Sample_0-5cm_CPCRW_timezero__timezero,251.019727228638
2,Sample_0-5cm_CPCRW_timezero__timezero,251.056084909873
8,Sample_0-5cm_CPCRW_timezero__timezero,251.092517630754
7,Sample_0-5cm_CPCRW_timezero__timezero,251.128905329432
6,Sample_0-5cm_CPCRW_timezero__timezero,251.165288464051
7,Sample_0-5cm_CPCRW_timezero__timezero,253.035411816162
14,Sample_0-5cm_CPCRW_timezero__timezero,253.071761326676
7,Sample_0-5cm_CPCRW_timezero__timezero,253.108136512448
8,Sample_0-5cm_CPCRW_timezero__timezero,253.144541584064
11,Sample_0-5cm_CPCRW_timezero__timezero,255.0510490924
12,Sample_0-5cm_CPCRW_timezero__timezero,255.087403359705
8,Sample_0-5cm_CPCRW_timezero__timezero,255.123782966422
8,Sample_0-5cm_CPCRW_timezero__timezero,255.160195995989
2,Sample_0-5cm_CPCRW_timezero__timezero,257.048907967591
7,Sample_0-5cm_CPCRW_timezero__timezero,257.066691025282
