num.trans.involved.in,sample,peak
3,Sample_0-5cm_SR_90d_CW_instant chemistry,200.056421047341
2,Sample_0-5cm_SR_90d_CW_instant chemistry,200.092814523545
2,Sample_0-5cm_SR_90d_CW_instant chemistry,201.040432011387
4,Sample_0-5cm_SR_90d_CW_instant chemistry,201.076800501639
1,Sample_0-5cm_SR_90d_CW_instant chemistry,201.088044699467
2,Sample_0-5cm_SR_90d_CW_instant chemistry,201.113184349333
4,Sample_0-5cm_SR_90d_CW_instant chemistry,201.124441768427
2,Sample_0-5cm_SR_90d_CW_instant chemistry,202.072074127494
2,Sample_0-5cm_SR_90d_CW_instant chemistry,203.03494877725
4,Sample_0-5cm_SR_90d_CW_instant chemistry,203.05608409593
2,Sample_0-5cm_SR_90d_CW_instant chemistry,203.092441084776
2,Sample_0-5cm_SR_90d_CW_instant chemistry,203.12884613206
4,Sample_0-5cm_SR_90d_CW_instant chemistry,205.014216525685
6,Sample_0-5cm_SR_90d_CW_instant chemistry,205.050591373361
3,Sample_0-5cm_SR_90d_CW_instant chemistry,205.071731763593
2,Sample_0-5cm_SR_90d_CW_instant chemistry,206.045910213322
4,Sample_0-5cm_SR_90d_CW_instant chemistry,206.993529064427
4,Sample_0-5cm_SR_90d_CW_instant chemistry,207.029871740369
8,Sample_0-5cm_SR_90d_CW_instant chemistry,207.066249888716
2,Sample_0-5cm_SR_90d_CW_instant chemistry,208.061515321487
6,Sample_0-5cm_SR_90d_CW_instant chemistry,209.081899033451
1,Sample_0-5cm_SR_90d_CW_instant chemistry,209.154680817225
2,Sample_0-5cm_SR_90d_CW_instant chemistry,210.040764903553
3,Sample_0-5cm_SR_90d_CW_instant chemistry,211.024788046436
9,Sample_0-5cm_SR_90d_CW_instant chemistry,211.061185012928
1,Sample_0-5cm_SR_90d_CW_instant chemistry,211.072405403487
8,Sample_0-5cm_SR_90d_CW_instant chemistry,211.097550868341
2,Sample_0-5cm_SR_90d_CW_instant chemistry,211.133923247355
1,Sample_0-5cm_SR_90d_CW_instant chemistry,212.020080817999
6,Sample_0-5cm_SR_90d_CW_instant chemistry,212.056429136061
7,Sample_0-5cm_SR_90d_CW_instant chemistry,212.09282139711
3,Sample_0-5cm_SR_90d_CW_instant chemistry,213.00404828442
5,Sample_0-5cm_SR_90d_CW_instant chemistry,213.040437971956
8,Sample_0-5cm_SR_90d_CW_instant chemistry,213.076827980583
12,Sample_0-5cm_SR_90d_CW_instant chemistry,213.113203206456
3,Sample_0-5cm_SR_90d_CW_instant chemistry,214.0721372197
3,Sample_0-5cm_SR_90d_CW_instant chemistry,214.108457214385
4,Sample_0-5cm_SR_90d_CW_instant chemistry,215.019705872551
5,Sample_0-5cm_SR_90d_CW_instant chemistry,215.056083013532
9,Sample_0-5cm_SR_90d_CW_instant chemistry,215.092475805151
3,Sample_0-5cm_SR_90d_CW_instant chemistry,215.128838452846
4,Sample_0-5cm_SR_90d_CW_instant chemistry,216.087766753566
8,Sample_0-5cm_SR_90d_CW_instant chemistry,217.014253463146
8,Sample_0-5cm_SR_90d_CW_instant chemistry,217.035412567776
5,Sample_0-5cm_SR_90d_CW_instant chemistry,217.071748797308
4,Sample_0-5cm_SR_90d_CW_instant chemistry,217.108116025078
4,Sample_0-5cm_SR_90d_CW_instant chemistry,217.14453088788
