num.trans.involved.in,sample,peak
2,Sample_0-5cm_SR_timezero__timezero,201.040432011387
2,Sample_0-5cm_SR_timezero__timezero,201.076800501639
2,Sample_0-5cm_SR_timezero__timezero,201.113184349333
1,Sample_0-5cm_SR_timezero__timezero,203.05608409593
1,Sample_0-5cm_SR_timezero__timezero,203.092441084776
4,Sample_0-5cm_SR_timezero__timezero,207.066249888716
5,Sample_0-5cm_SR_timezero__timezero,209.081899033451
1,Sample_0-5cm_SR_timezero__timezero,209.154680817225
8,Sample_0-5cm_SR_timezero__timezero,211.061185012928
7,Sample_0-5cm_SR_timezero__timezero,211.097550868341
2,Sample_0-5cm_SR_timezero__timezero,211.133923247355
7,Sample_0-5cm_SR_timezero__timezero,213.076827980583
11,Sample_0-5cm_SR_timezero__timezero,213.113203206456
3,Sample_0-5cm_SR_timezero__timezero,215.056083013532
9,Sample_0-5cm_SR_timezero__timezero,215.092475805151
3,Sample_0-5cm_SR_timezero__timezero,215.128838452846
5,Sample_0-5cm_SR_timezero__timezero,217.071748797308
4,Sample_0-5cm_SR_timezero__timezero,217.108116025078
1,Sample_0-5cm_SR_timezero__timezero,219.066246341551
3,Sample_0-5cm_SR_timezero__timezero,219.087396897402
5,Sample_0-5cm_SR_timezero__timezero,221.045537935211
3,Sample_0-5cm_SR_timezero__timezero,221.081892385438
3,Sample_0-5cm_SR_timezero__timezero,221.154689665063
3,Sample_0-5cm_SR_timezero__timezero,223.097567990928
2,Sample_0-5cm_SR_timezero__timezero,223.133958232401
10,Sample_0-5cm_SR_timezero__timezero,225.040461404303
9,Sample_0-5cm_SR_timezero__timezero,225.076843706721
3,Sample_0-5cm_SR_timezero__timezero,225.113196924707
3,Sample_0-5cm_SR_timezero__timezero,225.149607121522
4,Sample_0-5cm_SR_timezero__timezero,227.001968391519
2,Sample_0-5cm_SR_timezero__timezero,227.038343144268
10,Sample_0-5cm_SR_timezero__timezero,227.056103460234
9,Sample_0-5cm_SR_timezero__timezero,227.092468866668
6,Sample_0-5cm_SR_timezero__timezero,227.128882552166
1,Sample_0-5cm_SR_timezero__timezero,228.160510389427
4,Sample_0-5cm_SR_timezero__timezero,229.017617022898
10,Sample_0-5cm_SR_timezero__timezero,229.071747953447
10,Sample_0-5cm_SR_timezero__timezero,229.108118978894
4,Sample_0-5cm_SR_timezero__timezero,229.14452854476
4,Sample_0-5cm_SR_timezero__timezero,231.051029966924
9,Sample_0-5cm_SR_timezero__timezero,231.066299536996
6,Sample_0-5cm_SR_timezero__timezero,231.087403612581
6,Sample_0-5cm_SR_timezero__timezero,231.123760898775
7,Sample_0-5cm_SR_timezero__timezero,233.045537641862
6,Sample_0-5cm_SR_timezero__timezero,233.154707615695
5,Sample_0-5cm_SR_timezero__timezero,235.024799133283
9,Sample_0-5cm_SR_timezero__timezero,235.061195727985
5,Sample_0-5cm_SR_timezero__timezero,235.097588151122
5,Sample_0-5cm_SR_timezero__timezero,235.170365022036
4,Sample_0-5cm_SR_timezero__timezero,237.040463192464
9,Sample_0-5cm_SR_timezero__timezero,237.076839708177
6,Sample_0-5cm_SR_timezero__timezero,237.113227583853
5,Sample_0-5cm_SR_timezero__timezero,239.092514091643
7,Sample_0-5cm_SR_timezero__timezero,239.128889345626
2,Sample_0-5cm_SR_timezero__timezero,241.017625152852
7,Sample_0-5cm_SR_timezero__timezero,241.071743906111
7,Sample_0-5cm_SR_timezero__timezero,241.1081153992
4,Sample_0-5cm_SR_timezero__timezero,241.144512488671
3,Sample_0-5cm_SR_timezero__timezero,242.139788388269
3,Sample_0-5cm_SR_timezero__timezero,242.176161468595
3,Sample_0-5cm_SR_timezero__timezero,243.033264171335
9,Sample_0-5cm_SR_timezero__timezero,243.051019364619
7,Sample_0-5cm_SR_timezero__timezero,243.087383319883
7,Sample_0-5cm_SR_timezero__timezero,243.123775796397
7,Sample_0-5cm_SR_timezero__timezero,243.160189130681
2,Sample_0-5cm_SR_timezero__timezero,245.048924442179
7,Sample_0-5cm_SR_timezero__timezero,245.066695226483
9,Sample_0-5cm_SR_timezero__timezero,245.103078637049
2,Sample_0-5cm_SR_timezero__timezero,245.139438688763
8,Sample_0-5cm_SR_timezero__timezero,247.024798946455
6,Sample_0-5cm_SR_timezero__timezero,247.061223728369
4,Sample_0-5cm_SR_timezero__timezero,247.082349929829
8,Sample_0-5cm_SR_timezero__timezero,247.097604003545
7,Sample_0-5cm_SR_timezero__timezero,247.118736894549
2,Sample_0-5cm_SR_timezero__timezero,247.170343202036
2,Sample_0-5cm_SR_timezero__timezero,248.113972331118
2,Sample_0-5cm_SR_timezero__timezero,249.022729906124
5,Sample_0-5cm_SR_timezero__timezero,249.040478307607
