num.trans.involved.in,sample,peak
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,201.040432011387
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,201.076800501639
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,201.113184349333
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,203.03494877725
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,203.05608409593
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,203.092441084776
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,205.014216525685
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,205.050591373361
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,205.071731763593
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,206.993529064427
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,207.029871740369
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,207.066249888716
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,209.081899033451
1,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,209.154680817225
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,211.024788046436
8,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,211.061185012928
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,211.097550868341
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,211.133923247355
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,213.00404828442
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,213.040437971956
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,213.076827980583
11,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,213.113203206456
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,215.056083013532
9,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,215.092475805151
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,215.128838452846
9,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,217.014253463146
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,217.071748797308
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,217.108116025078
1,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,218.103348762132
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,219.029902780215
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,219.066246341551
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,219.087396897402
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,221.009143510871
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,221.045537935211
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,221.081892385438
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,221.11831112219
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,221.154689665063
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,222.040772208661
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,222.98845106692
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,223.024796983305
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,223.061165769685
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,223.097567990928
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,223.133958232401
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,225.004052499792
12,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,225.040461404303
9,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,225.076843706721
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,225.113196924707
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,227.019726617044
12,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,227.056103460234
9,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,227.092468866668
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,227.128882552166
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,229.01428894003
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,229.03538289919
11,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,229.071747953447
10,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,229.108118978894
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,229.14452854476
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,230.103403115374
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,231.02990946784
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,231.051029966924
10,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,231.066299536996
8,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,231.087403612581
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,231.123760898775
9,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,233.009167064654
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,233.045537641862
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,233.06671127341
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,233.081958055576
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,233.103063642278
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,233.154707615695
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,234.988396324833
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,235.024799133283
8,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,235.061195727985
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,235.097588151122
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,237.004082544365
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,237.040463192464
9,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,237.076839708177
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,237.113227583853
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,238.035701971607
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,239.019739402976
12,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,239.05612822707
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,239.092514091643
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,239.128889345626
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,240.051351930308
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,240.998996466098
14,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,241.035372566806
1,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,241.050665750227
9,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,241.071743906111
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,241.1081153992
1,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,241.119394838741
3,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,241.144512488671
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,242.067006781073
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,242.139788388269
1,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,242.176161468595
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,243.014647007463
8,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,243.029905936805
12,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,243.051019364619
2,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,243.066271302932
7,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,243.087383319883
8,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,243.123775796397
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,243.160189130681
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,244.082655438096
10,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,245.00917527792
12,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,245.045561186885
1,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,245.048924442179
8,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,245.066695226483
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,245.081963506818
9,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,245.103078637049
1,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,245.114287051758
4,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,245.139438688763
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,246.988466990849
8,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,247.024798946455
6,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,247.061223728369
5,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,247.082349929829
10,Sample_5cm-end_CPCRW_90d_CW_instant chemistry,247.097604003545
