num.trans.involved.in,sample,peak
2,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,201.040432011387
4,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,201.076800501639
2,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,201.113184349333
4,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,201.124441768427
3,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,201.149583667269
3,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,203.03494877725
3,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,203.05608409593
2,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,203.092441084776
2,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,203.12884613206
3,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,204.030205549793
4,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,205.014216525685
6,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,205.050591373361
2,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,205.071731763593
6,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,206.993529064427
4,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,207.029871740369
7,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,207.066249888716
2,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,208.061515321487
5,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,209.081899033451
1,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,209.154680817225
1,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,210.040764903553
2,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,211.024788046436
8,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,211.061185012928
8,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,211.097550868341
3,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,211.133923247355
2,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,213.00404828442
5,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,213.040437971956
7,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,213.076827980583
12,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,213.113203206456
3,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,213.149579453954
4,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,215.019705872551
5,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,215.056083013532
10,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,215.092475805151
3,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,215.128838452846
3,Sample_5cm-end_CPCRW_90d_FAD_instant chemistry,215.165235666861
