num.trans.involved.in,sample,peak
2,Sample_5cm-end_CPCRW_timezero__timezero,201.040432011387
2,Sample_5cm-end_CPCRW_timezero__timezero,201.076800501639
2,Sample_5cm-end_CPCRW_timezero__timezero,201.113184349333
2,Sample_5cm-end_CPCRW_timezero__timezero,203.05608409593
1,Sample_5cm-end_CPCRW_timezero__timezero,203.092441084776
2,Sample_5cm-end_CPCRW_timezero__timezero,205.071731763593
1,Sample_5cm-end_CPCRW_timezero__timezero,205.086960644871
6,Sample_5cm-end_CPCRW_timezero__timezero,207.066249888716
4,Sample_5cm-end_CPCRW_timezero__timezero,207.102631656349
3,Sample_5cm-end_CPCRW_timezero__timezero,207.13902862263
4,Sample_5cm-end_CPCRW_timezero__timezero,209.081899033451
2,Sample_5cm-end_CPCRW_timezero__timezero,209.154680817225
1,Sample_5cm-end_CPCRW_timezero__timezero,211.024788046436
8,Sample_5cm-end_CPCRW_timezero__timezero,211.061185012928
7,Sample_5cm-end_CPCRW_timezero__timezero,211.097550868341
2,Sample_5cm-end_CPCRW_timezero__timezero,211.133923247355
7,Sample_5cm-end_CPCRW_timezero__timezero,213.076827980583
11,Sample_5cm-end_CPCRW_timezero__timezero,213.113203206456
3,Sample_5cm-end_CPCRW_timezero__timezero,215.056083013532
9,Sample_5cm-end_CPCRW_timezero__timezero,215.092475805151
3,Sample_5cm-end_CPCRW_timezero__timezero,215.128838452846
5,Sample_5cm-end_CPCRW_timezero__timezero,217.071748797308
4,Sample_5cm-end_CPCRW_timezero__timezero,217.108116025078
5,Sample_5cm-end_CPCRW_timezero__timezero,219.029902780215
1,Sample_5cm-end_CPCRW_timezero__timezero,219.066246341551
3,Sample_5cm-end_CPCRW_timezero__timezero,219.087396897402
2,Sample_5cm-end_CPCRW_timezero__timezero,221.009143510871
4,Sample_5cm-end_CPCRW_timezero__timezero,221.045537935211
3,Sample_5cm-end_CPCRW_timezero__timezero,221.081892385438
4,Sample_5cm-end_CPCRW_timezero__timezero,221.11831112219
5,Sample_5cm-end_CPCRW_timezero__timezero,221.154689665063
4,Sample_5cm-end_CPCRW_timezero__timezero,223.024796983305
4,Sample_5cm-end_CPCRW_timezero__timezero,223.061165769685
4,Sample_5cm-end_CPCRW_timezero__timezero,223.097567990928
4,Sample_5cm-end_CPCRW_timezero__timezero,223.133958232401
11,Sample_5cm-end_CPCRW_timezero__timezero,225.040461404303
9,Sample_5cm-end_CPCRW_timezero__timezero,225.076843706721
4,Sample_5cm-end_CPCRW_timezero__timezero,225.113196924707
3,Sample_5cm-end_CPCRW_timezero__timezero,225.149607121522
10,Sample_5cm-end_CPCRW_timezero__timezero,227.056103460234
9,Sample_5cm-end_CPCRW_timezero__timezero,227.092468866668
6,Sample_5cm-end_CPCRW_timezero__timezero,227.128882552166
6,Sample_5cm-end_CPCRW_timezero__timezero,227.165275709998
1,Sample_5cm-end_CPCRW_timezero__timezero,228.160510389427
10,Sample_5cm-end_CPCRW_timezero__timezero,229.071747953447
10,Sample_5cm-end_CPCRW_timezero__timezero,229.108118978894
5,Sample_5cm-end_CPCRW_timezero__timezero,229.14452854476
6,Sample_5cm-end_CPCRW_timezero__timezero,231.02990946784
4,Sample_5cm-end_CPCRW_timezero__timezero,231.051029966924
7,Sample_5cm-end_CPCRW_timezero__timezero,231.087403612581
6,Sample_5cm-end_CPCRW_timezero__timezero,231.123760898775
5,Sample_5cm-end_CPCRW_timezero__timezero,233.030289202899
4,Sample_5cm-end_CPCRW_timezero__timezero,233.081958055576
6,Sample_5cm-end_CPCRW_timezero__timezero,233.103063642278
5,Sample_5cm-end_CPCRW_timezero__timezero,233.154707615695
8,Sample_5cm-end_CPCRW_timezero__timezero,235.061195727985
5,Sample_5cm-end_CPCRW_timezero__timezero,235.097588151122
2,Sample_5cm-end_CPCRW_timezero__timezero,235.134002150485
5,Sample_5cm-end_CPCRW_timezero__timezero,235.170365022036
5,Sample_5cm-end_CPCRW_timezero__timezero,237.040463192464
9,Sample_5cm-end_CPCRW_timezero__timezero,237.076839708177
8,Sample_5cm-end_CPCRW_timezero__timezero,237.113227583853
3,Sample_5cm-end_CPCRW_timezero__timezero,237.149608838652
4,Sample_5cm-end_CPCRW_timezero__timezero,239.019739402976
11,Sample_5cm-end_CPCRW_timezero__timezero,239.05612822707
5,Sample_5cm-end_CPCRW_timezero__timezero,239.092514091643
7,Sample_5cm-end_CPCRW_timezero__timezero,239.128889345626
10,Sample_5cm-end_CPCRW_timezero__timezero,241.035372566806
8,Sample_5cm-end_CPCRW_timezero__timezero,241.071743906111
7,Sample_5cm-end_CPCRW_timezero__timezero,241.1081153992
4,Sample_5cm-end_CPCRW_timezero__timezero,241.144512488671
