num.trans.involved.in,sample,peak
2,Sample_5cm-end_SR_150d_CW_saturated,201.040432011387
3,Sample_5cm-end_SR_150d_CW_saturated,201.076800501639
2,Sample_5cm-end_SR_150d_CW_saturated,201.113184349333
2,Sample_5cm-end_SR_150d_CW_saturated,203.03494877725
4,Sample_5cm-end_SR_150d_CW_saturated,203.05608409593
1,Sample_5cm-end_SR_150d_CW_saturated,203.092441084776
2,Sample_5cm-end_SR_150d_CW_saturated,205.014216525685
2,Sample_5cm-end_SR_150d_CW_saturated,205.071731763593
5,Sample_5cm-end_SR_150d_CW_saturated,207.066249888716
5,Sample_5cm-end_SR_150d_CW_saturated,209.081899033451
2,Sample_5cm-end_SR_150d_CW_saturated,211.024788046436
9,Sample_5cm-end_SR_150d_CW_saturated,211.061185012928
7,Sample_5cm-end_SR_150d_CW_saturated,211.097550868341
2,Sample_5cm-end_SR_150d_CW_saturated,211.133923247355
1,Sample_5cm-end_SR_150d_CW_saturated,212.020080817999
5,Sample_5cm-end_SR_150d_CW_saturated,212.056429136061
4,Sample_5cm-end_SR_150d_CW_saturated,213.040437971956
7,Sample_5cm-end_SR_150d_CW_saturated,213.076827980583
11,Sample_5cm-end_SR_150d_CW_saturated,213.113203206456
1,Sample_5cm-end_SR_150d_CW_saturated,215.001982447913
4,Sample_5cm-end_SR_150d_CW_saturated,215.056083013532
9,Sample_5cm-end_SR_150d_CW_saturated,215.092475805151
3,Sample_5cm-end_SR_150d_CW_saturated,215.128838452846
10,Sample_5cm-end_SR_150d_CW_saturated,217.014253463146
4,Sample_5cm-end_SR_150d_CW_saturated,217.071748797308
4,Sample_5cm-end_SR_150d_CW_saturated,217.108116025078
6,Sample_5cm-end_SR_150d_CW_saturated,219.029902780215
1,Sample_5cm-end_SR_150d_CW_saturated,219.066246341551
4,Sample_5cm-end_SR_150d_CW_saturated,219.087396897402
6,Sample_5cm-end_SR_150d_CW_saturated,221.009143510871
4,Sample_5cm-end_SR_150d_CW_saturated,221.045537935211
3,Sample_5cm-end_SR_150d_CW_saturated,221.081892385438
2,Sample_5cm-end_SR_150d_CW_saturated,221.154689665063
1,Sample_5cm-end_SR_150d_CW_saturated,222.040772208661
4,Sample_5cm-end_SR_150d_CW_saturated,223.024796983305
3,Sample_5cm-end_SR_150d_CW_saturated,223.061165769685
4,Sample_5cm-end_SR_150d_CW_saturated,223.097567990928
1,Sample_5cm-end_SR_150d_CW_saturated,223.133958232401
