num.trans.involved.in,sample,peak
2,Sample_5cm-end_SR_90d_FAD_saturated,201.040432011387
3,Sample_5cm-end_SR_90d_FAD_saturated,201.076800501639
2,Sample_5cm-end_SR_90d_FAD_saturated,201.113184349333
4,Sample_5cm-end_SR_90d_FAD_saturated,203.03494877725
4,Sample_5cm-end_SR_90d_FAD_saturated,203.05608409593
1,Sample_5cm-end_SR_90d_FAD_saturated,203.092441084776
3,Sample_5cm-end_SR_90d_FAD_saturated,204.030205549793
4,Sample_5cm-end_SR_90d_FAD_saturated,205.014216525685
6,Sample_5cm-end_SR_90d_FAD_saturated,205.050591373361
3,Sample_5cm-end_SR_90d_FAD_saturated,205.071731763593
4,Sample_5cm-end_SR_90d_FAD_saturated,207.029871740369
7,Sample_5cm-end_SR_90d_FAD_saturated,207.066249888716
2,Sample_5cm-end_SR_90d_FAD_saturated,208.025169017226
6,Sample_5cm-end_SR_90d_FAD_saturated,209.081899033451
3,Sample_5cm-end_SR_90d_FAD_saturated,210.040764903553
4,Sample_5cm-end_SR_90d_FAD_saturated,210.077147275311
3,Sample_5cm-end_SR_90d_FAD_saturated,211.024788046436
9,Sample_5cm-end_SR_90d_FAD_saturated,211.061185012928
7,Sample_5cm-end_SR_90d_FAD_saturated,211.097550868341
2,Sample_5cm-end_SR_90d_FAD_saturated,211.133923247355
1,Sample_5cm-end_SR_90d_FAD_saturated,212.020080817999
6,Sample_5cm-end_SR_90d_FAD_saturated,212.056429136061
2,Sample_5cm-end_SR_90d_FAD_saturated,213.00404828442
5,Sample_5cm-end_SR_90d_FAD_saturated,213.040437971956
8,Sample_5cm-end_SR_90d_FAD_saturated,213.076827980583
11,Sample_5cm-end_SR_90d_FAD_saturated,213.113203206456
3,Sample_5cm-end_SR_90d_FAD_saturated,214.0721372197
4,Sample_5cm-end_SR_90d_FAD_saturated,215.056083013532
9,Sample_5cm-end_SR_90d_FAD_saturated,215.092475805151
3,Sample_5cm-end_SR_90d_FAD_saturated,215.128838452846
11,Sample_5cm-end_SR_90d_FAD_saturated,217.014253463146
4,Sample_5cm-end_SR_90d_FAD_saturated,217.071748797308
4,Sample_5cm-end_SR_90d_FAD_saturated,217.108116025078
6,Sample_5cm-end_SR_90d_FAD_saturated,219.029902780215
2,Sample_5cm-end_SR_90d_FAD_saturated,219.066246341551
5,Sample_5cm-end_SR_90d_FAD_saturated,219.087396897402
2,Sample_5cm-end_SR_90d_FAD_saturated,220.025139989014
4,Sample_5cm-end_SR_90d_FAD_saturated,220.06157170591
6,Sample_5cm-end_SR_90d_FAD_saturated,221.009143510871
4,Sample_5cm-end_SR_90d_FAD_saturated,221.045537935211
2,Sample_5cm-end_SR_90d_FAD_saturated,221.066644773253
3,Sample_5cm-end_SR_90d_FAD_saturated,221.081892385438
2,Sample_5cm-end_SR_90d_FAD_saturated,221.154689665063
1,Sample_5cm-end_SR_90d_FAD_saturated,222.00440509722
3,Sample_5cm-end_SR_90d_FAD_saturated,222.040772208661
4,Sample_5cm-end_SR_90d_FAD_saturated,223.024796983305
4,Sample_5cm-end_SR_90d_FAD_saturated,223.061165769685
4,Sample_5cm-end_SR_90d_FAD_saturated,223.097567990928
1,Sample_5cm-end_SR_90d_FAD_saturated,223.133958232401
1,Sample_5cm-end_SR_90d_FAD_saturated,224.020029925158
5,Sample_5cm-end_SR_90d_FAD_saturated,224.056455543464
4,Sample_5cm-end_SR_90d_FAD_saturated,225.004052499792
12,Sample_5cm-end_SR_90d_FAD_saturated,225.040461404303
11,Sample_5cm-end_SR_90d_FAD_saturated,225.076843706721
3,Sample_5cm-end_SR_90d_FAD_saturated,225.113196924707
7,Sample_5cm-end_SR_90d_FAD_saturated,226.035696944554
7,Sample_5cm-end_SR_90d_FAD_saturated,226.072098117212
8,Sample_5cm-end_SR_90d_FAD_saturated,227.019726617044
13,Sample_5cm-end_SR_90d_FAD_saturated,227.056103460234
11,Sample_5cm-end_SR_90d_FAD_saturated,227.092468866668
6,Sample_5cm-end_SR_90d_FAD_saturated,227.128882552166
5,Sample_5cm-end_SR_90d_FAD_saturated,228.051354097989
4,Sample_5cm-end_SR_90d_FAD_saturated,228.087728757983
5,Sample_5cm-end_SR_90d_FAD_saturated,229.01428894003
3,Sample_5cm-end_SR_90d_FAD_saturated,229.017617022898
7,Sample_5cm-end_SR_90d_FAD_saturated,229.03538289919
4,Sample_5cm-end_SR_90d_FAD_saturated,229.05063807857
11,Sample_5cm-end_SR_90d_FAD_saturated,229.071747953447
10,Sample_5cm-end_SR_90d_FAD_saturated,229.108118978894
4,Sample_5cm-end_SR_90d_FAD_saturated,229.14452854476
5,Sample_5cm-end_SR_90d_FAD_saturated,230.0670179379
8,Sample_5cm-end_SR_90d_FAD_saturated,231.02990946784
6,Sample_5cm-end_SR_90d_FAD_saturated,231.051029966924
10,Sample_5cm-end_SR_90d_FAD_saturated,231.066299536996
9,Sample_5cm-end_SR_90d_FAD_saturated,231.087403612581
6,Sample_5cm-end_SR_90d_FAD_saturated,231.123760898775
4,Sample_5cm-end_SR_90d_FAD_saturated,232.025147838613
9,Sample_5cm-end_SR_90d_FAD_saturated,233.009167064654
7,Sample_5cm-end_SR_90d_FAD_saturated,233.045537641862
6,Sample_5cm-end_SR_90d_FAD_saturated,233.06671127341
5,Sample_5cm-end_SR_90d_FAD_saturated,233.081958055576
6,Sample_5cm-end_SR_90d_FAD_saturated,233.103063642278
5,Sample_5cm-end_SR_90d_FAD_saturated,233.154707615695
5,Sample_5cm-end_SR_90d_FAD_saturated,234.04077241578
6,Sample_5cm-end_SR_90d_FAD_saturated,235.024799133283
8,Sample_5cm-end_SR_90d_FAD_saturated,235.061195727985
5,Sample_5cm-end_SR_90d_FAD_saturated,235.097588151122
5,Sample_5cm-end_SR_90d_FAD_saturated,236.056484311863
8,Sample_5cm-end_SR_90d_FAD_saturated,237.004082544365
7,Sample_5cm-end_SR_90d_FAD_saturated,237.040463192464
10,Sample_5cm-end_SR_90d_FAD_saturated,237.076839708177
7,Sample_5cm-end_SR_90d_FAD_saturated,237.113227583853
11,Sample_5cm-end_SR_90d_FAD_saturated,238.035701971607
7,Sample_5cm-end_SR_90d_FAD_saturated,238.072081799648
5,Sample_5cm-end_SR_90d_FAD_saturated,239.019739402976
12,Sample_5cm-end_SR_90d_FAD_saturated,239.05612822707
1,Sample_5cm-end_SR_90d_FAD_saturated,239.067334446447
5,Sample_5cm-end_SR_90d_FAD_saturated,239.092514091643
1,Sample_5cm-end_SR_90d_FAD_saturated,239.103724546139
7,Sample_5cm-end_SR_90d_FAD_saturated,239.128889345626
8,Sample_5cm-end_SR_90d_FAD_saturated,240.051351930308
7,Sample_5cm-end_SR_90d_FAD_saturated,240.087741400147
13,Sample_5cm-end_SR_90d_FAD_saturated,241.035372566806
1,Sample_5cm-end_SR_90d_FAD_saturated,241.050665750227
9,Sample_5cm-end_SR_90d_FAD_saturated,241.071743906111
8,Sample_5cm-end_SR_90d_FAD_saturated,241.1081153992
3,Sample_5cm-end_SR_90d_FAD_saturated,241.144512488671
7,Sample_5cm-end_SR_90d_FAD_saturated,242.067006781073
2,Sample_5cm-end_SR_90d_FAD_saturated,242.103368754757
3,Sample_5cm-end_SR_90d_FAD_saturated,242.139788388269
1,Sample_5cm-end_SR_90d_FAD_saturated,242.176161468595
6,Sample_5cm-end_SR_90d_FAD_saturated,243.014647007463
