num.trans.involved.in,sample,peak
1,Sample_5cm-end_SR_timezero__timezero,209.154680817225
4,Sample_5cm-end_SR_timezero__timezero,211.097550868341
2,Sample_5cm-end_SR_timezero__timezero,211.133923247355
4,Sample_5cm-end_SR_timezero__timezero,213.076827980583
2,Sample_5cm-end_SR_timezero__timezero,215.056083013532
8,Sample_5cm-end_SR_timezero__timezero,215.092475805151
4,Sample_5cm-end_SR_timezero__timezero,217.071748797308
4,Sample_5cm-end_SR_timezero__timezero,217.108116025078
1,Sample_5cm-end_SR_timezero__timezero,221.081892385438
3,Sample_5cm-end_SR_timezero__timezero,221.154689665063
1,Sample_5cm-end_SR_timezero__timezero,223.133958232401
1,Sample_5cm-end_SR_timezero__timezero,227.038343144268
7,Sample_5cm-end_SR_timezero__timezero,227.092468866668
6,Sample_5cm-end_SR_timezero__timezero,227.128882552166
3,Sample_5cm-end_SR_timezero__timezero,229.017617022898
7,Sample_5cm-end_SR_timezero__timezero,229.071747953447
9,Sample_5cm-end_SR_timezero__timezero,229.108118978894
3,Sample_5cm-end_SR_timezero__timezero,229.14452854476
5,Sample_5cm-end_SR_timezero__timezero,231.087403612581
4,Sample_5cm-end_SR_timezero__timezero,231.123760898775
5,Sample_5cm-end_SR_timezero__timezero,233.154707615695
6,Sample_5cm-end_SR_timezero__timezero,235.061195727985
4,Sample_5cm-end_SR_timezero__timezero,235.097588151122
4,Sample_5cm-end_SR_timezero__timezero,235.170365022036
7,Sample_5cm-end_SR_timezero__timezero,237.076839708177
4,Sample_5cm-end_SR_timezero__timezero,237.113227583853
3,Sample_5cm-end_SR_timezero__timezero,239.092514091643
7,Sample_5cm-end_SR_timezero__timezero,239.128889345626
5,Sample_5cm-end_SR_timezero__timezero,241.071743906111
2,Sample_5cm-end_SR_timezero__timezero,241.144512488671
2,Sample_5cm-end_SR_timezero__timezero,242.139788388269
3,Sample_5cm-end_SR_timezero__timezero,243.033264171335
7,Sample_5cm-end_SR_timezero__timezero,243.087383319883
7,Sample_5cm-end_SR_timezero__timezero,243.123775796397
5,Sample_5cm-end_SR_timezero__timezero,245.066695226483
8,Sample_5cm-end_SR_timezero__timezero,245.103078637049
2,Sample_5cm-end_SR_timezero__timezero,245.139438688763
4,Sample_5cm-end_SR_timezero__timezero,247.082349929829
7,Sample_5cm-end_SR_timezero__timezero,247.118736894549
