No. ,Info  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Protein  [%],Protein  Factor,Moisture  [%],Memo  ,Date       Time  
1,"Cnp,Nu",1,MT,100,blank,50,0,0.016,0,1,1,0,0,0,0,0,0,,2/4/20 01:41
2,"Nu,Cu",2,MT,100,blank,81,963,0.026,0.285,1,1,0,0,11.1765,0,0,0,,2/4/20 01:48
3,"Cnp,Nu",3,MT,100,blank,97,0,0.031,0,1,1,0,0,0,0,0,0,,2/4/20 01:56
4,"Nu,Cu",4,MT,100,blank [O2],108,14,0.034,0.004,1,1,0,0,0.1182,0,0,0,,2/4/20 02:03
5,"Cnp,Nu",5,MT,100,blank [O2],90,0,0.028,0,1,1,0,0,0,0,0,0,,2/4/20 02:11
6,"Cnp,Nu",6,MT,100,blank [O2],77,0,0.024,0,1,1,0,0,0,0,0,0,,2/4/20 02:19
7,,7,RunIn,163.5,aspartic acid 2,45604,170696,10.427,35.753,1,1,0,0,3.4288,0,0,0,,2/4/20 02:27
8,,8,RunIn,225,aspartic acid 2,62591,233850,10.424,35.744,1,1,0,0,3.4291,0,0,0,,2/4/20 02:36
9,,9,RunIn,114.9,aspartic acid 2,32181,121292,10.441,35.994,1,1,0,0,3.4473,0,0,0,,2/4/20 02:46
10,,10,aspartic acid,108,aspartic acid 2,29704,113226,10.52,36.06,1.0268,1.0096,0,0,3.4278,0,0,0,,2/4/20 02:55
11,,11,aspartic acid,148,aspartic acid 2,41362,155727,10.52,36.06,1.0076,1.0019,0,0,3.4278,0,0,0,,2/4/20 03:04
12,,12,aspartic acid,122.7,aspartic acid 2,34230,128918,10.52,36.06,1.011,1.0058,0,0,3.4278,0,0,0,,2/4/20 03:13
13,,13,S3 0-5cm,1448.3,soil,20081,344560,0.522,8.276,1.0151,1.0058,0,0,15.855,0,0,0,,2/4/20 03:28
14,Cpe,14,S9 0-5cm,1542.6,soil,24329,449176,0.595,10.168,1.0151,1.0058,0,0,17.0842,0,0,0,,2/4/20 03:47
15,,15,S54 0-5cm,1508.6,soil,17495,270576,0.436,6.217,1.0151,1.0058,0,0,14.2696,0,0,0,,2/4/20 04:01
16,,16,S57 0-5cm,1533.8,soil,19830,329318,0.487,7.464,1.0151,1.0058,0,0,15.3377,0,0,0,,2/4/20 04:17
17,,17,S67 5-end,1520.1,soil,11335,133194,0.278,3.008,1.0151,1.0058,0,0,10.8339,0,0,0,,2/4/20 04:29
18,Cpe,18,S20 0-5cm,1537,soil,24799,434923,0.609,9.877,1.0151,1.0058,0,0,16.2176,0,0,0,,2/4/20 04:48
19,,19,S66 0-5cm,1503.4,soil,18066,273515,0.452,6.307,1.0151,1.0058,0,0,13.964,0,0,0,,2/4/20 05:02
20,,20,S3 5-end,1554.3,soil,19726,346894,0.478,7.764,1.0151,1.0058,0,0,16.2555,0,0,0,,2/4/20 05:20
21,,21,S20 5-end,1509.6,soil,19030,323253,0.474,7.442,1.0151,1.0058,0,0,15.6927,0,0,0,,2/4/20 05:35
22,,22,S67 0-5cm,1504.6,soil,14349,196501,0.357,4.507,1.0151,1.0058,0,0,12.6229,0,0,0,,2/4/20 05:48
23,,23,S83 5-end,1561.3,soil,14887,224894,0.357,4.98,1.0151,1.0058,0,0,13.9402,0,0,0,,2/4/20 06:02
24,,24,S16 5-end,1569.2,soil,19420,335311,0.466,7.43,1.0151,1.0058,0,0,15.9556,0,0,0,,2/4/20 06:18
25,,25,S54 5-end,2169,soil,12588,156077,0.217,2.476,1.0151,1.0058,0,0,11.4254,0,0,0,,2/4/20 06:30
26,Cpe,26,S44 0-5cm,1550.2,soil,26861,488091,0.655,11.007,1.0151,1.0058,0,0,16.8157,0,0,0,,2/4/20 06:49
27,,27,S70 5-end,1529.2,soil,15388,210251,0.377,4.749,1.0151,1.0058,0,0,12.5894,0,0,0,,2/4/20 07:02
28,"Nu,Cu",80,MT,100,blank,43,576,0.014,0.171,1,1,0,0,12.6023,0,0,0,,2/4/20 07:10
29,,28,S66 5-end,1517,soil,11256,133629,0.276,3.025,1.0151,1.0058,0,0,10.9482,0,0,0,,2/4/20 07:22
30,Cpe,29,S16 0-5cm,1631.3,soil,24778,434040,0.573,9.287,1.0151,1.0058,0,0,16.1981,0,0,0,,2/4/20 07:41
31,,30,S9 5-end,1560.2,soil,20322,354933,0.49,7.917,1.0151,1.0058,0,0,16.1429,0,0,0,,2/4/20 07:59
32,,31,S44 5-end,1569.8,soil,23296,397145,0.56,8.819,1.0151,1.0058,0,0,15.7557,0,0,0,,2/4/20 08:17
33,,32,S70 0-5cm,1513.5,soil,16421,239002,0.407,5.464,1.0151,1.0058,0,0,13.4193,0,0,0,,2/4/20 08:31
34,,33,S57 5-end,1577.8,soil,15192,226871,0.361,4.972,1.0151,1.0058,0,0,13.7775,0,0,0,,2/4/20 08:44
35,,34,S83 0-5cm,1551.5,soil,16518,266665,0.4,5.956,1.0151,1.0058,0,0,14.9061,0,0,0,,2/4/20 08:59
36,,35,S76 0-5cm,1586.4,soil,18695,295224,0.443,6.459,1.0151,1.0058,0,0,14.5731,0,0,0,,2/4/20 09:13
37,,36,S76 5-end,1576.6,soil,13115,177578,0.311,3.881,1.0151,1.0058,0,0,12.487,0,0,0,,2/4/20 09:26
38,Cpe,37,S39 0-5cm,1571.8,soil,28298,521433,0.681,11.608,1.0151,1.0058,0,0,17.0573,0,0,0,,2/4/20 09:45
39,Cpe,38,S6 0-5cm,1600,soil,21909,383518,0.516,8.351,1.0151,1.0058,0,0,16.1819,0,0,0,,2/4/20 10:04
40,,39,S6 5-end,1595.7,soil,20374,355654,0.481,7.757,1.0151,1.0058,0,0,16.1346,0,0,0,,2/4/20 10:22
41,,40,S39 5-end,1614.7,soil,22197,370338,0.518,7.987,1.0151,1.0058,0,0,15.4128,0,0,0,,2/4/20 10:39
42,"Nu,Cu",67,MT,100,blank,61,770,0.019,0.228,1,1,0,0,11.9196,0,0,0,,2/4/20 10:47
43,,68,runin,177.6,aspartic acid 2,49795,186280,10.647,36.168,1.0151,1.0058,0,0,3.397,0,0,0,,2/4/20 10:56
44,"Nnp,Cu",1,MT,100,blank,0,107,0,0.032,1,1,0,0,0,0,0,0,,2/5/20 19:29
45,,2,RunIn,384.3,aspartic acid 2,104201,397675,10.367,36.072,1.0151,1.0058,0,0,3.4795,0,0,0,,2/5/20 19:38
46,,3,Aspartic acid,327.6,aspartic acid 2,89925,338502,10.52,36.06,1.0194,1.0093,0,0,3.4278,0,0,0,,2/5/20 19:48
47,,4,Aspartic acid,410.6,aspartic acid 2,111817,423150,10.52,36.06,1.0245,1.0087,0,0,3.4278,0,0,0,,2/5/20 19:58
48,,41,S53 5-end,1570.5,soil,14901,207600,0.358,4.579,1.022,1.009,0,0,12.7973,0,0,0,,2/5/20 20:21
49,,42,S53 0-5cm,1570.9,soil,19013,297432,0.458,6.593,1.022,1.009,0,0,14.384,0,0,0,,2/5/20 20:36
50,,43,S87 5-end,1559.8,soil,14087,198215,0.34,4.4,1.022,1.009,0,0,12.93,0,0,0,,2/5/20 20:49
51,Cpe,44,S15 0-5cm,1712.2,soil,26917,466878,0.598,9.557,1.022,1.009,0,0,15.9846,0,0,0,,2/5/20 21:08
52,,45,S18 5-end,2300,soil,23002,410730,0.38,6.248,1.022,1.009,0,0,16.4551,0,0,0,,2/5/20 21:23
53,"Nu,Cu",1,MT,100,blank,40,677,0.013,0.2,1,1,0,0,15.7655,0,0,0,,2/5/20 21:31
54,"Nu,Cu",1,MT,100,blank,82,255,0.026,0.076,1,1,0,0,2.9227,0,0,0,,2/5/20 21:38
55,"Nu,Cu",1,MT,100,blank,74,34,0.023,0.01,1,1,0,0,0.4324,0,0,0,,2/5/20 21:54
56,,46,S11 0-5cm,1556.1,soil,22737,390424,0.555,8.772,1.022,1.009,0,0,15.8143,0,0,0,,2/5/20 22:20
57,,47,S52 0-5cm,1593,soil,17132,238772,0.407,5.203,1.022,1.009,0,0,12.7954,0,0,0,,2/5/20 22:34
58,Cpe,48,S18 0-5cm,1638.7,soil,27101,468922,0.629,10.03,1.022,1.009,0,0,15.9455,0,0,0,,2/5/20 22:53
59,,49,S72 0-5cm,1573.1,soil,17122,254145,0.412,5.613,1.022,1.009,0,0,13.6393,0,0,0,,2/5/20 23:07
60,,50,S72 5-end,1508.6,soil,12012,154114,0.299,3.525,1.022,1.009,0,0,11.7917,0,0,0,,2/5/20 23:20
61,"Nu,Cu",35,MT,100,blank,100,156,0.031,0.046,1,1,0,0,1.4693,0,0,0,,2/5/20 23:52
62,Nu,35,MT,100,blank,94,1352,0.03,0.406,1,1,0,0,13.7257,0,0,0,,2/6/20 00:00
63,Cpe,51,mt,1590,blank,13943,146230,0.33,3.172,1.022,1.009,0,0,9.6014,0,0,0,kp: used sample instead of blank, 
64,,51,S78 0-5cm,1590.3,soil,0,0,0,0,1,1,0,0,0,0,0,0,kp: this was accidentally used for previous sample (blank), 
65,Nu,30,MT,100,blank,277,9816,0.087,3.297,1,1,0,0,37.9426,0,0,0,,2/11/20 19:41
66,"Npe,O2,No",30,MT,100,blank,12986100,10948,624033.5,3.682,1.022,1,0,0,0,0,0,0,,2/11/20 19:55
