No. ,Info  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Protein  [%],Protein  Factor,Moisture  [%],Memo  ,Date       Time  
1,Nu,1,MT,100,blank,155,3816,0.049,1.251,1,1,0,0,25.6892,0,0,0,,6/25/20 22:50
2,"Nu,Cu",2,MT,100,blank,115,622,0.036,0.184,1,1,0,0,5.087,0,0,0,,6/25/20 22:58
3,"Nu,Cu",3,MT,100,blank,107,31,0.034,0.009,1,1,0,0,0.2749,0,0,0,,6/25/20 23:06
4,"Nu,Cu",4,MT,100,blank [O2],113,43,0.036,0.013,1,1,0,0,0.3601,0,0,0,,6/25/20 23:13
5,"Nu,Cu",5,MT,100,blank [O2],84,8,0.026,0.002,1,1,0,0,0.0908,0,0,0,,6/25/20 23:21
6,"Nu,Cu",6,MT,100,blank [O2],77,8,0.024,0.002,1,1,0,0,0.097,0,0,0,,6/25/20 23:28
7,,7,RunIn,213.9,aspartic acid 2,59249,221899,10.375,35.652,1,1,0,0,3.4363,0,0,0,,6/25/20 23:37
8,,8,RunIn,155.7,aspartic acid 2,43183,161730,10.364,35.547,1,1,0,0,3.4297,0,0,0,,6/25/20 23:46
9,,9,RunIn,146.4,aspartic acid 1,40915,152960,10.44,35.73,1,1,0,0,3.4225,0,0,0,,6/25/20 23:57
10,,10,aspartic acid,176.1,aspartic acid 2,48910,183025,10.52,36.06,1.0127,1.0122,0,0,3.4278,0,0,0,,6/26/20 00:06
11,,11,aspartic acid,145.8,aspartic acid 1,40630,151838,10.52,36.06,1.0107,1.0126,0,0,3.4278,0,0,0,,6/26/20 00:17
12,,12,aspartic acid,173.7,aspartic acid 2,48231,181598,10.52,36.06,1.013,1.0064,0,0,3.4278,0,0,0,,6/26/20 00:26
13,,13,POM 9,382.5,soil,9560,249967,0.924,22.73,1.0121,1.0104,0,0,24.609,0,0,0,,6/26/20 00:38
14,,14,POM 10,1142.2,soil,15037,237084,0.492,7.214,1.0121,1.0104,0,0,14.6679,0,0,0,,6/26/20 00:50
15,,15,POM 11,354.5,soil,7848,245589,0.829,24.09,1,1.0104,0,0,29.0668,0,0,0,,6/26/20 01:02
16,Cpe,16,POM 12,1578.1,soil,21430,301233,0.51,6.657,1.0121,1.0104,0,0,13.0495,0,0,0,,6/26/20 01:21
17,,17,POM 21,401.3,soil,10639,297318,0.983,25.834,1.0121,1.0104,0,0,26.2884,0,0,0,,6/26/20 01:33
18,,18,POM 22,1055.1,soil,14972,235320,0.53,7.751,1.0121,1.0104,0,0,14.622,0,0,0,,6/26/20 01:46
19,,19,POM 23,388.2,soil,8345,274230,0.806,24.603,1,1.0104,0,0,30.5084,0,0,0,,6/26/20 01:58
20,,20,POM 24,1061.4,soil,13722,214113,0.482,7.001,1.0121,1.0104,0,0,14.522,0,0,0,,6/26/20 02:11
21,,21,POM 33,307.8,soil,8438,270346,1.029,30.584,1,1.0104,0,0,29.7243,0,0,0,,6/26/20 02:22
22,"Nnp,Cu",1,MT,100,blank,0,357,0,0.106,1,1,0,0,0,0,0,0,,6/26/20 02:30
23,,22,POM 34,1009.5,soil,17305,286122,0.642,9.877,1.0121,1.0104,0,0,15.3862,0,0,0,,6/26/20 02:45
24,,23,POM 35,445.6,soil,11269,367745,0.939,28.868,1.0121,1.0104,0,0,30.7472,0,0,0,,6/26/20 02:58
25,,24,POM 36,1292.1,soil,18703,289666,0.543,7.814,1.0121,1.0104,0,0,14.3972,0,0,0,,6/26/20 03:14
26,,25,POM 61,454.9,soil,12054,363444,0.985,27.942,1.0121,1.0104,0,0,28.3562,0,0,0,,6/26/20 03:27
27,,26,POM 62,1197.6,soil,14950,253129,0.466,7.353,1.0121,1.0104,0,0,15.7685,0,0,0,,6/26/20 03:40
28,,27,POM 63,405.1,soil,8253,232333,0.764,19.928,1,1.0104,0,0,26.0867,0,0,0,,6/26/20 03:52
29,,28,POM 64,1289.4,soil,16873,260371,0.49,7.028,1.0121,1.0104,0,0,14.3461,0,0,0,,6/26/20 04:06
30,,29,POM 69,517.7,soil,13160,354494,0.947,23.939,1.0121,1.0104,0,0,25.2747,0,0,0,,6/26/20 04:20
31,,30,POM 70,1305.8,soil,19972,307798,0.574,8.223,1.0121,1.0104,0,0,14.3255,0,0,0,,6/26/20 04:38
32,,31,POM 77,338.2,soil,8254,230865,0.915,23.717,1,1.0104,0,0,25.9172,0,0,0,,6/26/20 04:49
33,,32,POM 78,1201,soil,16353,248812,0.509,7.205,1.0121,1.0104,0,0,14.1438,0,0,0,,6/26/20 05:03
34,"Nu,Cu",33,MT,100,blank,57,302,0.018,0.089,1,1,0,0,5.0017,0,0,0,,6/26/20 05:11
35,"Nu,Cu",34,MT,100,blank,76,136,0.024,0.04,1,1,0,0,1.6981,0,0,0,,6/26/20 05:19
36,,35,RunIn,275.9,aspartic acid 2,75773,284421,10.432,35.923,1.0121,1.0104,0,0,3.4435,0,0,0,,6/26/20 05:28
37,,36,POM 79,556.9,soil,14153,387371,0.948,24.35,1.0121,1.0104,0,0,25.6759,0,0,0,,6/26/20 05:42
38,,37,POM 80,1161,soil,17620,291095,0.569,8.74,1.0121,1.0104,0,0,15.3726,0,0,0,,6/26/20 05:57
39,,38,POM 135,459.3,soil,10957,265021,0.885,20.086,1.0121,1.0104,0,0,22.6955,0,0,0,,6/26/20 06:10
40,,39,POM 136,1397.5,soil,20133,286860,0.541,7.154,1.0121,1.0104,0,0,13.2293,0,0,0,,6/26/20 06:25
41,,40,POM 155,384.5,soil,9204,293132,0.884,26.578,1.0121,1.0104,0,0,30.0787,0,0,0,,6/26/20 06:38
42,,41,POM 156,1145.7,soil,14646,231980,0.477,7.035,1.0121,1.0104,0,0,14.7384,0,0,0,,6/26/20 06:51
43,,42,POM 173,796.8,soil,19304,496130,0.909,21.873,1.0121,1.0104,0,0,24.0678,0,0,0,,6/26/20 07:06
44,,43,POM 174,966.1,soil,16780,295733,0.65,10.673,1.0121,1.0104,0,0,16.4161,0,0,0,,6/26/20 07:20
45,,44,POM 175,464.3,soil,10931,311377,0.873,23.401,1.0121,1.0104,0,0,26.7948,0,0,0,,6/26/20 07:33
46,,45,POM 176,1031.5,soil,15591,247059,0.565,8.329,1.0121,1.0104,0,0,14.7408,0,0,0,,6/26/20 07:46
47,"Nu,Cu",1,MT,100,blank,19,298,0.006,0.088,1,1,0,0,15.0766,0,0,0,,6/26/20 07:54
48,,46,POM 213,277.9,soil,6063,177758,0.819,22.145,1,1.0104,0,0,27.0418,0,0,0,,6/26/20 08:04
49,,47,POM 214,1081.8,soil,11349,155425,0.39,4.965,1.0121,1.0104,0,0,12.7461,0,0,0,,6/26/20 08:16
50,,48,POM 215,183.7,soil,2461,65481,0.523,12.182,1,1.0104,0,0,23.2865,0,0,0,,6/26/20 08:25
51,,49,POM 216,1212.5,soil,11342,132925,0.347,3.781,1.0121,1.0104,0,0,10.8864,0,0,0,,6/26/20 08:37
52,,50,POM 225,502.2,soil,11745,320929,0.869,22.308,1.0121,1.0104,0,0,25.6673,0,0,0,,6/26/20 08:50
53,,51,POM 226,1134.1,soil,14969,203466,0.493,6.222,1.0121,1.0104,0,0,12.6195,0,0,0,,6/26/20 09:03
54,,52,POM 227,236.7,soil,5058,157671,0.808,23.025,1,1.0104,0,0,28.4798,0,0,0,,6/26/20 09:13
55,,53,POM 228,1599.7,soil,15057,184056,0.352,3.985,1.0121,1.0104,0,0,11.3328,0,0,0,,6/26/20 09:27
56,,54,POM 261,167.3,soil,2200,60544,0.515,12.354,1,1.0104,0,0,24.0087,0,0,0,,6/26/20 09:36
57,,55,POM 262,1347.2,soil,10142,111033,0.279,2.836,1.0121,1.0104,0,0,10.1767,0,0,0,,6/26/20 09:48
58,"Nu,Cu",56,MT,100,blank,35,334,0.011,0.099,1,1,0,0,8.9763,0,0,0,,6/26/20 09:55
59,"Nu,Cu",57,MT,100,blank,81,146,0.025,0.043,1,1,0,0,1.6988,0,0,0,,6/26/20 10:03
60,,58,RunIn,317.9,aspartic acid 2,87053,327155,10.416,35.935,1.0121,1.0104,0,0,3.45,0,0,0,,6/26/20 10:13
61,,59,POM 263,259.3,soil,5526,148080,0.803,19.724,1,1.0104,0,0,24.5646,0,0,0,,6/26/20 10:23
62,,60,POM 264,1461.6,soil,15624,193511,0.4,4.589,1.0121,1.0104,0,0,11.4826,0,0,0,,6/26/20 10:36
63,,61,POM 267,174.9,soil,2454,77658,0.548,15.211,1,1.0104,0,0,27.7644,0,0,0,,6/26/20 10:45
64,,62,POM 268,1070.9,soil,8253,93308,0.289,2.992,1,1.0104,0,0,10.3539,0,0,0,,6/26/20 10:56
65,,63,POM 277,322.6,soil,5914,150397,0.689,16.105,1,1.0104,0,0,23.3828,0,0,0,,6/26/20 11:06
66,,64,POM 278,1654.1,soil,19113,227804,0.433,4.784,1.0121,1.0104,0,0,11.0383,0,0,0,,6/26/20 11:21
67,,65,POM 279,29.8,soil,624,22689,0.763,25.69,1,1,0,0,33.6675,0,0,0,,6/26/20 11:30
68,,66,POM 280,1164.7,soil,11259,135990,0.359,4.028,1.0121,1.0104,0,0,11.2256,0,0,0,,6/26/20 11:41
69,"Nu,Cu",1,MT,100,blank,28,281,0.009,0.083,1,1,0,0,9.5663,0,0,0,,6/26/20 11:49
70,,67,POM 301,524.2,soil,12597,349562,0.894,23.308,1.0121,1.0104,0,0,26.0576,0,0,0,,6/26/20 12:02
71,,68,POM 302,1181.2,soil,13897,187926,0.439,5.512,1.0121,1.0104,0,0,12.5597,0,0,0,,6/26/20 12:14
72,,69,POM 303,196.8,soil,4058,125888,0.789,22.048,1,1.0104,0,0,27.9394,0,0,0,,6/26/20 12:24
73,,70,POM 304,1218.1,soil,11142,134730,0.339,3.816,1.0121,1.0104,0,0,11.2391,0,0,0,,6/26/20 12:36
