No. ,,Memo  ,Hole  Pos.,Name  ,Weight  [mg],Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,C/N  ratio,Moisture  [%],Date       Time  
1,,,1,MT,100,blank,38,165,0.012,0.049,1,1,4.1494,0,10/6/21 22:19
2,,,2,MT,100,blank,49,1014,0.015,0.3,1,1,19.3924,0,10/6/21 22:27
3,,,3,MT,100,blank [O2],78,15,0.024,0.005,1,1,0.1874,0,10/6/21 22:35
4,,,4,MT,100,blank [O2],88,38,0.028,0.011,1,1,0.409,0,10/6/21 22:42
5,,,5,runin,50.3,aspartic acid 1,14221,53328,10.425,35.751,1,1,3.4294,0,10/6/21 22:53
6,,,6,runin,39.1,aspartic acid 1,10983,41584,10.297,35.711,1,1,3.4682,0,10/6/21 23:04
7,,,7,runin,58.4,aspartic acid 1,16384,61910,10.371,35.829,1,1,3.4546,0,10/6/21 23:15
8,,,8,aspartic acid,46.5,aspartic acid 1,12971,49043,10.52,36.06,1.0248,1.0153,3.4278,0,10/6/21 23:26
9,,,9,aspartic acid,73.9,aspartic acid 1,20792,77999,10.52,36.06,1.0078,1.0076,3.4278,0,10/6/21 23:37
10,,,10,aspartic acid,69,aspartic acid 1,19327,72733,10.52,36.06,1.0133,1.0099,3.4278,0,10/6/21 23:48
11,,,11,C20 5-end NPOM,372.1,soil,1338,22284,0.14,2.021,1,1,14.416,0,10/6/21 23:57
12,,,12,C66 5-end NPOM,350.9,soil,6297,120028,0.673,11.789,1,1.0109,17.5219,0,10/7/21 00:07
13,,,13,C20 0-5 NPOM,328.8,soil,2412,40270,0.287,4.155,1,1.0109,14.4953,0,10/7/21 00:16
14,,,14,C66 5-end POM,464.8,soil,758,24658,0.061,1.791,1,1,29.3354,0,10/7/21 00:24
15,,,15,C66 0-5 NPOM,117.3,soil,5551,107439,1.783,31.525,1,1.0109,17.6841,0,10/7/21 00:34
16,,,16,C69 5-end POM,481.4,soil,126,3270,0.008,0.221,1,1,26.9443,0,10/7/21 00:43
17,,,17,C26 0-5 POM,1541.5,soil,17241,400272,0.42,9.099,1.0153,1.0109,21.6573,0,10/7/21 00:59
18,,,18,C39 5-end POM,992.2,soil,23847,609851,0.907,21.654,1.0153,1.0109,23.8758,0,10/7/21 01:14
19,,,19,C60 0-5 POM,1137.7,soil,47886,821030,1.598,25.451,1.0153,1.0109,15.9255,0,10/7/21 01:29
20,,,20,C60 0-5 NPOM,221,soil,8271,165620,1.403,25.935,1,1.0109,18.4797,0,10/7/21 01:39
21,,,21,C39 5-end NPOM,798.9,soil,15149,227611,0.711,9.902,1.0153,1.0109,13.9319,0,10/7/21 01:51
22,,,22,C26 0-5 NPOM,1995.1,soil,9716,123294,0.181,2.131,1.0153,1.0109,11.7954,0,10/7/21 02:03
23,,,23,C69 0-5 POM,523.5,soil,14757,467755,1.056,31.38,1.0153,1.0109,29.7143,0,10/7/21 02:17
24,,,24,C66 0-5 POM,330.5,soil,15040,391670,1.705,41.514,1.0153,1.0109,24.342,0,10/7/21 02:29
25,,,25,C20 0-5 POM,503,soil,260,9364,0.016,0.625,1,1,38.5209,0,10/7/21 02:38
26,,,26,C69 0-5 NPOM,185.7,soil,7567,159765,1.525,29.76,1,1.0109,19.5208,0,10/7/21 02:48
27,,,27,C62 0-5 POM,964.7,soil,42745,726070,1.681,26.545,1.0153,1.0109,15.7913,0,10/7/21 03:02
28,,,30,C75 5-end POM,2910.4,soil,1695,30850,0.023,0.358,1,1,15.7016,0,10/7/21 03:12
29,,,31,C75 0-5 POM,2542.2,soil,19263,435036,0.285,6.004,1.0153,1.0109,21.0564,0,10/7/21 03:26
30,,,32,C75 0-5 NPOM,700.5,soil,10306,178477,0.547,8.826,1.0153,1.0109,16.1466,0,10/7/21 03:37
31,,,33,C75 5-end NPOM,1049.6,soil,4041,52187,0.147,1.694,1,1.0109,11.4974,0,10/7/21 03:46
32,,,34,C62 0-5 NPOM,229.2,soil,7533,137831,1.23,20.762,1,1.0109,16.8862,0,10/7/21 03:57
33,,,35,C69 5-end NPOM,393.2,soil,2939,44555,0.29,3.851,1,1.0109,13.2675,0,10/7/21 04:06
34,,,36,C20 5-end POM,549.1,soil,125,2790,0.007,0.164,1,1,22.8487,0,10/7/21 04:15
35,,,28,MT,100,blank,80,81,0.025,0.024,1,1,0.9514,0,10/7/21 04:22
