sample,N  [%],C  [%],C/N  ratio,flag
S3 0-5cm,0.522,8.276,15.8549,
S9 0-5cm,0.595,10.168,17.0842,
S54 0-5cm,0.436,6.217,14.2697,
S57 0-5cm,0.487,7.464,15.3377,
S67 5-end,0.278,3.008,10.8338,
S20 0-5cm,0.609,9.877,16.2176,
S66 0-5cm,0.452,6.307,13.964,
S3 5-end,0.478,7.764,16.2555,
S20 5-end,0.474,7.442,15.6927,
S67 0-5cm,0.357,4.507,12.6229,
S83 5-end,0.357,4.98,13.9403,
S16 5-end,0.466,7.43,15.9556,
S54 5-end,0.217,2.476,11.4254,
S44 0-5cm,0.655,11.007,16.8157,
S70 5-end,0.377,4.749,12.5894,
S66 5-end,0.276,3.025,10.9481,
S16 0-5cm,0.573,9.287,16.1981,
S9 5-end,0.49,7.917,16.1429,
S44 5-end,0.56,8.819,15.7557,
S70 0-5cm,0.407,5.464,13.4193,
S57 5-end,0.361,4.972,13.7775,
S83 0-5cm,0.4,5.956,14.9061,
S76 0-5cm,0.443,6.459,14.5731,
S76 5-end,0.311,3.881,12.487,
S39 0-5cm,0.681,11.608,17.0573,
S6 0-5cm,0.516,8.351,16.1819,
S6 5-end,0.481,7.757,16.1346,
S39 5-end,0.518,7.987,15.4128,
S53 5-end,0.358,4.579,12.7972,
S53 0-5cm,0.458,6.593,14.384,
S87 5-end,0.34,4.4,12.93,
S15 0-5cm,0.598,9.557,15.9846,
S18 5-end,0.38,6.248,16.4551,
S11 0-5cm,0.555,8.772,15.8144,
S52 0-5cm,0.407,5.203,12.7954,
S18 0-5cm,0.629,10.03,15.9455,
S72 0-5cm,0.412,5.613,13.6394,
S72 5-end,0.299,3.525,11.7917,
S78 0-5cm,0,0,0,
S62 0-5cm,0.394,5.208,13.2115,
S65 5-end,0.31,3.737,12.0579,
S15 5-end,0.507,8.858,17.4808,
S11 5-end,0.462,7.395,16.022,
S52 5-end,0.298,3.756,12.5941,
S34 0-5cm,0.642,10.46,16.2965,
S62 5-end,0.264,2.974,11.2829,
S37 0-5cm,0.645,10.876,16.8733,
S87 0-5cm,0.386,5.401,13.9915,
S78 5-end,0.297,3.694,12.4447,
S37 5-end,0.532,8.044,15.1117,
S34 5-end,0.53,7.802,14.7176,
S65 0-5cm,0.408,5.437,13.335,
C71 0-5cm,1.137,23.575,20.7421,
C28 0-5cm,0.219,4.492,20.5328,
C18 0-5cm,0.815,14.471,17.7478,
C50 0-5cm,1.791,30.148,16.8301,
C50 5-end,0.299,6.914,23.0984,
C1 0-5cm,0.552,10.599,19.216,
C13 5-end,0.207,3.997,19.3382,
C27 5-end,0.207,4.034,19.4479,
C16 5-end,0.235,4.801,20.423,
C27 0-5cm,0.593,9.223,15.5587,
C16 0-5cm,0.556,10.067,18.1104,
C44 5-end,0.895,18.792,20.9986,
C62 5-end,0.686,11.767,17.1657,
C6 5-end,0.273,6.101,22.3505,
C56 0-5cm,1.702,29.148,17.1282,
C75 0-5cm,0.25,4.793,19.1459,
C37 5-end,0.618,11.996,19.4183,
C72 5-end,0.062,0.898,14.5313,
C18 5-end,0.182,3.524,19.3959,
C39 5-end,0.747,13.586,18.1789,
C60 0-5cm,1.626,27.238,16.7538,
C52 5-end,0.222,4.92,22.1356,
C60 5-end,1.548,24.137,15.5957,
C44 0-5cm,1.463,25.596,17.5011,
C28 5-end,0.12,2.791,23.2092,
C55 5-end,1.306,22.575,17.2847,
C4 5-end,0.092,1.666,18.1757,
C62 0-5cm,1.615,25.439,15.7565,
C6 0-5cm,0.421,8.35,19.839,
C52 0-5cm,1.725,30.373,17.609,
C39 0-5cm,1.062,19.871,18.7071,
C26 5-end,0.152,3.127,20.5244,
C75 5-end,0.054,0.819,15.1661,
C4 0-5cm,0.55,10.28,18.7015,
C72 0-5cm,0.63,11.724,18.6161,
C13 0-5cm,0.836,12.857,15.3798,
C37 0-5cm,0.444,8.797,19.8197,
C71 5-end,0.096,1.604,16.7789,
C56 5-end,0.932,16.371,17.5621,
C26 0-5cm,0.23,4.367,18.9729,
C55 0-5cm,1.677,28.547,17.0263,
C1 5-end,0.152,3.522,23.177,
"C8, 0-5cm",0.37,6.861,18.53,
"C8, 5cm-end",0.187,3.549,18.9565,
"C14, 0-5cm",0.522,9.021,17.2721,
"C14, 5cm-end",0.23,4.257,18.4868,
"C33, 0-5cm",0.201,3.785,18.807,
"C33, 5cm-end",0.103,2.069,20.1677,
"C35, 0-5cm",0.351,7.649,21.787,
"C35, 5cm-end",0.09,1.692,18.7515,
"C46, 0-5cm",0.476,11.492,24.1531,
"C46, 5cm-end",0.338,8.129,24.0318,
"C48, 0-5cm",1.346,23.238,17.26,"Npe,Co"
"C48, 5cm-end",0.874,15.496,17.7361,
"C49, 0-5cm",2.109,29.941,14.1964,"Npe,Co"
"C49, 5cm-end",0.866,15.215,17.5634,
"C79, 0-5cm",1.677,27.184,16.2061,Co
"C79, 5cm-end",1.575,24.732,15.704,Co
"C85, 0-5cm",0.339,7.538,22.2613,
"C85, 5cm-end",0.128,2.525,19.671,
