"coreID","depth","DOC_ID"
"C55","0-5cm","DOC-001"
"C60","0-5cm","DOC-002"
"C72","0-5cm","DOC-003"
"C49","0-5cm","DOC-004"
"C46","0-5cm","DOC-005"
"C79","0-5cm","DOC-006"
"C28","0-5cm","DOC-007"
"C4","0-5cm","DOC-008"
"C26","0-5cm","DOC-009"
"C35","0-5cm","DOC-010"
"C33","0-5cm","DOC-011"
"C8","0-5cm","DOC-012"
"C65","0-5cm","DOC-013"
"C66","0-5cm","DOC-014"
"C69","0-5cm","DOC-015"
"C50","0-5cm","DOC-016"
"C44","0-5cm","DOC-017"
"C56","0-5cm","DOC-018"
"C20","0-5cm","DOC-019"
"C3","0-5cm","DOC-020"
"C9","0-5cm","DOC-021"
"C6","0-5cm","DOC-022"
"C39","0-5cm","DOC-023"
"C27","0-5cm","DOC-024"
"C61","5cm-end","DOC-025"
"C86","0-5cm","DOC-026"
"C53","0-5cm","DOC-027"
"C71","0-5cm","DOC-028"
"C77","0-5cm","DOC-029"
"C52","0-5cm","DOC-030"
"C25","0-5cm","DOC-031"
"C15","0-5cm","DOC-032"
"C11","0-5cm","DOC-033"
"C1","0-5cm","DOC-034"
"C37","0-5cm","DOC-035"
"C18","0-5cm","DOC-036"
"C55","5cm-end","DOC-037"
"C60","5cm-end","DOC-038"
"C72","5cm-end","DOC-039"
"C49","5cm-end","DOC-040"
"C46","5cm-end","DOC-041"
"C79","5cm-end","DOC-042"
"C28","5cm-end","DOC-043"
"C4","5cm-end","DOC-044"
"C26","5cm-end","DOC-045"
"C35","5cm-end","DOC-046"
"C33","5cm-end","DOC-047"
"C8","5cm-end","DOC-048"
"C65","5cm-end","DOC-049"
"C66","5cm-end","DOC-050"
"C69","5cm-end","DOC-051"
"C50","5cm-end","DOC-052"
"C44","5cm-end","DOC-053"
"C56","5cm-end","DOC-054"
"C20","5cm-end","DOC-055"
"C3","5cm-end","DOC-056"
"C9","5cm-end","DOC-057"
"C6","5cm-end","DOC-058"
"C39","5cm-end","DOC-059"
"C27","5cm-end","DOC-060"
"C61","0-5cm","DOC-061"
"C86","5cm-end","DOC-062"
"C53","5cm-end","DOC-063"
"C71","5cm-end","DOC-064"
"C77","5cm-end","DOC-065"
