sample,depth,Site,length,location,drying,rep,DOC_ID,saturation
C2 0-5 cm,0-5 cm,,,,,,DOC-191,
C2 5cm-end,5cm-end,,,,,,DOC-192,
C31 0-5 cm,0-5 cm,,,,,,DOC-193,
C31 5cm-end,5cm-end,,,,,,DOC-194,
C36 0-5 cm,0-5 cm,,,,,,DOC-195,
C36 5cm-end,5cm-end,,,,,,DOC-196,
C38 0-5 cm,0-5 cm,,,,,,DOC-197,
C38 5cm-end,5cm-end,,,,,,DOC-198,
C40 0-5 cm,0-5 cm,,,,,,DOC-199,
C40 5cm-end,5cm-end,,,,,,DOC-200,
C42 0-5 cm,0-5 cm,,,,,,DOC-201,
C42 5cm-end,5cm-end,,,,,,DOC-202,
C58 0-5 cm,0-5 cm,,,,,,DOC-203,
C58 5cm-end,5cm-end,,,,,,DOC-204,
C74 0-5 cm,0-5 cm,,,,,,DOC-205,
C74 5cm-end,5cm-end,,,,,,DOC-206,
C10 0-5 cm,0-5 cm,,,,,,DOC-207,
C10 5cm-end,5cm-end,,,,,,DOC-208,
C17 0-5 cm,0-5 cm,,,,,,DOC-209,
C17 5cm-end,5cm-end,,,,,,DOC-210,
C5 0-5 cm,0-5 cm,,,,,,DOC-211,
C5 5cm-end,5cm-end,,,,,,DOC-212,
C51 0-5 cm,0-5 cm,,,,,,DOC-213,
C51 5cm-end,5cm-end,,,,,,DOC-214,
C54A 0-5 cm,0-5 cm,,,,,,DOC-215,
C54A 5cm-end,5cm-end,,,,,,DOC-216,
C59 0-5 cm,0-5 cm,,,,,,DOC-217,
C59 5cm-end,5cm-end,,,,,,DOC-218,
C63 0-5 cm,0-5 cm,,,,,,DOC-219,
C63 5cm-end,5cm-end,,,,,,DOC-220,
S17 0-5cm,0-5 cm,,,,,,DOC-221,
S17 5cm-end,5cm-end,,,,,,DOC-222,
S2 0-5cm,0-5 cm,,,,,,DOC-223,
S2 5cm-end,5cm-end,,,,,,DOC-224,
S31 0-5cm,0-5 cm,,,,,,DOC-225,
S31 5cm-end,5cm-end,,,,,,DOC-226,
