Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
200.012540602145,0,0,0,0,0,0,0,0,,None,201.019817069025,0,0,NA,NA,NA,NA,NA,NA,NA,199.78920481248,0.210795187520375,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.019543449973,0,0,0,0,0,0,0,0,,None,201.026819916853,0,0,NA,NA,NA,NA,NA,NA,NA,199.796199840865,0.203800159134829,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.026404299086,0,0,0,0,0,0,0,0,,None,201.033680765966,0,0,NA,NA,NA,NA,NA,NA,NA,199.803053029093,0.196946970907248,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.032131378214,0,0,0,0,0,0,0,0,,None,201.039407845094,0,1,NA,NA,NA,NA,NA,NA,NA,199.808773713313,0.19122628668697,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.051094659208,0,0,0,0,0,0,0,0,,None,201.058371126088,0,1,NA,NA,NA,NA,NA,NA,NA,199.827715819738,0.172284180261954,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.056421047341,8,11,5,1,0,0,0,0,CHON,Lignin,201.063697514221,0.124112802339567,1,C8H11O5N,0,0.111111111111111,4,-1,-2,53.175,199.833036260378,0.166963739621508,0.25,0.625,1.375,0.125,0,NA,Lignin;Amino Sugar,Lignin,Other
200.057699337379,9,7,1,5,0,0,0,0,CHON,ConHC,201.064975804259,0.418116285579547,1,C9H7ON5,1,1,9,8,3,28.6333333333333,199.834313123066,0.165686876933563,1.11111111111111,0.111111111111111,0.777777777777778,0.555555555555556,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
200.07699358613,0,0,0,0,0,0,0,0,,None,201.08427005301,0,0,NA,NA,NA,NA,NA,NA,NA,199.853585827687,0.146414172313115,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.081449162793,0,0,0,0,0,0,0,0,,None,201.088725629673,0,0,NA,NA,NA,NA,NA,NA,NA,199.858036429213,0.1419635707868,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.092814523545,9,15,4,1,0,0,0,0,CHON,Protein,201.100090990425,0.0844588119714524,1,C9H15O4N,0,0,3,-1,-2,72.9666666666667,199.869389099302,0.130610900698144,-0.444444444444445,0.444444444444444,1.66666666666667,0.111111111111111,0,NA,Protein,Protein,Other
200.096443688922,0,0,0,0,0,0,0,0,,None,201.103720155802,0,0,NA,NA,NA,NA,NA,NA,NA,199.87301421232,0.126985787679644,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.097320548336,0,0,0,0,0,0,0,0,,None,201.104597015216,0,0,NA,NA,NA,NA,NA,NA,NA,199.873890092625,0.126109907374683,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.129220317487,10,19,3,1,0,0,0,0,CHON,Protein,201.136496784367,-0.0164215197047279,1,C10H19O3N,0,0,2,-1,-2,88.8,199.905754242209,0.0942457577909011,-1,0.3,1.9,0.1,0,NA,Lipid;Protein,Lipid,Other
200.141272260126,0,0,0,0,0,0,0,0,,None,201.148548727006,0,0,NA,NA,NA,NA,NA,NA,NA,199.917792727541,0.0822072724587315,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.176657706098,0,0,0,0,0,0,0,0,,None,201.183934172978,0,0,NA,NA,NA,NA,NA,NA,NA,199.953138661808,0.0468613381918033,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.193647043405,0,0,0,0,0,0,0,0,,None,201.200923510285,0,0,NA,NA,NA,NA,NA,NA,NA,199.970109028669,0.0298909713306159,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.233292168225,0,0,0,0,0,0,0,0,,None,201.240568635105,0,0,NA,NA,NA,NA,NA,NA,NA,200.009709885389,0.990290114611184,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.236417702494,0,0,0,0,0,0,0,0,,None,201.243694169374,0,0,NA,NA,NA,NA,NA,NA,NA,200.012831929658,0.987168070341653,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.253666228871,0,0,0,0,0,0,0,0,,None,201.260942695751,0,0,NA,NA,NA,NA,NA,NA,NA,200.030061196177,0.969938803823311,NA,NA,NA,NA,NA,NA,NA,NA,NA
