"Row.names"	"coreID"	"depth"	"Site"	"length"	"location"	"drying"	"rep"	"saturation"	"Unassigned.__"	"k__Archaea.p__Crenarchaeota"	"k__Archaea.p__Euryarchaeota"	"k__Archaea.p__.Parvarchaeota."	"k__Bacteria.__"	"k__Bacteria.p__"	"k__Bacteria.p__AD3"	"k__Bacteria.p__Acidobacteria"	"k__Bacteria.p__Actinobacteria"	"k__Bacteria.p__Armatimonadetes"	"k__Bacteria.p__BHI80.139"	"k__Bacteria.p__BRC1"	"k__Bacteria.p__Bacteroidetes"	"k__Bacteria.p__Chlamydiae"	"k__Bacteria.p__Chlorobi"	"k__Bacteria.p__Chloroflexi"	"k__Bacteria.p__Cyanobacteria"	"k__Bacteria.p__Elusimicrobia"	"k__Bacteria.p__FBP"	"k__Bacteria.p__FCPU426"	"k__Bacteria.p__Fibrobacteres"	"k__Bacteria.p__Firmicutes"	"k__Bacteria.p__Fusobacteria"	"k__Bacteria.p__GAL15"	"k__Bacteria.p__GN02"	"k__Bacteria.p__GN04"	"k__Bacteria.p__GOUTA4"	"k__Bacteria.p__Gemmatimonadetes"	"k__Bacteria.p__Kazan.3B.28"	"k__Bacteria.p__Lentisphaerae"	"k__Bacteria.p__MVP.21"	"k__Bacteria.p__NC10"	"k__Bacteria.p__NKB19"	"k__Bacteria.p__Nitrospirae"	"k__Bacteria.p__OC31"	"k__Bacteria.p__OD1"	"k__Bacteria.p__OP1"	"k__Bacteria.p__OP11"	"k__Bacteria.p__OP3"	"k__Bacteria.p__OP8"	"k__Bacteria.p__PAUC34f"	"k__Bacteria.p__Planctomycetes"	"k__Bacteria.p__Proteobacteria"	"k__Bacteria.p__SBR1093"	"k__Bacteria.p__SC4"	"k__Bacteria.p__SR1"	"k__Bacteria.p__Spirochaetes"	"k__Bacteria.p__TM6"	"k__Bacteria.p__TM7"	"k__Bacteria.p__Tenericutes"	"k__Bacteria.p__Verrucomicrobia"	"k__Bacteria.p__WPS.2"	"k__Bacteria.p__WS1"	"k__Bacteria.p__WS2"	"k__Bacteria.p__WS3"	"k__Bacteria.p__WS5"	"k__Bacteria.p__ZB3"	"k__Bacteria.p__.Caldithrix."	"k__Bacteria.p__.Thermi."
"1"	"DOC_001"	"C55"	"0-5cm"	"CPCRW"	"150d"	"low"	"CW"	"r4"	"saturated"	0	0.000394710874284587	0	0	0	0	0	0.145253601736728	0.0234852970199329	0	0	0	0.13341227550819	0.000394710874284587	0	0.0134201697256759	0	0	0.00059206631142688	0	0	0.103019538188277	0	0	0	0	0	0.0175646339056641	0	0	0	0	0	0.00513124136569963	0	0	0	0	0.00138148805999605	0	0	0.016183145845668	0.404183935267417	0	0	0	0	0	0.000394710874284587	0	0.134004341819617	0	0	0	0.00118413262285376	0	0	0	0
"2"	"DOC_002"	"C60"	"0-5cm"	"CPCRW"	"150d"	"low"	"CW"	"r1"	"saturated"	0	0.000512741629492898	0	0	0.000179459570322514	0.000128185407373225	0	0.135902168897093	0.0391478234117828	0.000794749525713993	0	0.000333282059170384	0.0757319386761011	0.000538378710967543	0.00110239450340973	0.0211249551351074	5.12741629492899e-05	0.000846023688663283	0.000128185407373225	0	0	0.108701225452494	0	0	0	0	0	0.0209967697277342	0	0	0	0	0	0.00402502179151925	0	0	0	0	0.000333282059170384	0	0	0.0169717479362149	0.442060195867302	0	0	0	0	0.000512741629492898	0.000256370814746449	0	0.127365020766036	0.00010254832589858	0	0	0.00215351484387017	0	0	0	0
"3"	"DOC_003"	"C72"	"0-5cm"	"CPCRW"	"150d"	"low"	"CW"	"r3"	"saturated"	0	0	0	0	0.0016289592760181	0	0	0.0245067873303167	0.0712036199095023	0	0	0	0.0527058823529412	0.00188235294117647	0	0.0048868778280543	0.00441628959276018	0	0	0	0	0.0762352941176471	0	0	0	0	0	0.00213574660633484	0	0	0	0	0	0.0014841628959276	0	0	0	0	0	0	0	0.0179909502262443	0.705447963800905	0	0	0	0	0	0	0	0.0351131221719457	0	0	0	0	0	0	0	0.000361990950226244
"4"	"DOC_004"	"C49"	"0-5cm"	"CPCRW"	"150d"	"low"	"FAD"	"r3"	"saturated"	0	0	0	0	0	0	0	0.00774647887323944	0.0198591549295775	0	0	0	0.0835211267605634	0	0	0.00140845070422535	0	0	0	0	0.00028169014084507	0.0277464788732394	0	0	0	0	0	0.0028169014084507	0	0	0	0	0	0.000422535211267606	0	0	0	0	0	0	0	0	0.816338028169014	0	0	0	0	0	0	0	0.0395774647887324	0	0	0.00028169014084507	0	0	0	0	0
"5"	"DOC_005"	"C46"	"0-5cm"	"CPCRW"	"150d"	"low"	"FAD"	"r4"	"saturated"	0	0.142857142857143	0	0	0	0	0	0.357142857142857	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0.214285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"DOC_006"	"C79"	"0-5cm"	"CPCRW"	"150d"	"low"	"FAD"	"r2"	"saturated"	0	0.00040763084950269	0	0	0.000163052339801076	0	0	0.00546225338333605	0.0385618783629545	0.000244578509701614	0	0	0.188977661829447	0	0	0.000570683189303767	0.000326104679602152	0	0	0	0	0.106554704060003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000652209359204305	0.630197293331159	0	0	0	0	0	0	0	0.027881950105984	0	0	0	0	0	0	0	0
"7"	"DOC_007"	"C28"	"0-5cm"	"CPCRW"	"150d"	"up"	"CW"	"r1"	"saturated"	0	0	0	0	0.00385356454720617	0	0	0.0289017341040462	0.0635838150289017	0	0	0	0.35645472061657	0	0	0.00770712909441233	0	0	0	0	0	0.219653179190751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275529865125241	0	0	0	0	0	0	0	0.0308285163776493	0.0134874759152216	0	0	0	0	0	0	0
"8"	"DOC_008"	"C4"	"0-5cm"	"CPCRW"	"150d"	"up"	"CW"	"r4"	"saturated"	0	0	0	0	0.00520056440233824	0	0.000645031243700867	0.0434186655916146	0.0998185849627091	0.00112880467647652	0	0	0.24914331787946	0.000886917960088692	0.000201572263656521	0.00403144527313042	0.00161257810925217	0.00129006248740173	0	0	0	0.0301148961902842	0	0	0	0	0	0.0158032654706712	0	0	8.06289054626083e-05	0	0	0.000524087885506954	0	8.06289054626083e-05	0	0	0	0	0	0.0160048377343278	0.428341060270107	0	0	0	0	8.06289054626083e-05	0.00137069139286434	0	0.0969562588187865	0.00326547067123564	0	0	0	0	0	0	0
"9"	"DOC_009"	"C26"	"0-5cm"	"CPCRW"	"150d"	"up"	"CW"	"r3"	"saturated"	0	0	0	0	0.00254524276870646	0.000215698539720886	0.000323547809581329	0.0775436250296585	0.0689588231487673	0.001704018463795	0	0	0.158840404650461	0.000452966933413861	0	0.00282565087034361	0.00528461422316171	0.000409827225469684	8.62794158883544e-05	0	0	0.0638467677573823	0	0	0	0	0	0.015098897780462	0	0	0	0	0	0.000323547809581329	0	0.000474536787385949	0	0	0	0	0	0.0210737473307306	0.434287439874032	0	0	0	0	0.000841224304911456	0.000841224304911456	0	0.14365522745411	0.000129419123832532	0	0	0	0	0	0	0.000237268393692975
"10"	"DOC_010"	"C35"	"0-5cm"	"CPCRW"	"150d"	"up"	"FAD"	"r2"	"saturated"	0	0	0	0	0.0128582587273929	0	0	0.0225319954335156	0.112269422580064	0	0	0	0.0517334615153518	0.000150213302890104	0	0.00874241422820405	6.00853211560416e-05	0	0	0	0	0.416992128822929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00856215826473592	0.347383284263654	0	0	0	0	0.00642912936369645	6.00853211560416e-05	0	0.0118067656071622	0	0	0	0	0	0	0	0.000420597248092291
"11"	"DOC_011"	"C33"	"0-5cm"	"CPCRW"	"150d"	"up"	"FAD"	"r1"	"saturated"	0	0	0	0	0.00340654102382253	0.000755717291974282	0.00935926800060457	0.0554812756507888	0.0879306135261769	0.000627826673332481	0	0	0.0373789399030357	0.000372045436048877	0.000197649137900966	0.0114869028380091	0.00104637778888747	3.48792596295823e-05	0	0	0	0.467498343235168	0	0	0	0	0	0.00867330922788946	0	0	0	0	0	0	0	8.13849391356919e-05	0	0	0	0	0	0.00556905512085663	0.260524816593226	0	0	0	0	0.00520863610468428	8.13849391356919e-05	0	0.041111020683401	0.00317401262629199	0	0	0	0	0	0	0
"12"	"DOC_012"	"C8"	"0-5cm"	"CPCRW"	"150d"	"up"	"FAD"	"r3"	"saturated"	0	0	0	0	0.00773691529335187	0	0.002781147371224	0.0155477972721086	0.0393206899612415	0	0	0	0.000606526820320128	0.000369833427024468	0	0.00492618124796592	0	0	0	0	0	0.844255747211456	0	0	0	0	0	0.000355040089943489	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000872806887777745	0.0446019112991509	0	0	0	0	0.00329891416905826	0	0	0.0349714488594337	0.000355040089943489	0	0	0	0	0	0	0
