,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,0.1,9.76,13.21,Impurity,None,,,28,2.07,0,1.79,0.31,Impurity,Weak,,
2,10.16,0,28.93,5.23,Artifact,Weak,,,29,2.05,0.2,87.93,262.54,Compound,None,,
3,8.33,0.1,2.1,2.51,Impurity,None,,,30,2.01,0,20.14,11.54,Impurity,None,,
4,7.31,4.1,75.16,3278.11,Compound,None,,,31,1.9,0.2,28.28,71.71,Compound,None,,
5,6.95,0.6,308.6,2387.71,Compound,None,,,32,1.83,0.4,47.17,255.6,Compound,None,,
6,6.14,0,3.28,0.37,Artifact,Weak,,,33,1.76,0.1,3.83,2.93,Impurity,Weak,,
7,5.76,0,2.97,0.62,Artifact,Weak,,,34,1.75,0,2.33,0.97,Impurity,Weak,,
8,5.64,0,1.86,0.17,Artifact,Weak,,,35,1.62,0,1.89,0.43,Artifact,Weak,,
9,4.67,0.6,375.75,2448.84,Compound,None,,,36,1.39,0.1,173.07,206.43,Compound,None,,
10,3.98,0,13.07,7.71,Artifact,Weak,,,37,1.25,0.1,16.48,30.96,Compound,None,,
11,3.96,0.1,10.55,19.35,Artifact,Weak,,,38,1.23,0.6,5.72,45.55,Compound,None,,
12,3.95,0.1,12.62,25.78,Artifact,Weak,,,39,1.18,0,17.53,3.83,Impurity,Weak,,
13,3.93,0.1,10.48,9.2,Artifact,Weak,,,40,1.14,0.2,4.28,11.43,Compound,None,,
14,3.74,0.2,122.39,225.84,Artifact,Weak,,,41,1.13,1,93.74,1302.85,Compound,None,,
15,3.6,0.3,164.63,503.1,Artifact,Weak,,,42,1.08,1.2,5.05,83.73,Compound,None,,
16,3.17,1.1,107.6,1394.4,Artifact,Weak,,,43,1.07,1,4.46,53.38,Compound,None,,
17,2.75,0,3.51,1.24,Artifact,Weak,,,44,1.05,0.1,4.55,3.92,Compound,None,,
18,2.67,0.5,6.52,39.35,Solvent,Weak + C13_Sat,,,45,1.03,0.1,9.52,10.38,Impurity,None,,
19,2.65,0.1,1.36,1.54,Artifact,Weak,,,46,1.01,0.1,7.78,7.69,Impurity,None,,
20,2.62,0,5.19,0.89,Artifact,Weak,,,47,0.89,0.2,47.86,105.82,Compound,None,,
21,2.5,99.9,4.7,5677.41,Solvent,None,,,48,0.88,0.1,25.39,24.25,Compound,None,,
22,2.37,0,1.52,0.77,Artifact,Weak,,,49,0.86,0.1,13.85,25.16,Compound,None,,
23,2.34,0.1,3.84,6.23,Artifact,Weak,,,50,0.84,0.2,11.6,31.08,Compound,None,,
24,2.33,0.5,6.81,43.18,Solvent,Weak + C13_Sat,,,51,0.82,0.1,11.47,23.44,Compound,None,,
25,2.25,0.4,24.86,126.94,Compound,None,,,52,0.8,0.1,19.63,32.23,Compound,None,,
26,2.21,0,785.22,76.94,Artifact,Weak,,,53,0.06,0.1,2.28,1.87,CS Reference,Weak,,
27,2.08,0.1,1.44,1.89,Impurity,Weak,,,54,-0.07,0,1.94,0.39,Impurity,Weak,,
