,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.54,0,0.69,0.09,Artifact,Weak,,,24,2.6,0.1,24.77,11.79,Artifact,Weak,,,47,1.47,0,20.67,2.2,Artifact,Weak,,
2,13.44,0,0.68,0.07,Artifact,Weak,,,25,2.52,1.9,14.98,409.75,Solvent,None,,,48,1.33,0,1.75,0.19,Artifact,Weak,,
3,13.43,0,0.56,0.05,Artifact,Weak,,,26,2.51,24.1,1.86,588.07,Solvent,None,,,49,1.3,0,1.1,0.18,Impurity,Weak,,
4,11.31,0,0.88,0.08,Artifact,Weak,,,27,2.5,56.4,1.86,1311.49,Solvent,None,,,50,1.26,0,1.56,0.47,Impurity,Weak,,
5,10.2,0,2.36,1.51,Impurity,None,,,28,2.5,77.4,1.74,1667.53,Solvent,None,,,51,1.23,0.4,3.98,19.19,Compound,None,,
6,7.97,0,0.64,0.06,Artifact,Weak,,,29,2.5,52.7,1.84,1153.54,Solvent,None,,,52,1.17,0,0.89,0.1,Artifact,Weak,,
7,7.56,0,0.62,0.06,Artifact,Weak,,,30,2.49,21.1,1.57,389,Solvent,None,,,53,1.15,0.2,4.06,10.5,Compound,None,,
8,7.07,0.2,105.56,286.99,Compound,None,,,31,2.34,0.1,1.77,3.15,Solvent,Weak + C13_Sat,,,54,1.12,0.1,1.72,1.69,Compound,None,,
9,6.53,0,1.33,0.32,Impurity,Weak,,,32,2.33,0.3,2.02,7.85,Solvent,Weak + C13_Sat,,,55,1.11,0,1.52,0.23,Impurity,Weak,,
10,5.67,0,0.83,0.07,Artifact,Weak,,,33,2.33,0.4,1.8,10.16,Solvent,Weak + C13_Sat,,,56,1.11,0.1,1.54,2.12,Compound,None,,
11,5.43,0,1.13,0.12,Artifact,Weak,,,34,2.32,0.3,1.8,6.48,Solvent,Weak + C13_Sat,,,57,1.1,0.1,1.42,1.09,Compound,None,,
12,5.4,0,13.29,2.28,Compound,None,,,35,2.32,0.1,1.69,2.28,Solvent,Weak + C13_Sat,,,58,1.09,0,2.5,0.61,Compound,Weak,,
13,4.94,0,248.39,104.61,Compound,None,,,36,2.3,0,2.3,0.54,Artifact,Weak,,,59,1.08,0,1.2,0.16,Impurity,Weak,,
14,4.57,0,1.81,0.18,Artifact,Weak,,,37,2.2,0,0.92,0.09,Artifact,Weak,,,60,1.07,0,1.59,0.46,Impurity,None,,
15,3.51,0.5,2.99,18.44,Compound,None,,,38,2.18,0,3.43,0.45,Impurity,Weak,,,61,1.05,0,1.72,0.6,Impurity,None,,
16,3.3,0.7,3.65,31.17,Artifact,Weak,,,39,2.08,0,1.67,0.69,Impurity,None,,,62,1.04,0,0.94,0.09,Impurity,Weak,,
17,3.13,0.1,3.08,2.27,Compound,None,,,40,2.06,0,5.42,0.81,Impurity,Weak,,,63,0.85,0,2.86,1.72,Impurity,None,,
18,3.11,0.1,2.83,1.89,Compound,None,,,41,1.9,0.1,1.76,1.24,Impurity,None,,,64,0.84,0,2.36,0.55,Impurity,Weak,,
19,2.68,0.1,1.86,3.05,Solvent,Weak + C13_Sat,,,42,1.85,0,34.35,4.24,Compound,None,,,65,0.83,0,0.91,0.09,Artifact,Weak,,
20,2.67,0.3,1.95,7.89,Solvent,Weak + C13_Sat,,,43,1.83,0,28.43,4.38,Compound,None,,,66,0.07,0.1,2.27,2.01,Compound,None,,
21,2.67,0.4,1.87,10.76,Solvent,Weak + C13_Sat,,,44,1.77,0,2.1,0.49,Impurity,Weak,,,67,-2.04,0,0.46,0.04,Artifact,Weak,,
22,2.66,0.3,1.76,6.66,Solvent,Weak + C13_Sat,,,45,1.72,0,1.67,0.25,Impurity,Weak,,,,,,,,,,,
23,2.66,0.1,1.56,2.15,Solvent,Weak + C13_Sat,,,46,1.55,0,12.64,1.59,Impurity,Weak,,,,,,,,,,,
