,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.09,0,0.69,0.06,Artifact,Weak,,,29,4.59,0.1,8.27,10.19,Compound,None,,,57,3.13,0.2,3.58,10.27,Artifact,Weak,,,85,2.34,0.2,1.48,3.11,Solvent,Weak + C13_Sat,,,113,1.62,0,0.44,0.03,Artifact,Weak,,,141,0.9,0,1.66,0.63,Impurity,None,,
2,11.41,0,0.58,0.05,Artifact,Weak,,,30,4.58,0.1,6.91,6.25,Compound,None,,,58,3.11,0.1,4.04,4.9,Artifact,Weak,,,86,2.33,0.3,1.4,6.02,Solvent,Weak + C13_Sat,,,114,1.5,0,9.93,1.28,Compound,None,,,142,0.88,0,1.56,0.84,Compound,None,,
3,11.15,0,0.5,0.04,Artifact,Weak,,,31,4.46,0.1,35.04,29.83,Compound,None,,,59,3.1,0.1,3.4,4.26,Artifact,Weak,,,87,2.33,0.5,1.42,10.02,Solvent,Weak + C13_Sat,,,115,1.47,0,18.72,2.67,Compound,None,,,143,0.88,0,2.81,1.31,Compound,None,,
4,8.47,0.1,2.09,3.44,Compound,None,,,32,4.34,0.1,19.79,34.56,Compound,None,,,60,3.1,0,1.12,0.23,Artifact,Weak,,,88,2.32,0.3,1.22,5.01,Solvent,Weak + C13_Sat,,,116,1.3,0,1.52,0.26,Impurity,None,,,144,0.87,0,3.08,1.56,Compound,None,,
5,8.12,0,0.69,0.07,Artifact,Weak,,,33,4.27,0.1,11.4,7.16,Compound,None,,,61,3.08,0.1,3.16,2.32,Artifact,Weak,,,89,2.32,0.1,1.22,1.99,Solvent,Weak + C13_Sat,,,117,1.26,0,4.68,1.98,Compound,None,,,145,0.86,0.1,2.91,2.97,Compound,None,,
6,7.88,0,3.06,0.38,Impurity,Weak,,,34,4.25,0,3.13,1.09,Compound,None,,,62,3.08,0,1.78,0.86,Artifact,Weak,,,90,2.29,0,0.62,0.36,Compound,None,,,118,1.24,0.1,5.42,3.79,Compound,None,,,146,0.85,0,1.07,0.41,Compound,None,,
7,7.86,0,5.18,0.42,Artifact,Weak,,,35,3.83,0,2.18,0.27,Impurity,Weak,,,63,3.06,0,1.79,1.23,Artifact,Weak,,,91,2.27,0.1,231.57,143.07,Compound,None,,,119,1.24,0.3,3.04,13.26,Compound,None,,,147,0.84,0,1.51,0.45,Compound,None,,
8,7.69,0,1.96,0.41,Impurity,None,,,36,3.82,0,1.84,0.32,Impurity,None,,,64,3.05,0.1,1.49,1.01,Artifact,Weak,,,92,2.24,0,0.67,0.08,Artifact,Weak,,,120,1.22,0,1.61,0.51,Compound,None,,,148,0.83,0.1,18.24,21.63,Compound,None,,
9,7.28,0,101.22,8.05,Artifact,Weak,,,37,3.81,0,2.04,0.31,Impurity,Weak,,,65,3.05,0,1.68,0.83,Artifact,Weak,,,93,2.22,0.1,0.73,0.6,Impurity,None,,,121,1.18,0,2.33,0.31,Impurity,Weak,,,149,0.13,0,0.76,0.24,Impurity,None,,
10,6.57,0,7.03,3.46,Compound,None,,,38,3.74,0,20.32,5.45,Compound,None,,,66,3.04,0,3.42,2.03,Artifact,Weak,,,94,2.18,0,1.42,0.14,Impurity,Weak,,,122,1.15,0.1,2.29,2.65,Compound,None,,,150,0.12,0.1,1.2,1.08,CS Reference,Weak + C13_Sat,,
