,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,14.97,0,0.5,0.05,Artifact,Weak,,,30,4.87,0.1,1.96,1.61,Compound,None,,,59,3.21,0,2,0.24,Artifact,Weak,,,88,1.41,0,0.57,0.04,Artifact,Weak,,
2,14.73,0,0.65,0.07,Artifact,Weak,,,31,4.82,0,1.59,0.22,Impurity,Weak,,,60,3.16,0,1.64,0.29,Artifact,Weak,,,89,1.36,0,1.21,0.22,Impurity,None,,
3,14.72,0,0.43,0.05,Artifact,Weak,,,32,4.81,0,1.26,0.21,Impurity,Weak,,,61,3.15,0,1.86,0.37,Impurity,None,,,90,1.3,0,1.81,0.6,Compound,None,,
4,14.51,0,0.56,0.05,Artifact,Weak,,,33,4.76,0.1,2.19,1.55,Compound,None,,,62,3.14,0,2.32,0.38,Compound,None,,,91,1.28,0,0.97,0.26,Compound,None,,
5,14.15,0,0.5,0.04,Artifact,Weak,,,34,4.75,0.1,3.86,3,Compound,None,,,63,3.13,0,3.65,1.33,Compound,None,,,92,1.26,0,1.46,0.78,Compound,None,,
6,13.55,0,0.46,0.04,Artifact,Weak,,,35,4.74,0,1.9,1.05,Compound,None,,,64,3.1,0,2.81,0.39,Impurity,Weak,,,93,1.24,0.2,3.3,10.56,Compound,None,,
7,12.99,0,0.59,0.06,Artifact,Weak,,,36,4.58,0.1,1.89,1.46,Compound,None,,,65,2.68,0.1,1.45,2.35,Solvent,Weak + C13_Sat,,,94,1.15,0,1.1,0.26,Compound,None,,
8,12.98,0,0.4,0.03,Artifact,Weak,,,37,4.57,0.1,1.88,1.28,Compound,None,,,66,2.67,0.3,1.57,7.02,Solvent,Weak + C13_Sat,,,95,1.15,0.1,2.75,1.94,Compound,None,,
9,10.8,0,0.46,0.05,Artifact,Weak,,,38,4.35,0,2.2,0.69,Compound,None,,,67,2.67,0.5,1.56,9.92,Solvent,Weak + C13_Sat,,,96,1.13,0,1.38,0.14,Artifact,Weak,,
10,10.51,0,0.4,0.04,Artifact,Weak,,,39,4.33,0.1,2.48,1.73,Compound,None,,,68,2.66,0.3,1.48,5.95,Solvent,Weak + C13_Sat,,,97,1.05,0,1.21,0.16,Artifact,Weak,,
11,10.25,0,0.74,0.08,Artifact,Weak,,,40,4.32,0,1.93,0.58,Compound,None,,,69,2.66,0.1,1.39,1.94,Solvent,Weak + C13_Sat,,,98,1.03,0,3.75,0.51,Artifact,Weak,,
12,9.96,0,0.52,0.05,Artifact,Weak,,,41,4.07,0,0.4,0.04,Artifact,Weak,,,70,2.53,0.2,9.48,26.17,Artifact,Weak,,,99,0.99,0,3.25,0.25,Artifact,Weak,,
13,8.8,0,0.53,0.05,Artifact,Weak,,,42,3.77,0,0.98,0.11,Artifact,Weak,,,71,2.52,0.3,1.82,8.01,Solvent,Weak,,,100,0.97,0,3.64,0.36,Impurity,Weak,,
14,8.52,0.1,3.62,5.23,Compound,None,,,43,3.63,0,14.16,2.79,Compound,None,,,72,2.52,0.2,1.24,3.32,Solvent,Weak,,,101,0.92,0,0.6,0.06,Artifact,Weak,,
15,8.04,0,0.62,0.07,Artifact,Weak,,,44,3.58,0,1.56,0.32,Compound,None,,,73,2.51,23.8,1.38,384.91,Solvent,None,,,102,0.85,0,2.48,1.4,Compound,None,,
16,7.96,0,0.34,0.02,Artifact,Weak,,,45,3.57,0,1.83,0.53,Compound,None,,,74,2.5,58.2,1.54,1124.55,Solvent,None,,,103,0.83,0,5.24,1.86,Compound,None,,
17,6.82,0,0.64,0.06,Artifact,Weak,,,46,3.56,0,4.01,1.67,Compound,None,,,75,2.5,86.1,1.59,1750.23,Solvent,None,,,104,0.81,0,4.49,1.05,Compound,None,,
