,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,15.38,0,0.51,0.03,Artifact,Weak,,,30,4.59,0.2,1.77,3.95,Compound,None,,,59,3.54,0.1,5.27,7.95,Compound,None,,,88,3.06,0,1.44,0.19,Compound,None,,,117,2.23,0,2.72,0.3,Compound,None,,
2,14.96,0,0.87,0.07,Artifact,Weak,,,31,4.57,0.2,1.69,3.89,Compound,None,,,60,3.53,0.1,2.13,2.1,Compound,None,,,89,3.04,0,3.05,0.71,Compound,None,,,118,2.21,0,2.28,0.36,Compound,None,,
3,13.53,0,0.47,0.03,Artifact,Weak,,,32,4.48,0,2.51,0.38,Compound,None,,,61,3.53,0,2.27,0.97,Compound,None,,,90,3.03,0,1.38,0.2,Compound,None,,,119,2.08,0,1.16,0.23,Impurity,None,,
4,13.21,0,1.03,0.07,Artifact,Weak,,,33,4.46,0,2.08,0.56,Compound,None,,,62,3.52,0,2.04,0.86,Compound,None,,,91,3.01,0,1.25,0.11,Artifact,Weak,,,120,2.02,0,1.67,0.17,Impurity,Weak,,
5,10.2,0,1.15,0.1,Impurity,Weak,,,34,4.45,0,1.72,0.3,Compound,None,,,63,3.5,0,2.62,1.1,Compound,None,,,92,2.91,0,1.98,0.28,Compound,None,,,121,1.84,0.1,9.1,9.01,Compound,None,,
6,8.49,0.2,3.53,8.75,Compound,None,,,35,4.44,0,1.71,0.35,Compound,None,,,64,3.48,0.1,3.51,2.71,Compound,None,,,93,2.9,0,1.66,0.11,Artifact,Weak,,,122,1.77,0,2.49,0.31,Compound,None,,
7,7.95,0,0.87,0.06,Artifact,Weak,,,36,4.42,0,1.71,0.42,Compound,None,,,65,3.47,0.1,2.21,1.88,Compound,None,,,94,2.89,0,1.15,0.16,Compound,None,,,123,1.36,0,1.02,0.1,Impurity,Weak,,
8,6.57,0,1.51,0.54,Compound,None,,,37,4.39,0,3.65,0.3,Artifact,Weak,,,66,3.45,0,2.97,1.33,Compound,None,,,95,2.88,0,1.03,0.12,Impurity,None,,,124,1.3,0,1.62,0.39,Compound,None,,
9,6.55,0,1.42,0.5,Compound,None,,,38,4.38,0,1.96,0.15,Impurity,Weak,,,67,3.44,0,1.94,0.83,Compound,None,,,96,2.87,0,1,0.1,Impurity,Weak,,,125,1.28,0,0.94,0.2,Compound,None,,
10,6.28,0,1.36,0.45,Compound,None,,,39,4.35,0.1,2.12,1.98,Compound,None,,,68,3.42,0,4.61,0.82,Compound,None,,,97,2.87,0,0.7,0.06,Artifact,Weak,,,126,1.26,0,1.42,0.49,Compound,None,,
