DOC_ID,npoc_mgL,notes
DOC-001,62.5,
DOC-002,47.5,
DOC-003,29.2,
DOC-004,141,
DOC-005,25.7,
DOC-007,45.8,
DOC-008,106,
DOC-009,34.5,
DOC-010,154,
DOC-011,56.6,
DOC-012,181,
DOC-013,21,
DOC-014,24.2,
DOC-015,18.7,
DOC-016,105,
DOC-017,98.3,
DOC-018,100,
DOC-019,11.1,
DOC-020,47.1,
DOC-021,33.6,
DOC-022,136,
DOC-023,148,
DOC-024,169,
DOC-025,9.77,
DOC-026,27,
DOC-027,28.1,
DOC-028,69.3,
DOC-030,106,
DOC-031,10.4,
DOC-032,66.4,
DOC-033,65.1,
DOC-034,112,
DOC-035,162,
DOC-036,155,
DOC-037,21.3,
DOC-038,13.6,
DOC-039,3.28,
DOC-040,35.5,
DOC-042,42.3,
DOC-043,9.88,
DOC-044,7.54,
DOC-045,23.8,
DOC-046,25.4,
DOC-047,19.7,
DOC-048,23.9,
DOC-049,5.9,
DOC-050,7,
DOC-051,4.46,
DOC-052,21.4,
DOC-053,28.1,
DOC-054,34.9,
DOC-055,3.92,
DOC-056,6.51,
DOC-057,9.98,
DOC-058,23.5,
DOC-059,27.5,
DOC-060,16.8,
DOC-061,23.7,
DOC-062,4.86,
DOC-063,18.1,
DOC-064,9.82,
blank,0.48,blank
DOC-066,11.1,
DOC-067,14.5,
DOC-068,15.9,
DOC-069,19.4,
DOC-070,16.5,
DOC-071,51.4,
DOC-072,18.5,
DOC-073,129,
DOC-074,176,
DOC-075,167,
DOC-076,102,
DOC-077,84.2,
DOC-078,145,
DOC-079,197,
DOC-080,94.5,
DOC-081,144,
DOC-082,182,
DOC-083,148,
DOC-084,23.1,
DOC-085,27.3,
DOC-086,27.5,
DOC-087,61.9,
DOC-088,68.8,
DOC-089,106,
DOC-090,43.8,
DOC-091,36.6,
DOC-092,36.1,
DOC-093,57.5,
DOC-094,107,
DOC-095,50,
DOC-096,41.3,
DOC-097,45.1,
blank,0.87,blank
DOC-099,66.8,
DOC-100,60.1,
DOC-101,28.2,
DOC-102,42.3,
DOC-103,41.8,
DOC-104,36.7,
DOC-105,41.8,
DOC-106,49.4,
DOC-107,16.7,
DOC-108,21.4,
DOC-109,28.9,
DOC-110,38.5,
DOC-111,20.7,
DOC-112,24.3,
DOC-113,27.5,
DOC-114,24,
DOC-115,56.7,
DOC-116,25,
DOC-117,27.7,
DOC-118,19.7,
DOC-119,17.9,
DOC-120,18.2,
DOC-121,23.8,
DOC-122,23.9,
DOC-123,29,
DOC-124,21.1,
DOC-125,16.1,
DOC-126,18.5,
DOC-127,21.1,
DOC-128,36.3,
DOC-129,25.6,
DOC-130,23,
DOC-131,21.1,
blank,0.82,blank
DOC-133,23.7,
DOC-134,30,
DOC-135,52.4,
DOC-136,28.3,
DOC-137,21.6,
DOC-138,29.3,
DOC-139,23.2,
DOC-140,18,
DOC-141,82.1,
DOC-142,26.6,
DOC-143,226,
DOC-144,59.5,
DOC-145,40.5,
DOC-146,43,
DOC-147,24.1,
DOC-148,14.1,
DOC-149,97.3,
DOC-150,23.7,
DOC-151,6.44,
DOC-152,21.2,
DOC-153,60.3,
DOC-154,69.4,
DOC-155,55.8,
DOC-156,69.3,
DOC-157,84.6,
DOC-158,64.7,
DOC-159,69.8,
DOC-160,94.8,
DOC-161,104,
DOC-162,79.7,
DOC-163,102,
DOC-164,75.7,
DOC-165,45.8,
DOC-166,34.6,
DOC-167,31,
DOC-168,44.7,
DOC-169,58.6,
DOC-170,50.3,
DOC-171,46.7,
DOC-172,38.1,
DOC-173,50.8,
DOC-174,72.9,
DOC-175,57.1,
DOC-176,70.7,
DOC-231,44.8,
