sample,npoc_mg_l,notes
dir Sarah_Alaska-1,62.5,
dir Sarah_Alaska-2,47.5,
dir Sarah_Alaska-3,29.2,
dir Sarah_Alaska-4,141,
dir Sarah_Alaska-5,25.7,
dir Sarah_Alaska-7,45.8,
dir Sarah_Alaska-8,106,
dir Sarah_Alaska-9,34.5,
dir Sarah_Alaska-10,154,
dir Sarah_Alaska-11,56.6,
dir Sarah_Alaska-12,181,
dir Sarah_Alaska-13,21,
dir Sarah_Alaska-14,24.2,
dir Sarah_Alaska-15,18.7,
dir Sarah_Alaska-16,105,
dir Sarah_Alaska-17,98.3,
dir Sarah_Alaska-18,100,
dir Sarah_Alaska-19,11.1,
dir Sarah_Alaska-20,47.1,
dir Sarah_Alaska-21,33.6,
dir Sarah_Alaska-22,136,
dir Sarah_Alaska-23,148,
dir Sarah_Alaska-24,169,
dir Sarah_Alaska-25,9.77,
dir Sarah_Alaska-26,27,
dir Sarah_Alaska-27,28.1,
dir Sarah_Alaska-28,69.3,
dir Sarah_Alaska-30,106,
dir Sarah_Alaska-31,10.4,
dir Sarah_Alaska-32,66.4,
dir Sarah_Alaska-33,65.1,
dir Sarah_Alaska-34,112,
dir Sarah_Alaska-35,162,
dir Sarah_Alaska-36,155,
dir Sarah_Alaska-37,21.3,
dir Sarah_Alaska-38,13.6,
dir Sarah_Alaska-39,3.28,
dir Sarah_Alaska-40,35.5,
dir Sarah_Alaska-42,42.3,
dir Sarah_Alaska-43,9.88,
dir Sarah_Alaska-44,7.54,
dir Sarah_Alaska-45,23.8,
dir Sarah_Alaska-46,25.4,
dir Sarah_Alaska-47,19.7,
dir Sarah_Alaska-48,23.9,
dir Sarah_Alaska-49,5.9,
dir Sarah_Alaska-50,7,
dir Sarah_Alaska-51,4.46,
dir Sarah_Alaska-52,21.4,
dir Sarah_Alaska-53,28.1,
dir Sarah_Alaska-54,34.9,
dir Sarah_Alaska-55,3.92,
dir Sarah_Alaska-56,6.51,
dir Sarah_Alaska-57,9.98,
dir Sarah_Alaska-58,23.5,
dir Sarah_Alaska-59,27.5,
dir Sarah_Alaska-60,16.8,
dir Sarah_Alaska-61,23.7,
dir Sarah_Alaska-62,4.86,
dir Sarah_Alaska-63,18.1,
dir Sarah_Alaska-64,9.82,
dir Sarah_Alaska-65 DI H2O blank,0.48,blank
dir Sarah_Alaska-66,11.1,
dir Sarah_Alaska-67,14.5,
dir Sarah_Alaska-68,15.9,
dir Sarah_Alaska-69,19.4,
dir Sarah_Alaska-70,16.5,
dir Sarah_Alaska-71,51.4,
dir Sarah_Alaska-72,18.5,
dir Sarah_Alaska-73,129,
dir Sarah_Alaska-74,176,
dir Sarah_Alaska-75,167,
dir Sarah_Alaska-76,102,
dir Sarah_Alaska-77,84.2,
dir Sarah_Alaska-78,145,
dir Sarah_Alaska-79,197,
dir Sarah_Alaska-80,94.5,
dir Sarah_Alaska-81,144,
dir Sarah_Alaska-82,182,
dir Sarah_Alaska-83,148,
dir Sarah_Alaska-84,23.1,
dir Sarah_Alaska-85,27.3,
dir Sarah_Alaska-86,27.5,
dir Sarah_Alaska-87,61.9,
dir Sarah_Alaska-88,68.8,
dir Sarah_Alaska-89,106,
dir Sarah_Alaska-90,43.8,
dir Sarah_Alaska-91,36.6,
dir Sarah_Alaska-92,36.1,
dir Sarah_Alaska-93,57.5,
dir Sarah_Alaska-94,107,
dir Sarah_Alaska-95,50,
dir Sarah_Alaska-96,41.3,
dir Sarah_Alaska-97,45.1,
dir Sarah_Alaska-98 DI H2O blk,0.87,blank
dir Sarah_Alaska-99,66.8,
dir Sarah_Alaska-100,60.1,
dir Sarah_Alaska-101,28.2,
dir Sarah_Alaska-102,42.3,
dir Sarah_Alaska-103,41.8,
dir Sarah_Alaska-104,36.7,
dir Sarah_Alaska-105,41.8,
dir Sarah_Alaska-106,49.4,
