DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2018-12-04                21:15:18.190              337.55229388              8101.255053               338.55229388              1543958118.191            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9669538493E+000         1.9818574111E+000         4.7411810592E+002         4.7850854366E+002         5.8752798906E-001         7.4695845777E-001         
2018-12-04                21:15:19.884              337.55231347              8101.255523               338.55231347              1543958119.884            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9679656251E+000         1.9818574111E+000         4.7411810592E+002         4.7850854366E+002         5.8752798906E-001         7.4695845777E-001         
2018-12-04                21:15:20.832              337.55232446              8101.255787               338.55232446              1543958120.833            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9679656251E+000         1.9818574111E+000         4.7388489236E+002         4.7850854366E+002         5.8752798906E-001         7.4695845777E-001         
2018-12-04                21:15:25.230              337.55237536              8101.257009               338.55237536              1543958125.231            0                         963                       3.0000000000E+000         8.8571428571E+000         0.0000000000E+000         1.9679656251E+000         1.9827039670E+000         4.7388489236E+002         4.7822228219E+002         5.8198801701E-001         7.4004201810E-001         
2018-12-04                21:15:26.915              337.55239486              8101.257477               338.55239486              1543958126.916            0                         963                       2.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9673170034E+000         1.9827039670E+000         4.7388489236E+002         4.7822228219E+002         5.8198801701E-001         7.4004201810E-001         
2018-12-04                21:15:27.858              337.55240576              8101.257738               338.55240576              1543958127.858            0                         963                       1.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9673170034E+000         1.9827039670E+000         4.9832872004E+002         4.7822228219E+002         5.8198801701E-001         7.4004201810E-001         
2018-12-04                21:15:32.301              337.55245719              8101.258973               338.55245719              1543958132.301            0                         963                       3.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9673170034E+000         1.9974087939E+000         4.9832872004E+002         5.0764657754E+002         1.8111211216E+000         2.2214114298E+000         
2018-12-04                21:15:35.930              337.55249919              8101.259981               338.55249919              1543958135.930            0                         963                       2.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.8061914902E+000         1.9974087939E+000         4.9832872004E+002         5.0764657754E+002         1.8111211216E+000         2.2214114298E+000         
2018-12-04                21:15:55.776              337.55272890              8101.265494               338.55272890              1543958155.777            0                         963                       1.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.8061914902E+000         1.9974087939E+000         1.0693938001E+003         5.0764657754E+002         1.8111211216E+000         2.2214114298E+000         
2018-12-04                21:15:59.384              337.55277066              8101.266496               338.55277066              1543958159.385            0                         963                       3.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.8061914902E+000         1.8560231969E+000         1.0693938001E+003         1.1054803238E+003         2.4241157488E+000         2.9241433020E+000         
2018-12-04                21:16:04.467              337.55282949              8101.267908               338.55282949              1543958164.468            0                         963                       2.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.8548318721E+000         1.8560231969E+000         1.0693938001E+003         1.1054803238E+003         2.4241157488E+000         2.9241433020E+000         
2018-12-04                21:16:26.808              337.55308806              8101.274113               338.55308806              1543958186.808            0                         963                       1.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.8548318721E+000         1.8560231969E+000         8.5326373202E+002         1.1054803238E+003         2.4241157488E+000         2.9241433020E+000         
2018-12-04                21:16:30.351              337.55312906              8101.275098               338.55312906              1543958190.351            0                         963                       3.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.8548318721E+000         1.9138508898E+000         8.5326373202E+002         8.8647898368E+002         2.4362135263E+000         2.9377935689E+000         
2018-12-04                21:16:34.351              337.55317537              8101.276209               338.55317537              1543958194.352            0                         963                       2.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9091573038E+000         1.9138508898E+000         8.5326373202E+002         8.8647898368E+002         2.4362135263E+000         2.9377935689E+000         
2018-12-04                21:16:54.684              337.55341069              8101.281857               338.55341069              1543958214.684            0                         963                       1.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9091573038E+000         1.9138508898E+000         6.2810182338E+002         8.8647898368E+002         2.4362135263E+000         2.9377935689E+000         
2018-12-04                21:16:58.288              337.55345241              8101.282858               338.55345241              1543958218.288            0                         963                       3.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9091573038E+000         1.9700148658E+000         6.2810182338E+002         6.5259646943E+002         2.4326580136E+000         2.9337826330E+000         
2018-12-04                21:17:01.924              337.55349449              8101.283868               338.55349449              1543958221.924            0                         963                       2.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9191339383E+000         1.9700148658E+000         6.2810182338E+002         6.5259646943E+002         2.4326580136E+000         2.9337826330E+000         
2018-12-04                21:17:21.592              337.55372214              8101.289331               338.55372214              1543958241.593            0                         963                       1.0000000000E+000         8.0000000000E+000         0.0000000000E+000         1.9191339383E+000         1.9700148658E+000         5.5781193186E+002         6.5259646943E+002         2.4326580136E+000         2.9337826330E+000         
2018-12-04                21:17:25.151              337.55376333              8101.290320               338.55376333              1543958245.152            0                         963                       3.0000000000E+000         1.5448275862E+001         0.0000000000E+000         1.9191339383E+000         1.9802291920E+000         5.5781193186E+002         5.7953680326E+002         2.4300043053E+000         2.9307885518E+000         
2018-12-04                21:17:26.752              337.55378185              8101.290764               338.55378185              1543958246.752            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9219855644E+000         1.9802291920E+000         5.5781193186E+002         5.7953680326E+002         2.4300043053E+000         2.9307885518E+000         
2018-12-04                21:17:27.698              337.55379281              8101.291027               338.55379281              1543958247.699            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9219855644E+000         1.9802291920E+000         5.4406069206E+002         5.7953680326E+002         2.4300043053E+000         2.9307885518E+000         
2018-12-04                21:17:32.111              337.55384388              8101.292253               338.55384388              1543958252.111            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9219855644E+000         1.9614720410E+000         5.4406069206E+002         5.5772737980E+002         7.7740400611E-001         9.8262006744E-001         
2018-12-04                21:17:35.513              337.55388325              8101.293198               338.55388325              1543958255.513            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9624679861E+000         1.9614720410E+000         5.4406069206E+002         5.5772737980E+002         7.7740400611E-001         9.8262006744E-001         
