"Site","Core","dry_fine_g","coarse_g","dry_soil_g"
"CPCRW",1,71.05,70.29,141.34
"CPCRW",4,85.29,103.44,188.73
"CPCRW",6,113.96,48.04,162
"CPCRW",8,136.67,25.67,162.34
"CPCRW",13,103.17,59.89,163.06
"CPCRW",14,106.63,51.54,158.17
"CPCRW",16,87.88,106.49,194.37
"CPCRW",18,62.29,69.89,132.18
"CPCRW",26,44.4,25.58,69.98
"CPCRW",27,42.86,40.88,83.74
"CPCRW",28,102.45,70.83,173.28
"CPCRW",33,77.11,107.35,184.46
"CPCRW",35,63.38,47.39,110.77
"CPCRW",37,31.17,22.53,53.7
"CPCRW",39,34.64,46.3,80.94
"CPCRW",44,34.37,50.03,84.4
"CPCRW",46,53.18,79.83,133.01
"CPCRW",48,56.36,29.54,85.9
"CPCRW",49,15.7,41.94,57.64
"CPCRW",50,52.77,130.47,183.24
"CPCRW",52,46.53,128.41,174.94
"CPCRW",55,39.58,42.55,82.13
"CPCRW",56,40.41,44.26,84.67
"CPCRW",60,33.36,53.3,86.66
"CPCRW",62,25.89,48.21,74.1
"CPCRW",71,41.32,86.2,127.52
"CPCRW",72,49.82,148.55,198.37
"CPCRW",75,152.78,100.69,253.47
"CPCRW",77,30.83,31.75,62.58
"CPCRW",79,35.46,38.47,73.93
"CPCRW",85,88.21,82.41,170.62
"CPCRW",11,,,127.64
"CPCRW",15,,,116.33
"CPCRW",20,,,229.19
"CPCRW",25,,,171.08
"CPCRW",3,,,181.06
"CPCRW",34,,,131.7
"CPCRW",53,,,39.89
"CPCRW",54,,,15.94
"CPCRW",61,,,90.49
"CPCRW",64,,,113.5
"CPCRW",65,,,143.04
"CPCRW",66,,,142.71
"CPCRW",69,,,178.92
"CPCRW",82,,,214.84
"CPCRW",86,,,170.46
"CPCRW",9,,,163.26
"SR",3,79.08,18.3,97.38
"SR",4,93.61,8.85999999999999,102.47
"SR",6,86.23,6.13,92.36
"SR",8,69.15,16.21,85.36
"SR",9,59.21,25.24,84.45
"SR",11,96.42,12.41,108.83
"SR",13,83.1,7.53,90.63
"SR",14,66.52,8.67999999999999,75.2
"SR",15,82.13,13.33,95.46
"SR",16,86.92,6.59,93.51
"SR",18,77.34,16.06,93.4
"SR",20,85.73,5.2,90.93
"SR",26,88.17,20.85,109.02
"SR",28,73.64,28.28,101.92
"SR",33,62.49,22.26,84.75
"SR",34,90.6,14.6,105.2
"SR",35,69.68,31.57,101.25
"SR",37,94.62,10.91,105.53
"SR",39,80.26,22.45,102.71
"SR",44,67.78,10.26,78.04
"SR",46,88,9.39,97.39
"SR",49,78.13,8.59,86.72
"SR",52,139.26,24.59,163.85
"SR",53,120.06,9.60000000000001,129.66
"SR",54,125.89,-1.5,124.39
"SR",56,144.88,7.55,152.43
"SR",57,110.83,9.05000000000001,119.88
"SR",61,146.43,14.21,160.64
"SR",62,160.72,14.51,175.23
"SR",63,135.39,16.5,151.89
"SR",65,154.5,21,175.5
"SR",66,182.05,14.5,196.55
"SR",67,160.18,-8.59999999999999,151.58
"SR",70,94.85,13.1,107.95
"SR",72,157.26,16.78,174.04
"SR",73,166.73,10.86,177.59
"SR",76,134.93,12.83,147.76
"SR",78,173.45,19.12,192.57
"SR",80,153.25,13.63,166.88
"SR",83,91.01,31.4,122.41
"SR",86,145.33,7.34000000000001,152.67
"SR",87,143.88,17.66,161.54
