"Site","Core","Depth","wet_soil_g","moisture_pc","moisture_cv","flag","dry_soil_g"
"CPCRW",4,"0-5cm",72.46,89.04,2.89,,38.33
"CPCRW",50,"0-5cm",56.84,397.44,19.43,"highly variable moisture",11.43
"CPCRW",16,"0-5cm",50.42,62.59,5.34,,31.01
"CPCRW",6,"0-5cm",57,51.5,5,,37.62
"CPCRW",75,"0-5cm",103.68,127.47,3.94,,45.58
"CPCRW",39,"0-5cm",44.61,176.92,2.03,,16.11
"CPCRW",27,"0-5cm",40.25,50.71,3.82,,26.71
"CPCRW",44,"0-5cm",51.07,312.88,6.09,,12.37
"CPCRW",56,"0-5cm",73.4,372.15,2.68,,15.55
"CPCRW",26,"0-5cm",91.88,49.56,3.69,,61.43
"CPCRW",13,"0-5cm",54.38,81.55,3.67,,29.95
"CPCRW",60,"0-5cm",69.7,329.97,4.17,,16.21
"CPCRW",55,"0-5cm",87.53,331.77,8.62,,20.27
"CPCRW",72,"0-5cm",74.52,165.89,19.53,"highly variable moisture",28.03
"CPCRW",62,"0-5cm",71.34,346.43,10.52,,15.98
"CPCRW",28,"0-5cm",96.1,49.27,1.54,,64.38
"CPCRW",1,"0-5cm",71.68,171.19,,,26.43
"CPCRW",18,"0-5cm",52.68,202.04,,,17.44
"CPCRW",71,"0-5cm",66.92,392.31,,,13.59
"CPCRW",37,"0-5cm",49.96,178.57,,,17.93
"CPCRW",77,"0-5cm",52.32,936.36,,,5.05
"CPCRW",52,"0-5cm",53.18,380.77,,,11.06
"CPCRW",4,"5cm-end",156.01,29.81,6.54,,120.18
"CPCRW",50,"5cm-end",181.65,49.23,29.41,"highly variable moisture",121.72
"CPCRW",16,"5cm-end",196.01,58.27,6.16,,123.85
"CPCRW",6,"5cm-end",176.14,66.96,6.26,,105.5
"CPCRW",75,"5cm-end",213.83,23.2,3.39,,173.56
"CPCRW",39,"5cm-end",97.25,175.48,2.57,,35.3
"CPCRW",27,"5cm-end",134.4,386.35,26.19,"highly variable moisture",27.63
"CPCRW",44,"5cm-end",104.77,176.55,8.43,,37.88
"CPCRW",56,"5cm-end",104.46,180.22,1.5,,37.28
"CPCRW",26,"5cm-end",98.57,59.77,8.76,,61.69
"CPCRW",13,"5cm-end",172.55,57.35,7.35,,109.66
"CPCRW",60,"5cm-end",125.33,321.56,11.46,,29.73
"CPCRW",55,"5cm-end",104.32,242.94,3.17,,30.42
"CPCRW",72,"5cm-end",154.52,23.99,5.57,,124.62
"CPCRW",62,"5cm-end",92.11,345.45,,,20.68
"CPCRW",28,"5cm-end",128.54,51.28,10.74,,84.97
"CPCRW",1,"5cm-end",174.66,136.99,,,73.7
"CPCRW",18,"5cm-end",168.27,123.75,,,75.2
"CPCRW",71,"5cm-end",132.05,111.11,,,62.55
"CPCRW",37,"5cm-end",71.01,243.9,,,20.65
"CPCRW",77,"5cm-end",142.64,348.28,,,31.82
"CPCRW",52,"5cm-end",209.5,140.28,,,87.19
