"coreID","Site","location","drying","length","saturation","DOC_analysis"
"C0","CPCRW",NA,NA,NA,"saturated",FALSE
"C2","CPCRW","upland","CW","1000d","saturated",FALSE
"C5","CPCRW","upland","CW","1000d","saturated",FALSE
"C10","CPCRW","upland","FAD","1000d","saturated",FALSE
"C13","CPCRW","upland","CW","150d","saturated",FALSE
"C14","CPCRW","upland","FAD","150d","saturated",FALSE
"C16","CPCRW","upland","FAD","30d","saturated",FALSE
"C17","CPCRW","upland","FAD","1000d","saturated",FALSE
"C31","CPCRW","upland","CW","1000d","saturated",FALSE
"C34","CPCRW","upland","CW","90d","saturated",FALSE
"C36","CPCRW","upland","FAD","1000d","saturated",FALSE
"C38","CPCRW","upland","CW","1000d","saturated",FALSE
"C40","CPCRW","upland","FAD","1000d","saturated",FALSE
"C42","CPCRW","lowland","FAD","1000d","saturated",FALSE
"C48","CPCRW","lowland","CW","1000d","saturated",FALSE
"C51","CPCRW","lowland","CW","1000d","saturated",FALSE
"C54","CPCRW","lowland","CW","30d","saturated",FALSE
"C54A","CPCRW","lowland","CW","1000d","saturated",FALSE
"C58","CPCRW","lowland","CW","1000d","saturated",FALSE
"C59","CPCRW","lowland","FAD","1000d","saturated",FALSE
"C62","CPCRW","lowland","CW","150d","saturated",FALSE
"C63","CPCRW","lowland","FAD","1000d","saturated",FALSE
"C64","CPCRW","lowland","CW","90d","saturated",FALSE
"C74","CPCRW","lowland","FAD","1000d","saturated",FALSE
"C75","CPCRW","lowland","FAD","30d","saturated",FALSE
"C82","CPCRW","upland","CW","30d","saturated",FALSE
"C85","CPCRW","lowland","FAD","150d","saturated",FALSE
"S2","SR","lowland","CW","1000d","saturated",FALSE
"S5","SR","lowland","CW","1000d","saturated",FALSE
"S10","SR","lowland","FAD","1000d","saturated",FALSE
"S17","SR","lowland","FAD","1000d","saturated",FALSE
"S27","SR","lowland","FAD","30d","saturated",FALSE
"S28","SR","lowland","CW","150d","saturated",FALSE
"S29","SR",NA,NA,"timezero","saturated",FALSE
"S31","SR","lowland","CW","1000d","saturated",FALSE
"S33","SR","lowland","FAD","150d","saturated",FALSE
"S34","SR","lowland","CW","90d","saturated",FALSE
"S35","SR","lowland","FAD","150d","saturated",FALSE
"S36","SR","lowland","FAD","1000d","saturated",FALSE
"S38","SR","lowland","CW","1000d","saturated",FALSE
"S40","SR","lowland","FAD","1000d","saturated",FALSE
"S42","SR","lowland","FAD","1000d","saturated",FALSE
"S44","SR","lowland","FAD","30d","saturated",FALSE
"S46","SR","lowland","FAD","150d","saturated",FALSE
"S48","SR","lowland","CW","1000d","saturated",FALSE
"S50","SR","lowland","FAD","30d","saturated",FALSE
"S51","SR","lowland","CW","1000d","saturated",FALSE
"S55","SR","upland","CW","1000d","saturated",FALSE
"S59","SR","upland","CW","1000d","saturated",FALSE
"S60","SR","upland","FAD","1000d","saturated",FALSE
"S62","SR","upland","CW","90d","saturated",FALSE
"S64","SR","upland","FAD","1000d","saturated",FALSE
"S67","SR","upland","CW","30d","saturated",FALSE
"S68","SR",NA,NA,"timezero","saturated",FALSE
"S70","SR","upland","CW","30d","saturated",FALSE
"S73","SR","upland","CW","150d","saturated",FALSE
"S74","SR",NA,NA,"timezero","saturated",FALSE
"S75","SR","upland","FAD","1000d","saturated",FALSE
"S82","SR",NA,NA,"timezero","saturated",FALSE
"C55","CPCRW","lowland","CW","150d","saturated",TRUE
"C60","CPCRW","lowland","CW","150d","saturated",TRUE
"C72","CPCRW","lowland","CW","150d","saturated",TRUE
"C49","CPCRW","lowland","FAD","150d","saturated",TRUE
"C46","CPCRW","lowland","FAD","150d","saturated",TRUE
"C79","CPCRW","lowland","FAD","150d","saturated",TRUE
"C28","CPCRW","upland","CW","150d","saturated",TRUE
"C4","CPCRW","upland","CW","150d","saturated",TRUE
"C26","CPCRW","upland","CW","150d","saturated",TRUE
"C35","CPCRW","upland","FAD","150d","saturated",TRUE
"C33","CPCRW","upland","FAD","150d","saturated",TRUE
"C8","CPCRW","upland","FAD","150d","saturated",TRUE
"C65","CPCRW","lowland","CW","30d","saturated",TRUE
"C66","CPCRW","lowland","CW","30d","saturated",TRUE
"C69","CPCRW","lowland","CW","30d","saturated",TRUE
"C50","CPCRW","lowland","FAD","30d","saturated",TRUE
"C44","CPCRW","lowland","FAD","30d","saturated",TRUE
"C56","CPCRW","lowland","FAD","30d","saturated",TRUE
"C20","CPCRW","upland","CW","30d","saturated",TRUE
"C3","CPCRW","upland","CW","30d","saturated",TRUE
"C9","CPCRW","upland","CW","30d","saturated",TRUE
"C6","CPCRW","upland","FAD","30d","saturated",TRUE
"C39","CPCRW","upland","FAD","30d","saturated",TRUE
"C27","CPCRW","upland","FAD","30d","saturated",TRUE
"C61","CPCRW","lowland","CW","90d","saturated",TRUE
"C86","CPCRW","lowland","CW","90d","saturated",TRUE
"C53","CPCRW","lowland","CW","90d","saturated",TRUE
"C71","CPCRW","lowland","FAD","90d","saturated",TRUE
"C77","CPCRW","lowland","FAD","90d","saturated",TRUE
"C52","CPCRW","lowland","FAD","90d","saturated",TRUE
"C25","CPCRW","upland","CW","90d","saturated",TRUE
"C15","CPCRW","upland","CW","90d","saturated",TRUE
"C11","CPCRW","upland","CW","90d","saturated",TRUE
"C1","CPCRW","upland","FAD","90d","saturated",TRUE
"C37","CPCRW","upland","FAD","90d","saturated",TRUE
"C18","CPCRW","upland","FAD","90d","saturated",TRUE
"S13","SR","lowland","CW","150d","saturated",TRUE
"S26","SR","lowland","CW","150d","saturated",TRUE
"S4","SR","lowland","CW","150d","saturated",TRUE
"S8","SR","lowland","FAD","150d","saturated",TRUE
"S49","SR","lowland","FAD","150d","saturated",TRUE
"S14","SR","lowland","FAD","150d","saturated",TRUE
