"date","Site","Core","PPM_CO2","Mass_g"
2020-02-12,"","AMB",511,NA
2020-02-12,"CPCRW","14",492,NA
2020-02-12,"CPCRW","35",513,NA
2020-02-12,"CPCRW","49",539,NA
2020-02-12,"CPCRW","8",519,NA
2020-02-12,"CPCRW","48",540,NA
2020-02-12,"CPCRW","46",530,NA
2020-02-12,"CPCRW","79",548,NA
2020-02-12,"","amb",562,NA
2020-02-12,"CPCRW","85",573,NA
2020-02-12,"CPCRW","33",567,NA
2020-02-17,"","amb",589,NA
2020-02-17,"CPCRW","14",599,180.27
2020-02-17,"CPCRW","48",600,114.91
2020-02-17,"CPCRW","35",601,147.38
2020-02-17,"CPCRW","49",605,79.64
2020-02-17,"CPCRW","8",602,206.02
2020-02-17,"CPCRW","46",606,149.76
2020-02-17,"CPCRW","85",609,201.13
2020-02-17,"CPCRW","79",603,92.84
2020-02-17,"CPCRW","33",603,212.23
2020-02-17,"SR","56",614,199.87
2020-02-17,"SR","61",611,192.78
2020-02-17,"SR","80",610,213
2020-02-17,"SR","73",612,220.01
2020-02-17,"SR","35",613,136.52
2020-02-17,"SR","14",611,115.57
2020-02-17,"SR","26",615,142.26
2020-02-17,"SR","49",613,127.69
2020-02-17,"SR","28",614,133.58
2020-02-17,"SR","86",611,192.78
2020-02-17,"","amb",590,NA
2020-02-17,"SR","33",603,118.9
2020-02-17,"SR","4",599,141.57
2020-02-17,"SR","46",600,125.12
2020-02-17,"SR","63",605,192.07
2020-02-17,"SR","8",609,121.63
2020-02-17,"SR","13",607,131.48
2020-02-17,"","amb",565,NA
2020-02-18,"","amb",591,NA
2020-02-18,"CPCRW","14",693,235.58
2020-02-18,"CPCRW","48",724,222.05
2020-02-18,"CPCRW","35",889,178.6
2020-02-18,"CPCRW","49",796,144.18
2020-02-18,"CPCRW","8",1048,273.39
2020-02-18,"CPCRW","46",919,230.89
2020-02-18,"CPCRW","85",598,225.03
2020-02-18,"CPCRW","79",1202,227.4
2020-02-18,"CPCRW","33",596,261.12
2020-02-20,"SR","56",623,241.09
2020-02-20,"SR","61",657,274.37
2020-02-20,"SR","80",641,275.73
2020-02-20,"SR","73",702,297.73
2020-02-20,"SR","35",598,182.37
2020-02-20,"SR","14",605,161.58
2020-02-20,"SR","26",622,185.92
2020-02-20,"SR","49",642,175.53
2020-02-20,"SR","28",679,170.08
