"Biotic_abiotic","Trans_name","0-5cm_CPCRW_150d_CW_saturated","0-5cm_CPCRW_150d_FAD_saturated","0-5cm_CPCRW_30d_CW_saturated","0-5cm_CPCRW_30d_FAD_saturated","0-5cm_CPCRW_90d_CW_instant chemistry","0-5cm_CPCRW_90d_CW_saturated","0-5cm_CPCRW_90d_FAD_instant chemistry","0-5cm_CPCRW_90d_FAD_saturated","0-5cm_CPCRW_timezero__timezero","0-5cm_SR_150d_CW_saturated","0-5cm_SR_150d_FAD_saturated","0-5cm_SR_30d_CW_instant chemistry","0-5cm_SR_30d_CW_saturated","0-5cm_SR_30d_FAD_instant chemistry","0-5cm_SR_30d_FAD_saturated","0-5cm_SR_90d_CW_instant chemistry","0-5cm_SR_90d_CW_saturated","0-5cm_SR_90d_FAD_instant chemistry","0-5cm_SR_90d_FAD_saturated","0-5cm_SR_timezero__timezero","5cm-end_CPCRW_150d_CW_saturated","5cm-end_CPCRW_150d_FAD_saturated","5cm-end_CPCRW_30d_CW_saturated","5cm-end_CPCRW_30d_FAD_saturated","5cm-end_CPCRW_90d_CW_instant chemistry","5cm-end_CPCRW_90d_CW_saturated","5cm-end_CPCRW_90d_FAD_instant chemistry","5cm-end_CPCRW_90d_FAD_saturated","5cm-end_CPCRW_timezero__timezero","5cm-end_SR_150d_CW_saturated","5cm-end_SR_150d_FAD_saturated","5cm-end_SR_30d_CW_instant chemistry","5cm-end_SR_30d_CW_saturated","5cm-end_SR_30d_FAD_instant chemistry","5cm-end_SR_30d_FAD_saturated","5cm-end_SR_90d_CW_instant chemistry","5cm-end_SR_90d_CW_saturated","5cm-end_SR_90d_FAD_instant chemistry","5cm-end_SR_90d_FAD_saturated","5cm-end_SR_timezero__timezero"
"Abiotic","acetotacetate (-H2O)",88,78,89,95,82,90,80,89,67,86,82,89,83,78,80,90,91,92,89,68,90,91,92,92,85,93,80,89,61,87,84,77,93,98,83,90,89,95,95,57
"Abiotic","acetylation (-H2O)",6,6,6,6,5,6,6,6,2,6,6,6,7,6,6,6,6,6,6,2,6,6,6,6,6,6,5,6,2,6,5,5,6,6,6,6,6,6,7,2
"Abiotic","C2H2",381,343,380,390,374,382,347,372,289,389,359,398,387,333,372,392,391,411,377,295,387,392,391,407,383,390,351,387,291,384,384,346,405,429,372,415,403,404,405,221
"Abiotic","Carboxylation",6,4,6,7,9,5,8,6,8,6,4,8,4,7,5,9,5,10,5,7,6,5,7,6,8,7,8,5,8,5,5,10,5,8,5,9,5,9,5,5
"Abiotic","condensation/dehydration",4,3,5,5,3,5,3,3,3,3,3,3,4,2,2,3,4,3,4,3,4,4,5,5,4,6,3,4,2,5,4,3,5,2,4,3,4,3,4,2
"Abiotic","ethyl addition (-H2O)",1,1,1,1,1,2,,1,,1,1,1,2,1,1,1,1,1,1,1,1,,,,,1,,,,,,1,1,1,,1,1,1,2,1
"Abiotic","Formic Acid (-H2O)",10,9,10,11,8,10,8,10,7,10,8,9,9,10,9,10,11,10,10,8,11,11,10,10,11,10,10,9,8,9,10,9,11,10,10,9,11,10,11,8
"Abiotic","glyoxylate (-H2O)",8,8,9,8,8,8,7,7,8,8,7,10,8,9,7,9,7,9,8,7,11,7,11,10,8,11,9,8,8,9,7,8,8,10,8,8,7,8,9,4
"Abiotic","H2S",11,4,13,9,5,8,6,8,3,14,14,12,14,4,12,10,19,9,16,8,11,6,14,9,5,13,14,6,5,10,8,10,11,13,8,10,10,13,12,7
"Abiotic","hydrogenation/dehydrogenation",4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2
"Abiotic","hydroxylation (-H)",5,5,5,5,7,5,6,6,4,6,6,8,5,7,6,9,7,7,6,5,5,6,6,5,5,5,7,5,5,5,5,8,5,8,5,8,6,7,5,5
"Abiotic","Inorganic Phosphate",1,,,,,1,,,,1,,,,,,,,,,,1,,2,2,1,1,,,1,2,2,,2,2,1,1,1,2,2,
"Abiotic","NO3-",1,1,1,1,3,,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,,1,2,,1,1,1,1,1,1,2,3,1,1,1,1,2,
"Abiotic","SO42-",2,,2,2,,2,,1,1,1,1,,2,,1,,2,,2,2,,,1,1,,1,,,,1,1,,1,1,1,,1,,2,1
"Abiotic","sulfate (-H2O)",1,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Biotic","Alanine",3,2,3,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,1,3,2,3,3,2,3,2,3,2,3,2,3,1
"Biotic","Aspartic Acid",1,1,1,1,3,1,3,1,2,1,1,2,1,2,1,2,1,3,1,2,1,1,2,1,1,1,3,1,2,1,1,2,1,2,1,2,1,2,1,2
"Biotic","CH4_O",380,302,368,397,366,363,339,347,260,359,333,380,367,316,335,381,371,381,359,267,372,390,385,407,365,384,335,385,262,380,361,323,391,408,355,389,384,392,396,188
"Biotic","Cystine",1,,1,1,2,1,1,1,1,1,1,,2,,,,2,1,1,,,,1,1,,1,,,1,2,2,,,,2,,,,2,
