"Core","Sample_number","DATETIME","n","flux_co2_umol_s","flux_ch4_nmol_s","dry_soil_g","flux_co2_umol_g_s","flux_ch4_nmol_g_s","Core_assignment","coreID","Site","location","drying","length","replicate","Treatment"
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,141.3,6.28447059947272e-06,-8.25342653445842e-09,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,"drydown"
"11",211,2018-12-20 18:33:23,11,0.000197503553500935,-2.40910527687482e-06,127.64,1.54734842918313e-06,-1.88742187157225e-08,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,"drydown"
"11",381,2018-12-28 04:39:20,11,0.000606930083213448,-8.2273863357861e-07,127.64,4.75501475410097e-06,-6.44577431509409e-09,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,"drydown"
"13",182,2018-12-12 23:02:58,16,0.000569368361283514,-1.2875954462121e-06,163,3.4930574311872e-06,-7.89935856571843e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,"drydown"
"13",207,2018-12-20 18:28:19,11,0.000452429645895921,-2.42612837362895e-06,163,2.77564199936148e-06,-1.48842231510978e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,"drydown"
"13",393,2018-12-28 04:54:27,11,0.000274268905676111,-8.37817236403604e-07,163,1.68263132316633e-06,-5.13998304542088e-09,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,"drydown"
"13",455,2018-12-04 19:26:41,16,0.000484364040473318,-1.92074451281735e-06,163,2.97155853051116e-06,-1.17837086675911e-08,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2,"drydown"
"15",174,2018-12-12 22:53:06,12,0.000657444384175751,-1.99032371549483e-06,116.33,5.6515463266204e-06,-1.71092900841987e-08,"CPCRW_90d_up_CW_r2","C15","CPCRW","upland","constant weight","90 day",2,"drydown"
"15",336,2018-12-28 03:34:41,11,4.53798887974365e-05,-5.64087652977369e-07,116.33,3.90096181530444e-07,-4.84902994049144e-09,"CPCRW_90d_up_CW_r2","C15","CPCRW","upland","constant weight","90 day",2,"drydown"
"16",170,2018-12-12 22:48:07,13,0.000834355188073174,-1.93970350064615e-06,194.31,4.29393849041827e-06,-9.98252020300627e-09,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2,"drydown"
"16",209,2018-12-20 18:30:51,11,0.00049451607196778,-2.97566758064677e-06,194.31,2.54498518845031e-06,-1.53140218241304e-08,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2,"drydown"
"16",373,2018-12-28 04:29:26,11,5.58616994900364e-05,-7.65287327834937e-07,194.31,2.87487517317876e-07,-3.93848658244525e-09,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2,"drydown"
"18",142,2018-12-12 21:46:05,14,3.1885970063897e-05,1.23422451284219e-08,132.15,2.41286190419198e-07,9.3395725527218e-11,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3,"drydown"
"18",412,2018-12-28 05:29:09,11,0.000232633309262904,-2.84112495984577e-08,132.15,1.76037313100949e-06,-2.14992429802934e-10,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3,"drydown"
"26",96,2018-12-12 20:28:58,11,3.24815677408763e-05,-1.20654375495225e-06,69.94,4.6442047098765e-07,-1.72511260359201e-08,"CPCRW_150d_up_CW_r3","C26","CPCRW","upland","constant weight","150 day",3,"drydown"
