"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"1",4.00325767526246e-05,1.41241491766837e-06,8.00651535052491e-07,8.00651535052491e-07,6.17974337613294e-07,0.771839321550516,8.7394768945125e-08,50,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1
"13",4.98034076159939e-05,9.83405803075425e-07,2.59392747999968e-07,1.61775670857913e-07,3.35424535707392e-07,1.29311454654636,2.42071807479335e-08,192,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"16",6.91025450384771e-05,1.2487258051022e-06,4.76569276127428e-07,3.4557872181888e-07,4.36350819875049e-07,0.915608373709712,3.62369632210963e-08,145,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2
"18",9.31032655115661e-05,1.58963211016597e-06,1.29310090988286e-06,1.37826013226067e-06,2.85343632509195e-07,0.220666175646758,3.36280695859423e-08,72,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3
"26",2.07551221207862e-05,4.87658843211346e-07,3.34760034206229e-07,3.34760034206229e-07,1.54146983258069e-07,0.460470090533887,1.9576686450471e-08,62,"CPCRW_150d_up_CW_r3","C26","CPCRW","upland","constant weight","150 day",3
"27",5.37114015341556e-05,6.73087508805478e-07,6.39421446835185e-07,6.61215294345372e-07,3.97517838001059e-08,0.0621683617227062,4.33727519698821e-09,84,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3
"28",3.85644351653295e-05,5.98626882421756e-07,4.14671345863758e-07,3.87034553490416e-07,1.41044566912199e-07,0.340135792644182,1.46256402692124e-08,93,"CPCRW_150d_up_CW_r1","C28","CPCRW","upland","constant weight","150 day",1
"37",0.000246417142833897,5.14501652974327e-06,2.05347619028248e-06,1.57396926634955e-06,1.69002350376944e-06,0.823006135531066,1.54277332621406e-07,120,"CPCRW_90d_up_FAD_r4","C37","CPCRW","upland","forced","90 day",4
"39",0.000313209321547032,3.08414398146103e-06,1.86434119968472e-06,1.46780133504102e-06,7.90064960017685e-07,0.423777021154333,6.09548350091975e-08,168,"CPCRW_30d_up_FAD_r4","C39","CPCRW","upland","forced","30 day",4
"4",2.72313059725863e-05,3.99564156460789e-07,2.12744577910831e-07,2.2464722924336e-07,1.42002013922265e-07,0.667476536026145,1.25513233733226e-08,128,"CPCRW_150d_up_CW_r4","C4","CPCRW","upland","constant weight","150 day",4
"44",6.44713566415598e-05,1.13285708043919e-06,1.11157511450965e-06,1.11157511450965e-06,2.14678381566797e-08,0.0193129891776588,2.81886524956345e-09,58,"CPCRW_30d_low_FAD_r3","C44","CPCRW","lowland","forced","30 day",3
"50",1.44171553202344e-05,3.37140037700858e-07,2.48571643452317e-07,2.48571643452317e-07,8.93419320291888e-08,0.359421254928168,1.17311703995486e-08,58,"CPCRW_30d_low_FAD_r1","C50","CPCRW","lowland","forced","30 day",1
"52",4.66125476037386e-05,1.03854508680456e-06,6.21500634716514e-07,6.10831535224218e-07,3.38508668847192e-07,0.54466343224508,3.90876142163897e-08,75,"CPCRW_90d_low_FAD_r3","C52","CPCRW","lowland","forced","90 day",3
"55",6.82898590225549e-05,7.24225603520898e-07,7.11352698151614e-07,7.22911490727105e-07,1.73748783481585e-08,0.0244251246861164,1.77331609566332e-09,96,"CPCRW_150d_low_CW_r4","C55","CPCRW","lowland","constant weight","150 day",4
"56",0.000334133497788156,3.57576182180555e-06,2.7844458149013e-06,3.1760713902085e-06,9.36919250041621e-07,0.336483204315768,8.55286346347698e-08,120,"CPCRW_30d_low_FAD_r4","C56","CPCRW","lowland","forced","30 day",4
"6",4.55788947014543e-05,5.60519030826671e-07,3.9292150604702e-07,3.76692123832067e-07,1.34495216800473e-07,0.34229538147087,1.24875673834799e-08,116,"CPCRW_30d_up_FAD_r1","C6","CPCRW","upland","forced","30 day",1
"60",0.000699224661110159,8.34883107558607e-06,5.63890855733999e-06,5.21418006768241e-06,1.75161715125543e-06,0.310630529550866,1.57299863743255e-07,124,"CPCRW_150d_low_CW_r1","C60","CPCRW","lowland","constant weight","150 day",1
"62",0.000150577640760501,2.34068227209367e-06,9.7146865006775e-07,8.15739735225247e-07,7.18985399570676e-07,0.740101494289634,5.77502970133853e-08,155,"CPCRW_150d_low_CW_r2","C62","CPCRW","lowland","constant weight","150 day",2
"71",0.000161775412055497,4.58250012991988e-06,2.15700549407329e-06,1.75504281437515e-06,1.8507923615365e-06,0.858037852301181,2.1371109362944e-07,75,"CPCRW_90d_low_FAD_r4","C71","CPCRW","lowland","forced","90 day",4
"72",7.42435846019511e-05,1.80672447235399e-06,6.18696538349593e-07,3.16045886152894e-07,7.11196808808447e-07,1.14950830451647,6.49230891683459e-08,120,"CPCRW_150d_low_CW_r3","C72","CPCRW","lowland","constant weight","150 day",3
"75",4.78932164962916e-05,7.65407004185198e-07,2.85078669620783e-07,2.15323668490936e-07,2.48893327676385e-07,0.873068925175872,1.92025371218394e-08,168,"CPCRW_30d_low_FAD_r2","C75","CPCRW","lowland","forced","30 day",2
"77",0.000304707225582126,8.75544719058505e-06,2.43765780465701e-06,8.98741999283065e-07,3.22515417731195e-06,1.32305452026551,2.88466559135478e-07,125,"CPCRW_90d_low_FAD_r1","C77","CPCRW","lowland","forced","90 day",1
