"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"1",0.000221710700016353,8.86842800065411e-06,8.86842800065411e-06,8.86842800065411e-06,0,0,0,25,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1
"13",0.000408092475514101,4.07827778299201e-06,3.18822246495392e-06,3.35503791407936e-06,7.72996576332609e-07,0.242453776306285,6.83238901198466e-08,128,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"16",0.000259313288301684,5.38780310004633e-06,2.98061250921475e-06,3.19331055125778e-06,2.06972945076115e-06,0.694397357711696,2.21898288788397e-07,87,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2
"18",6.8528310706425e-05,2.51115402917642e-06,1.42767313971719e-06,1.42767313971719e-06,1.09494661499634e-06,0.766944887128188,1.58041930729102e-07,48,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3
"26",0.000256597377930043,4.24592575016666e-06,2.06933369298422e-06,1.88379431050793e-06,1.45850018322004e-06,0.704816332022657,1.30977182956671e-07,124,"CPCRW_150d_up_CW_r3","C26","CPCRW","upland","constant weight","150 day",3
"27",0.000604939269668713,1.11553260421362e-05,5.40124347918494e-06,5.10598565511338e-06,3.95530131407019e-06,0.732294577963935,3.7374084419131e-07,112,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3
"28",9.91823308773678e-06,3.19943002830219e-07,3.19943002830219e-07,3.19943002830219e-07,0,0,0,31,"CPCRW_150d_up_CW_r1","C28","CPCRW","upland","constant weight","150 day",1
"37",0.000422631908628876,1.76096628595365e-05,1.76096628595365e-05,1.76096628595365e-05,0,0,0,24,"CPCRW_90d_up_FAD_r4","C37","CPCRW","upland","forced","90 day",4
"39",0.000150917173096356,3.28172391797088e-06,2.69494951957778e-06,2.69494951957778e-06,5.92084682182545e-07,0.219701585458753,7.9120643738715e-08,56,"CPCRW_30d_up_FAD_r4","C39","CPCRW","upland","forced","30 day",4
"4",2.65163511694962e-05,8.28635974046757e-07,8.28635974046757e-07,8.28635974046757e-07,0,0,0,32,"CPCRW_150d_up_CW_r4","C4","CPCRW","upland","constant weight","150 day",4
"44",0.000625048422262867,1.90156815946361e-05,1.07766969355667e-05,1.07766969355667e-05,8.31094222318744e-06,0.77119568944716,1.09128017702999e-06,58,"CPCRW_30d_low_FAD_r3","C44","CPCRW","lowland","forced","30 day",3
"50",0.000220357481919023,4.14077406355022e-06,1.89963346481916e-06,1.46629269345883e-06,1.3627911253753e-06,0.717396882405959,1.26531979445625e-07,116,"CPCRW_30d_low_FAD_r1","C50","CPCRW","lowland","forced","30 day",1
"52",0.000464590862147631,1.58239956580788e-05,6.19454482863507e-06,2.14292888435764e-06,6.88354277702257e-06,1.11122656586526,7.94843055058457e-07,75,"CPCRW_90d_low_FAD_r3","C52","CPCRW","lowland","forced","90 day",3
"55",0.00478084924133465,0.000138498072490618,4.98005129305693e-05,7.0476288751297e-06,6.30614854494853e-05,1.26628184608067,6.43618590721604e-06,96,"CPCRW_150d_low_CW_r4","C55","CPCRW","lowland","constant weight","150 day",4
"56",0.000796648028547804,1.68805125569959e-05,8.85164476164227e-06,5.50683723258012e-06,5.73548611009537e-06,0.647957104531525,6.04573319872021e-07,90,"CPCRW_30d_low_FAD_r4","C56","CPCRW","lowland","forced","30 day",4
"6",0.000278469288230286,5.87868286929425e-06,4.80119462466011e-06,4.80119462466011e-06,1.08689880099005e-06,0.226380908494622,1.42716804437513e-07,58,"CPCRW_30d_up_FAD_r1","C6","CPCRW","upland","forced","30 day",1
"60",0.000900583951819424,1.60311983466727e-05,9.68369840666047e-06,8.48061097708571e-06,4.79390215342145e-06,0.495048684098236,4.97104496236221e-07,93,"CPCRW_150d_low_CW_r1","C60","CPCRW","lowland","constant weight","150 day",1
"62",0.000484621293084001,7.75681250553056e-06,5.21098164606453e-06,4.92136380495638e-06,1.98177715517802e-06,0.380307836369892,2.05500717963989e-07,93,"CPCRW_150d_low_CW_r2","C62","CPCRW","lowland","constant weight","150 day",2
"71",0.000230222712738135,4.9338598247526e-06,4.6044542547627e-06,4.6044542547627e-06,3.32749874714963e-07,0.0722669520216814,4.70579385699849e-08,50,"CPCRW_90d_low_FAD_r4","C71","CPCRW","lowland","forced","90 day",4
"72",6.78106760723827e-05,1.20067363593421e-06,1.13017793453971e-06,1.13017793453971e-06,7.1090612375344e-08,0.0629021415148201,9.1777585933798e-09,60,"CPCRW_150d_low_CW_r3","C72","CPCRW","lowland","constant weight","150 day",3
"75",2.50854493184437e-05,8.95908904230133e-07,8.95908904230133e-07,8.95908904230133e-07,0,0,0,28,"CPCRW_30d_low_FAD_r2","C75","CPCRW","lowland","forced","30 day",2
"77",0.000582838029383231,1.95145444510261e-05,7.77117372510975e-06,2.19555556862654e-06,8.363277305832e-06,1.07619229754304,9.65708080765919e-07,75,"CPCRW_90d_low_FAD_r1","C77","CPCRW","lowland","forced","90 day",1
