"Core","Sample_number","DATETIME","n","flux_co2_umol_s","flux_ch4_nmol_s","dry_soil_g","flux_co2_umol_g_s","flux_ch4_nmol_g_s","Core_assignment","coreID","Site","location","drying","length","replicate","mean","median","sd","outlier"
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
"1",286,2018-12-20 22:11:11,10,0.000887995695705496,-1.16620916931898e-06,100.13,8.86842800065411e-06,-1.16469506573352e-08,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,8.86842800065411e-06,8.86842800065411e-06,0,FALSE
