"Core","Sample_number","DATETIME","n","flux_co2_umol_s","flux_ch4_nmol_s","dry_soil_g","flux_co2_umol_g_s","flux_ch4_nmol_g_s","Core_assignment","coreID","Site","location","drying","length","replicate","mean","median","sd","outlier"
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"SR_90d_low_CW_r1","S11","SR","lowland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"SR_90d_low_CW_r1","S11","SR","lowland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"SR_90d_low_CW_r1","S11","SR","lowland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"SR_90d_low_CW_r1","S11","SR","lowland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"SR_90d_low_CW_r1","S11","SR","lowland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"SR_90d_low_CW_r1","S11","SR","lowland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"SR_90d_low_CW_r1","S11","SR","lowland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"SR_90d_low_CW_r1","S11","SR","lowland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"SR_90d_low_CW_r1","S11","SR","lowland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
"11",103,2019-07-02 18:32:11,3,0.000846087055460982,-4.5724066241537e-20,108.83,7.77439176202318e-06,-4.20142113769521e-22,"CPCRW_90d_up_CW_r1","C11","CPCRW","upland","constant weight","90 day",1,1.1438787883013e-05,9.74277163381045e-06,5.54514248406036e-06,FALSE
